@relation example
@attribute 1 numeric
@attribute 2 numeric
@attribute class {0,1}
@attribute den {1,2,3,4}
@attribute clus {0,1,2,3,4}

@data
5.0248,6.951,0,4,1
4.6244,3.7658,0,4,1
5.0977,5.0635,0,4,1
21.641,18.992,0,3,2
23.663,23.049,0,3,2
5.4944,5.3878,0,4,1
22.031,21.732,0,3,2
26.93,20.918,0,3,2
22.045,26.921,0,3,2
5.9566,6.3088,0,4,1
4.8089,5.0197,0,4,1
22.658,18.135,0,3,2
22.8,24.47,0,3,2
21.916,19.643,0,3,2
4.329,5.8184,0,4,1
3.095,4.3753,0,4,1
24.892,20.572,0,3,2
21.035,22.944,0,3,2
6.1315,5.5481,0,4,1
24.487,23.471,0,3,2
20.663,20.111,0,3,2
2.8257,4.1848,0,3,1
24.509,17.869,0,3,2
4.0922,3.7791,0,4,1
4.9322,5.2174,0,4,1
25.031,21.643,0,3,2
4.9839,5.9242,0,4,1
4.7972,4.1883,0,4,1
23.391,23.58,0,3,2
5.0978,6.038,0,4,1
18.212,20.237,0,3,2
4.4741,3.8153,0,4,1
4.6186,5.0329,0,4,1
26.617,23.546,0,3,2
22.271,16.851,0,3,2
19.458,24.464,0,3,2
6.6717,3.797,0,3,1
6.0497,5.1117,0,4,1
3.846,4.0799,0,4,1
5.2535,3.7871,0,4,1
5.7104,4.9553,0,4,1
4.9074,4.8062,0,4,1
4.9365,6.2691,0,4,1
19.282,18.267,0,3,2
21.665,19.53,0,3,2
5.9027,5.1322,0,4,1
22.178,21.508,0,3,2
18.613,23.404,0,3,2
5.3926,4.2188,0,4,1
15.867,19.008,0,2,2
23.506,20.272,0,3,2
24.41,20.056,0,3,2
19.703,24.53,0,3,2
4.9441,5.4995,0,4,1
5.2718,5.4612,0,4,1
5.6179,5.2214,0,4,1
23.542,18.595,0,3,2
21.616,21.031,0,3,2
21.291,18.514,0,3,2
6.107,5.7998,0,4,1
18.975,22.71,0,3,2
6.4073,5.0207,0,4,1
4.1744,2.6055,0,3,1
18.545,20.446,0,3,2
5.948,4.6869,0,4,1
25.445,17.056,0,3,2
18.478,30.489,0,2,2
6.546,6.5554,0,3,1
4.179,6.3544,0,4,1
21.634,17.887,0,3,2
4.0469,4.367,0,4,1
18.591,20.906,0,3,2
16.346,25.839,0,2,2
19.633,22.732,0,3,2
24.028,25.619,0,3,2
19.777,27.757,0,3,2
3.3756,4.4297,0,4,1
5.0379,4.2962,0,4,1
28.171,24.264,0,3,2
4.8394,5.4162,0,4,1
22.735,21.104,0,3,2
22.675,21.772,0,3,2
20.599,19.845,0,3,2
4.8532,4.6619,0,4,1
5.5863,5.6691,0,4,1
16.505,24.388,0,3,2
4.8739,5.8006,0,4,1
25.337,24.034,0,3,2
3.6157,3.5439,0,4,1
5.742,4.8517,0,4,1
21.897,20.222,0,3,2
18.255,17.712,0,3,2
3.4627,6.0589,0,4,1
22.254,22.875,0,3,2
29.128,15.516,0,2,2
5.4674,4.8094,0,4,1
21.696,22.192,0,3,2
5.4371,5.341,0,4,1
3.1746,4.6944,0,4,1
22.787,19.823,0,3,2
5.3024,6.1879,0,4,1
5.114,4.7906,0,4,1
21.463,17.919,0,3,2
5.4859,4.4282,0,4,1
5.7294,4.5253,0,4,1
18.124,25.7,0,3,2
4.563,5.036,0,4,1
4.3811,3.9075,0,4,1
20.237,24.518,0,3,2
26.598,21.064,0,3,2
17.666,19.612,0,3,2
26.324,21.632,0,3,2
23.429,22.575,0,3,2
4.2614,4.7844,0,4,1
4.9795,6.3706,0,4,1
21.153,24.493,0,3,2
19.892,23.54,0,3,2
24.448,20.847,0,3,2
4.8745,4.5027,0,4,1
4.1517,4.4066,0,4,1
20.548,19.609,0,3,2
4.6427,5.8629,0,4,1
4.51,5.6042,0,4,1
4.6994,6.3782,0,4,1
24.997,21.645,0,3,2
23.082,19.719,0,3,2
4.6775,4.3398,0,4,1
5.302,4.2693,0,4,1
23.305,22.64,0,3,2
4.9287,4.6498,0,4,1
4.8179,4.6059,0,4,1
3.812,6.1997,0,4,1
26.882,21.81,0,3,2
4.8629,3.465,0,4,1
27.124,25.784,0,3,2
5.3646,4.2046,0,4,1
22.836,20.203,0,3,2
24.336,23.121,0,3,2
4.2465,6.3012,0,4,1
17.494,23.265,0,3,2
4.1797,3.7034,0,4,1
25.186,18.59,0,3,2
4.7507,5.2454,0,4,1
22.228,18.866,0,3,2
23.308,25.463,0,3,2
5.5217,4.1135,0,4,1
7.2695,4.8596,0,3,1
