@relation base_data_1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute class {0,1,2,3}

@data
0.66737,0.83314,0.72357,0.055014,0.55547,0.86048,0.61026,0.58443,0.27619,0.026441,1
0.10476,0.13227,0.02699,0.93048,0.025454,0.16757,0.50209,0.0793,0.46913,0.53675,0
0.66558,0.83441,0.7219,0.056125,0.55586,0.86265,0.61023,0.58444,0.27956,0.028428,1
0.97371,0.80361,0.33356,0.30533,0.66663,0.63843,0.50098,0.38992,0.44687,0.77939,3
0.97104,0.80463,0.3337,0.3048,0.6676,0.64011,0.50097,0.38879,0.44416,0.77671,3
0.079337,0.74891,0.89752,0.84966,0.64952,0.32794,0.73411,0.14625,0.53721,0.071185,2
0.081993,0.73955,0.88836,0.83561,0.65214,0.30787,0.72841,0.15704,0.52854,0.079087,2
0.081503,0.73543,0.86347,0.8455,0.6474,0.31459,0.73353,0.15159,0.54345,0.082452,2
0.077455,0.74849,0.87626,0.82985,0.64997,0.31999,0.7217,0.16331,0.51162,0.089407,2
0.66528,0.83379,0.72133,0.05436,0.55967,0.8604,0.60967,0.58405,0.27744,0.029249,1
0.6668,0.83236,0.72271,0.056466,0.5555,0.86115,0.61024,0.58447,0.27707,0.027983,1
0.97207,0.80388,0.33398,0.30541,0.66562,0.63783,0.49891,0.38845,0.44407,0.7774,3
0.075136,0.75069,0.89678,0.84985,0.64357,0.29337,0.71577,0.15422,0.51792,0.085493,2
0.66659,0.83302,0.72238,0.055539,0.55544,0.86134,0.61046,0.5837,0.27787,0.027806,1
0.088938,0.75219,0.88591,0.84762,0.65362,0.32356,0.71323,0.18281,0.53303,0.07833,2
0.66918,0.83436,0.72613,0.053521,0.55534,0.86229,0.61011,0.58578,0.27741,0.028189,1
0.084115,0.73253,0.89997,0.84202,0.646,0.27729,0.71775,0.15474,0.5222,0.087371,2
0.66699,0.83275,0.72341,0.055574,0.55492,0.86098,0.61101,0.58361,0.27813,0.028011,1
0.077703,0.74688,0.88736,0.83585,0.65212,0.3114,0.71631,0.16125,0.52991,0.089228,2
0.082245,0.7404,0.88117,0.83931,0.63962,0.30192,0.71638,0.15993,0.52556,0.070521,2
0.66639,0.83137,0.72274,0.053838,0.55535,0.86114,0.60889,0.58405,0.27595,0.027705,1
0.66634,0.83285,0.72158,0.055517,0.55333,0.86089,0.60852,0.58434,0.27782,0.028945,1
0.66529,0.83303,0.72166,0.055338,0.55518,0.86051,0.61031,0.58291,0.2792,0.027196,1
0.096673,0.75525,0.91312,0.84188,0.63257,0.30231,0.72033,0.17443,0.52279,0.076468,2
0.086512,0.74022,0.88118,0.83499,0.66022,0.31339,0.72589,0.16375,0.53016,0.073342,2
0.66596,0.83281,0.72277,0.055684,0.55554,0.8617,0.61015,0.58384,0.27749,0.026936,1
0.66661,0.83271,0.72135,0.053061,0.55335,0.86176,0.61118,0.58445,0.27601,0.028684,1
0.096503,0.74873,0.8922,0.84191,0.66043,0.29973,0.71892,0.1662,0.51409,0.077818,2
0.97103,0.80517,0.33264,0.3049,0.66626,0.63985,0.49985,0.38834,0.44364,0.77765,3
0.66691,0.83299,0.72221,0.055694,0.55572,0.86174,0.61031,0.58353,0.27794,0.027766,1
0.66721,0.8332,0.72047,0.056057,0.55515,0.8595,0.61082,0.58386,0.27817,0.026879,1
0.083561,0.72735,0.86922,0.84648,0.64739,0.3058,0.7219,0.16922,0.52639,0.087472,2
0.095174,0.74773,0.8964,0.84148,0.65385,0.30558,0.73772,0.14427,0.5369,0.084206,2
0.08353,0.7375,0.89883,0.83906,0.66123,0.31336,0.72544,0.16951,0.53358,0.061889,2
0.092162,0.7654,0.86724,0.84311,0.64594,0.29256,0.71712,0.15895,0.5087,0.085614,2
0.97267,0.80627,0.33271,0.30444,0.66622,0.6387,0.50002,0.38823,0.44342,0.77792,3
0.081518,0.73093,0.85981,0.85228,0.62867,0.31477,0.70652,0.15388,0.528,0.081761,2
0.66645,0.83312,0.72228,0.055533,0.55501,0.86139,0.61058,0.58381,0.27776,0.027771,1
0.66693,0.83285,0.72235,0.055593,0.5554,0.86131,0.61059,0.58332,0.27853,0.02801,1
0.66625,0.83325,0.7223,0.05534,0.55571,0.86126,0.61069,0.58322,0.27772,0.02781,1
0.077005,0.75063,0.88791,0.83898,0.64644,0.29323,0.71314,0.17988,0.53487,0.090667,2
0.66521,0.83584,0.7209,0.054787,0.55662,0.86145,0.61065,0.58392,0.27703,0.029667,1
0.080927,0.74208,0.89487,0.84059,0.6513,0.3035,0.70966,0.18426,0.53103,0.10348,2
0.6667,0.83303,0.72245,0.055653,0.5555,0.86135,0.61051,0.58367,0.27792,0.027704,1
0.6662,0.83353,0.72303,0.055491,0.55415,0.86181,0.61072,0.58303,0.27821,0.028868,1
0.97246,0.80474,0.33367,0.3057,0.66615,0.63935,0.49936,0.38838,0.44411,0.77685,3
0.97054,0.80584,0.33348,0.30556,0.66628,0.63924,0.50056,0.38921,0.4431,0.77758,3
0.97063,0.80529,0.33599,0.30415,0.66959,0.64219,0.50122,0.38789,0.4434,0.77909,3
0.97228,0.80552,0.33303,0.30665,0.66435,0.63529,0.49892,0.38912,0.44469,0.77814,3
0.6669,0.83285,0.72222,0.055082,0.55541,0.86154,0.61052,0.58407,0.27815,0.027905,1
0.66772,0.83268,0.72266,0.05575,0.55479,0.8617,0.61077,0.58433,0.27833,0.028254,1
0.97123,0.80456,0.33403,0.30503,0.66688,0.63932,0.4996,0.38883,0.44393,0.77727,3
0.083337,0.75103,0.88739,0.83224,0.66106,0.30998,0.71309,0.16541,0.53028,0.070328,2
0.66687,0.83271,0.72202,0.055386,0.55575,0.86101,0.61037,0.58387,0.27776,0.027783,1
0.66513,0.8325,0.7235,0.056598,0.55547,0.86284,0.60898,0.58387,0.27759,0.027161,1
0.66621,0.8334,0.72291,0.059242,0.55659,0.85971,0.61021,0.58142,0.27979,0.026163,1
0.094456,0.74458,0.89296,0.86163,0.65191,0.30158,0.72523,0.17097,0.52188,0.083086,2
0.66669,0.83305,0.72235,0.055752,0.55543,0.8615,0.61019,0.58338,0.27813,0.027765,1
