@relation base_data_11-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
0.094194,0.6605,0.70176,0.27694,0.76206,0.51285,0.88145,0.63487,0.45535,0.30347,4
0.090141,0.36536,0.87556,0.27232,0.53912,0.66664,0.33149,0.11786,0.54342,0.69456,2
0.93503,0.061182,0.96601,0.29948,0.75415,0.54193,0.29655,0.72506,0.14676,0.69699,5
0.92909,0.064073,0.97151,0.30987,0.75198,0.54552,0.30531,0.73295,0.15213,0.69712,5
0.029066,0.93642,0.15283,0.36129,0.84932,0.75601,0.69223,0.82089,0.12341,0.60531,3
0.077748,0.36953,0.89277,0.26463,0.52479,0.65777,0.34733,0.10827,0.54565,0.67752,2
0.031717,0.93893,0.1529,0.36492,0.8489,0.75617,0.69381,0.8169,0.12274,0.60864,3
0.028015,0.93631,0.15285,0.36172,0.84551,0.75623,0.69669,0.8207,0.11985,0.60489,3
0.94467,0.059784,0.96743,0.30887,0.75437,0.55043,0.30658,0.73364,0.15631,0.69687,5
0.60841,0.23912,0.88176,0.36496,0.58079,0.60422,0.057683,0.18364,0.72787,0.81633,7
0.93883,0.66594,0.64124,0.542,0.088343,0.11885,0.88054,0.33051,0.30692,0.086907,6
0.090364,0.36453,0.87864,0.2719,0.54241,0.66625,0.33175,0.12221,0.54667,0.69588,2
0.092446,0.66115,0.7048,0.27469,0.76231,0.51049,0.88361,0.63649,0.45419,0.30544,4
0.60514,0.24391,0.87956,0.364,0.57447,0.60199,0.059142,0.18308,0.72942,0.81644,7
0.03161,0.94178,0.14978,0.36255,0.85013,0.75629,0.69752,0.81609,0.11977,0.60824,3
0.6083,0.24022,0.87594,0.36377,0.5749,0.60165,0.061646,0.18051,0.7277,0.81976,7
0.60512,0.24368,0.87449,0.36073,0.57444,0.60937,0.059493,0.17927,0.72384,0.81531,7
0.93436,0.060773,0.96241,0.30427,0.75274,0.5384,0.30304,0.73731,0.13887,0.70322,5
0.086657,0.66502,0.69983,0.27744,0.76186,0.5104,0.88405,0.63582,0.45338,0.29823,4
0.60452,0.24354,0.87899,0.36348,0.57833,0.60417,0.062516,0.18067,0.72471,0.81658,7
0.24013,0.81969,0.57576,0.4873,0.062683,0.062476,0.42281,0.30047,0.27114,0.42087,1
0.094737,0.66321,0.70237,0.27179,0.75673,0.51004,0.87867,0.63624,0.45226,0.30208,4
0.60806,0.23948,0.87922,0.36039,0.57489,0.60904,0.061995,0.17936,0.72816,0.81585,7
0.026219,0.93677,0.14957,0.35983,0.84656,0.7566,0.6984,0.82045,0.11998,0.60444,3
0.93767,0.66201,0.64361,0.54072,0.089796,0.11719,0.88333,0.3352,0.30682,0.091498,6
0.94177,0.063958,0.96901,0.30487,0.75513,0.55159,0.29788,0.72538,0.14934,0.69992,5
0.14024,0.20189,0.30773,0.26889,0.68983,0.39652,0.25896,0.36576,0.44113,0.73622,0
0.24664,0.78588,1.0185,0.64536,0.66038,0.81348,0.74652,0.6663,0.1448,0.28487,0
0.034313,0.93511,0.1501,0.3657,0.84441,0.75974,0.69737,0.8172,0.12595,0.61098,3
0.6079,0.24066,0.87935,0.36365,0.57458,0.60491,0.061712,0.18278,0.72393,0.82021,7
0.60798,0.24322,0.87922,0.36357,0.57733,0.60876,0.059176,0.17986,0.72525,0.81629,7
0.028273,0.94025,0.15322,0.36196,0.84665,0.75498,0.6977,0.81959,0.1184,0.6041,3
0.029023,0.94156,0.15311,0.3612,0.84655,0.7639,0.6968,0.82285,0.12301,0.60919,3
0.027725,0.9367,0.15351,0.36101,0.84647,0.76004,0.69597,0.81528,0.11954,0.60509,3
0.24414,0.81667,0.57645,0.48367,0.059084,0.061895,0.42301,0.30554,0.27555,0.42691,1
0.93961,0.66706,0.64285,0.54091,0.092177,0.12479,0.88271,0.33452,0.30856,0.095305,6
0.24333,0.8169,0.57234,0.48634,0.061858,0.061779,0.4231,0.30357,0.2737,0.42404,1
0.032829,0.93564,0.15303,0.36267,0.84626,0.7558,0.69841,0.81979,0.12322,0.60508,3
0.60519,0.24326,0.88142,0.36388,0.57491,0.60913,0.063633,0.18358,0.72792,0.81667,7
0.16885,0.37227,0.26308,0.90557,0.50142,0.12184,0.98959,0.904,0.54104,0.029845,0
0.93951,0.059021,0.96098,0.30492,0.7406,0.54774,0.29996,0.72953,0.14394,0.69407,5
0.026204,0.93985,0.1528,0.36106,0.84966,0.75695,0.69597,0.82301,0.1195,0.60465,3
