@relation base_data_12-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute class {0,1,2,3,4,5,6}

@data
0.33136,0.86633,0.62321,0.42964,0.43327,0.69002,0.68726,0.42601,0.14204,3
0.66817,0.95291,0.80994,0.52953,0.28598,0.4809,0.90515,0.95826,0.66992,1
0.57728,0.80931,0.91768,0.42846,0.14775,0.95535,0.051932,0.9562,0.71949,5
0.66765,0.95351,0.81081,0.5292,0.2917,0.48141,0.90676,0.95341,0.66875,1
0.57747,0.80525,0.91663,0.42756,0.1488,0.95407,0.054511,0.9575,0.72086,5
0.5765,0.80577,0.91211,0.42881,0.14872,0.95404,0.051643,0.95766,0.71953,5
0.3274,0.85771,0.61035,0.42152,0.42578,0.66915,0.67299,0.42792,0.16025,3
0.38563,0.38051,0.47467,0.38339,0.81815,0.2864,0.28359,0.71179,0.23366,4
0.37863,0.38358,0.47568,0.38432,0.82185,0.28995,0.28436,0.71312,0.23892,4
0.34104,0.85555,0.61619,0.44216,0.42371,0.64786,0.65539,0.43721,0.13654,3
0.34728,0.87066,0.62928,0.4191,0.41912,0.68035,0.65482,0.45744,0.14464,3
0.04579,0.13847,0.31957,0.18672,0.18204,0.73579,0.64575,0.55899,0.050097,0
0.38241,0.3811,0.48114,0.37787,0.81873,0.28282,0.28658,0.71373,0.2367,4
0.38198,0.38005,0.47942,0.3809,0.81904,0.2897,0.28431,0.70883,0.24054,4
0.57933,0.80731,0.91304,0.42725,0.1503,0.96039,0.052669,0.95753,0.72204,5
0.14881,0.47413,0.80767,0.67237,0.28345,0.9103,0.76215,0.10371,0.90393,6
0.14452,0.47446,0.80798,0.66761,0.28271,0.90274,0.75938,0.095274,0.91115,6
0.57972,0.80614,0.91457,0.4291,0.1466,0.95316,0.053742,0.9581,0.72071,5
0.67211,0.95484,0.81235,0.53051,0.28848,0.47671,0.90618,0.95443,0.67041,1
0.32321,0.85147,0.62919,0.41919,0.42848,0.64824,0.64207,0.43619,0.11783,3
0.38022,0.38219,0.4793,0.3842,0.81378,0.28453,0.28729,0.7097,0.23928,4
0.047443,0.37645,0.092904,0.80516,0.32373,0.04878,0.61564,0.098547,0.28805,2
0.57788,0.80742,0.91261,0.43017,0.14511,0.95557,0.054633,0.95687,0.71888,5
0.38313,0.38243,0.47369,0.38792,0.81634,0.28193,0.28497,0.70903,0.23853,4
0.32716,0.86041,0.62919,0.43048,0.4386,0.64557,0.66738,0.43967,0.13975,3
0.57725,0.8068,0.91338,0.42668,0.14732,0.95286,0.053532,0.95588,0.71858,5
0.33244,0.84721,0.59999,0.44081,0.4454,0.66736,0.66018,0.41138,0.13049,3
0.14977,0.45592,0.79992,0.67099,0.28864,0.89853,0.77182,0.10263,0.92604,6
0.33277,0.86819,0.62679,0.42334,0.42887,0.66976,0.6656,0.42762,0.14197,3
0.579,0.80765,0.91626,0.42715,0.15021,0.95561,0.050744,0.95541,0.72051,5
0.57928,0.80567,0.91425,0.42858,0.15121,0.95485,0.054916,0.95652,0.72018,5
0.38178,0.38039,0.47436,0.379,0.81517,0.2844,0.28632,0.71278,0.23983,4
0.57961,0.80652,0.91372,0.42869,0.14548,0.95586,0.052842,0.95842,0.72001,5
0.33735,0.85565,0.62297,0.44009,0.43396,0.67051,0.66735,0.41065,0.15156,3
0.58007,0.80769,0.91237,0.42898,0.14861,0.95742,0.052858,0.9566,0.71985,5
0.57923,0.80678,0.91566,0.42917,0.14855,0.95614,0.053236,0.95859,0.71992,5
0.13743,0.47003,0.80983,0.67503,0.29879,0.90054,0.75528,0.096791,0.89346,6
0.58567,0.80533,0.9125,0.42858,0.14763,0.95413,0.051426,0.95893,0.71977,5
0.14409,0.47148,0.8067,0.66944,0.28662,0.90383,0.76184,0.096729,0.90695,6
0.32535,0.85964,0.62788,0.43169,0.42866,0.68015,0.65734,0.4303,0.14238,3
0.33485,0.8411,0.62521,0.42262,0.4298,0.66724,0.67463,0.42261,0.14648,3
0.046659,0.37533,0.091506,0.803,0.32958,0.052785,0.61336,0.096039,0.28984,2
