@relation base_data_14-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
0.22675,0.33495,0.88433,0.32101,0.5451,0.92611,0.79903,0.11024,0.35,0.88872,0.67321,0.8835,0.329,0.22271,0.33572,0.74596,0.33712,0.21514,0.78283,0.66218,0.45027,0.56671,0.32197,0.53831,2
0.69129,0.53496,0.50621,0.70229,0.672,0.50979,0.75877,0.6958,0.63385,0.65506,0.90982,0.10187,0.7663,0.15779,0.53824,0.85248,0.72928,0.80469,0.69028,0.56832,0.12135,0.021842,0.16118,0.40462,1
0.23254,0.34887,0.89456,0.31388,0.5364,0.92991,0.77614,0.10454,0.33766,0.88973,0.65931,0.87722,0.32444,0.21941,0.31113,0.74603,0.34961,0.22219,0.7821,0.67142,0.45765,0.55275,0.34162,0.54775,2
0.50688,0.45909,0.22136,0.84321,0.47977,0.44506,0.88804,0.55059,0.89051,0.25105,0.54884,0.53367,0.66729,0.81698,0.44163,0.82117,0.3728,0.84565,0.31904,0.44942,0.29134,0.42165,0.91702,0.32758,6
0.78214,0.56296,0.44824,0.69155,0.68714,0.53874,0.7986,0.67868,0.64768,0.65918,0.8955,0.084246,0.74655,0.24543,0.55728,0.71686,0.63416,0.73042,0.64052,0.4488,0.21014,0.12996,0.18524,0.45297,1
0.56496,0.78962,0.77418,0.54625,0.65637,0.89198,0.6618,0.10075,0.3119,0.77361,0.77848,0.66465,0.34923,0.11389,0.76002,0.90223,0.10182,0.66991,0.3387,0.54975,0.1133,0.22072,0.44159,0.11397,3
0.55405,0.78568,0.78615,0.54688,0.66717,0.88757,0.6696,0.10851,0.33152,0.77621,0.77398,0.66395,0.33425,0.10403,0.78013,0.90533,0.10822,0.66671,0.3257,0.54147,0.099291,0.22172,0.42847,0.10216,3
0.55345,0.78625,0.77739,0.55116,0.68048,0.88978,0.67793,0.10918,0.34306,0.78309,0.78386,0.66605,0.34968,0.11179,0.76943,0.88787,0.10621,0.67353,0.32449,0.55237,0.10101,0.22056,0.45586,0.11492,3
0.67387,0.5328,0.55104,0.6623,0.65962,0.57285,0.77264,0.69426,0.66259,0.66641,0.8685,0.10936,0.76507,0.23091,0.55405,0.78703,0.67699,0.77652,0.65055,0.54348,0.10002,0.11292,0.20673,0.45797,1
0.54767,0.79569,0.77157,0.56147,0.6679,0.88733,0.66784,0.11275,0.34244,0.78202,0.78306,0.66583,0.33223,0.092204,0.76027,0.89803,0.11747,0.65946,0.3346,0.55031,0.10271,0.23025,0.44229,0.11448,3
