@relation base_data_16-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute class {0,1,2,3,4,5,6}

@data
0.080836,0.80377,0.5443,0.9813,0.69663,0.63019,0.38311,6
0.28233,0.28682,0.048478,0.66976,0.28201,0.70828,0.66722,3
0.79773,0.86153,0.27897,0.42905,0.85911,0.56827,0.72688,2
0.72693,0.70044,0.85503,0.70785,0.56445,0.48675,0.089654,5
0.11171,0.83607,0.52476,0.96186,0.73004,0.62269,0.38394,6
0.19032,0.23669,0.57495,0.66523,0.57033,0.43443,0.18986,1
0.38343,0.75997,0.72122,0.71241,0.47173,0.29223,0.37921,4
0.28605,0.28498,0.047079,0.66808,0.28619,0.71405,0.6665,3
0.28572,0.2856,0.047341,0.66815,0.2859,0.71399,0.66694,3
0.28307,0.29163,0.047319,0.66785,0.28326,0.71609,0.66407,3
0.71475,0.71341,0.85597,0.71574,0.57128,0.47835,0.09564,5
0.28394,0.28503,0.046183,0.66839,0.28522,0.71374,0.66622,3
0.28132,0.29294,0.046885,0.6751,0.28655,0.70748,0.66464,3
0.28704,0.28479,0.057674,0.66707,0.28002,0.70867,0.66107,3
0.28625,0.29016,0.053043,0.67146,0.27761,0.71256,0.66995,3
0.28177,0.28591,0.047719,0.67282,0.28319,0.71135,0.65375,3
0.090872,0.81398,0.549,0.9663,0.68655,0.65312,0.3719,6
0.096402,0.81247,0.5355,0.9544,0.70361,0.61941,0.38859,6
0.37212,0.76566,0.72059,0.72306,0.47502,0.28958,0.37442,4
0.38294,0.76349,0.70976,0.71297,0.47648,0.29398,0.37289,4
0.70623,0.71342,0.86966,0.69551,0.5685,0.48823,0.10004,5
0.28635,0.28662,0.052729,0.66733,0.28258,0.71714,0.67179,3
0.29642,0.26956,0.037958,0.6696,0.28751,0.72176,0.66564,3
0.19132,0.23544,0.57629,0.6654,0.57011,0.43098,0.19721,1
0.075341,0.8555,0.54965,0.9614,0.69953,0.61381,0.3762,6
0.096544,0.83341,0.52602,0.94917,0.70548,0.6288,0.38491,6
0.27828,0.28061,0.053943,0.67394,0.29539,0.71474,0.66849,3
0.28839,0.2888,0.046539,0.66964,0.2868,0.71483,0.66695,3
