@relation base_data_17-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute class {0,1,2,3}

@data
0.045282,0.6224,0.18526,0.19083,0.86004,0.7572,0.24065,0.3669,0.77831,0.42499,0.91646,0.56659,0.91121,1
0.048924,0.64023,0.20049,0.18714,0.85347,0.77038,0.24933,0.37202,0.74528,0.42693,0.91309,0.56605,0.91529,1
0.052244,0.61568,0.18142,0.19369,0.86579,0.75922,0.24368,0.37652,0.74718,0.41009,0.89264,0.57475,0.91323,1
0.049762,0.61615,0.20129,0.19436,0.85996,0.75285,0.24501,0.3719,0.7578,0.41701,0.91549,0.58212,0.91502,1
0.05387,0.62173,0.19216,0.20998,0.86058,0.76826,0.23818,0.39114,0.76244,0.43748,0.90461,0.58841,0.91429,1
0.045197,0.6161,0.19384,0.19392,0.86569,0.76308,0.23788,0.38034,0.7598,0.42345,0.91218,0.55858,0.93714,1
0.97321,0.7477,0.057725,0.90798,1.0485,0.73802,0.18409,0.69406,0.45872,0.68874,0.70571,0.69703,0.55962,3
0.51396,0.69916,0.51837,0.79149,0.81005,0.08887,0.5872,0.66814,0.81528,0.70641,0.39972,0.84504,0.7507,2
0.059679,0.61948,0.19321,0.1952,0.85818,0.77257,0.23657,0.39724,0.76411,0.43433,0.91132,0.5737,0.92071,1
0.040618,0.62216,0.19053,0.1836,0.83803,0.7603,0.25895,0.36976,0.75215,0.41063,0.89438,0.56064,0.91462,1
0.050358,0.6168,0.19603,0.18946,0.8562,0.75598,0.23306,0.3803,0.76254,0.4364,0.9039,0.57276,0.91725,1
0.50695,0.70755,0.5136,0.76891,0.80721,0.086865,0.55731,0.66877,0.83557,0.70979,0.3865,0.83778,0.75264,2
0.05823,0.63064,0.19704,0.16782,0.85981,0.75453,0.23076,0.37923,0.74523,0.43047,0.90535,0.57299,0.91011,1
0.51237,0.70493,0.51616,0.77,0.80898,0.096935,0.55777,0.65961,0.82683,0.70915,0.38063,0.83668,0.75666,2
0.04666,0.62488,0.19566,0.18905,0.85346,0.76526,0.25776,0.38095,0.75117,0.41264,0.90536,0.56913,0.91129,1
0.5177,0.7012,0.50744,0.78149,0.80177,0.10573,0.57116,0.65807,0.82807,0.72152,0.40133,0.85013,0.7476,2
0.044576,0.6295,0.18118,0.19394,0.85146,0.73602,0.25614,0.37249,0.75183,0.4357,0.90852,0.571,0.91425,1
0.51557,0.69595,0.5152,0.77109,0.80138,0.090628,0.55214,0.65564,0.81473,0.71923,0.38697,0.83185,0.75699,2
0.52353,0.71639,0.52231,0.78153,0.81596,0.08352,0.5713,0.66365,0.82053,0.72469,0.37715,0.84912,0.75534,2
0.050016,0.61952,0.18016,0.18605,0.84773,0.77991,0.22362,0.37778,0.76641,0.4259,0.90649,0.57255,0.89843,1
0.048574,0.62099,0.1702,0.18686,0.85895,0.74649,0.23643,0.38007,0.75291,0.42753,0.90407,0.57123,0.9126,1
0.92526,0.72369,0.079014,0.92595,0.99731,0.81036,0.20128,0.63508,0.45779,0.60293,0.77652,0.55588,0.60352,3
0.036357,0.61731,0.20297,0.2028,0.84933,0.76204,0.23462,0.38537,0.74959,0.4471,0.90732,0.59243,0.90603,1
1.0027,0.70897,0.045929,0.91243,0.96625,0.74447,0.20286,0.59385,0.50722,0.63163,0.82155,0.60286,0.52685,3
0.52006,0.70397,0.50359,0.7728,0.79918,0.090361,0.55839,0.66068,0.81066,0.71264,0.39027,0.83297,0.74921,2
0.52136,0.69937,0.51621,0.77135,0.80871,0.10305,0.55772,0.69468,0.81465,0.72205,0.38816,0.84475,0.75312,2
0.52143,0.7068,0.51988,0.76686,0.81037,0.0891,0.54822,0.67361,0.80706,0.70593,0.39941,0.84213,0.75623,2
0.51513,0.69226,0.50896,0.77406,0.79796,0.097688,0.55186,0.66878,0.81026,0.72019,0.37948,0.84274,0.76144,2
0.050433,0.61562,0.19527,0.18979,0.86445,0.75989,0.23228,0.38485,0.75502,0.42206,0.91203,0.57703,0.90812,1
0.042326,0.6262,0.19627,0.18833,0.85721,0.75078,0.24642,0.38139,0.76301,0.42931,0.88732,0.57163,0.91629,1
0.51809,0.71815,0.50827,0.75919,0.81225,0.095216,0.55726,0.66776,0.82917,0.72162,0.38379,0.83205,0.75599,2
0.49741,0.7161,0.53073,0.76821,0.80275,0.088989,0.54877,0.67998,0.81963,0.71357,0.38502,0.83248,0.76366,2
0.048405,0.62733,0.18472,0.17946,0.87219,0.75304,0.2359,0.39935,0.75428,0.44255,0.90236,0.56383,0.90309,1
0.061572,0.63511,0.18902,0.17861,0.85722,0.75955,0.23062,0.38783,0.7741,0.42794,0.9011,0.57349,0.92346,1
0.035602,0.62267,0.17621,0.18538,0.86445,0.76033,0.2399,0.38233,0.75085,0.44038,0.90432,0.58062,0.9161,1
0.059642,0.62843,0.19126,0.20102,0.85713,0.77421,0.23274,0.37982,0.77439,0.42799,0.90445,0.57592,0.9252,1
0.043099,0.62535,0.18437,0.17883,0.85106,0.76511,0.23579,0.38286,0.76128,0.43875,0.90635,0.57519,0.92489,1
0.050307,0.63258,0.2128,0.18356,0.85161,0.75955,0.23791,0.37231,0.76308,0.43987,0.9101,0.55949,0.90703,1
0.26469,0.60843,0.04765,0.77544,0.080991,0.48183,0.53802,0.45059,0.82166,0.50226,0.82055,0.61,0.77898,0
0.53032,0.69902,0.51886,0.75827,0.81718,0.09284,0.55823,0.67266,0.81978,0.71976,0.37834,0.85086,0.74526,2
0.050193,0.62366,0.19397,0.18716,0.8486,0.76329,0.24224,0.37584,0.7435,0.42954,0.89441,0.56871,0.89851,1
0.96299,0.71886,0.096911,0.85837,0.95364,0.76379,0.20201,0.66431,0.52665,0.66838,0.8077,0.62693,0.56128,3
0.038526,0.62956,0.18496,0.19247,0.8622,0.76833,0.23762,0.3823,0.76267,0.42849,0.90413,0.5737,0.91248,1
0.52293,0.7154,0.52514,0.76011,0.80458,0.089646,0.55561,0.65848,0.82804,0.7074,0.40207,0.8472,0.76307,2
0.51934,0.70728,0.50962,0.7636,0.80372,0.094887,0.54595,0.67245,0.81869,0.72769,0.36988,0.8391,0.76475,2
0.054685,0.62362,0.20195,0.18804,0.86793,0.75103,0.23178,0.40236,0.76551,0.42472,0.90214,0.57036,0.92348,1
0.033983,0.61375,0.19975,0.17386,0.85514,0.78703,0.23383,0.37692,0.75032,0.43366,0.90381,0.57962,0.91553,1
0.033186,0.61714,0.19166,0.19081,0.86147,0.76309,0.23676,0.3838,0.75425,0.41598,0.91068,0.57022,0.90366,1
0.53314,0.70364,0.50764,0.76143,0.80799,0.10642,0.56154,0.64955,0.8035,0.71761,0.38552,0.84572,0.77294,2
0.048902,0.62925,0.19293,0.20218,0.85413,0.75374,0.24408,0.38095,0.75088,0.43446,0.91265,0.57339,0.90442,1
0.51874,0.71023,0.50152,0.76475,0.8158,0.089382,0.56631,0.66103,0.83098,0.70842,0.38714,0.84323,0.75563,2
1.006,0.66814,0.092855,0.84336,0.88395,0.82119,0.19745,0.66639,0.53655,0.66942,0.81991,0.63656,0.54462,3
0.049248,0.61558,0.17894,0.19131,0.85404,0.75163,0.24689,0.37946,0.76435,0.41949,0.91764,0.5776,0.894,1
0.95151,0.68247,0.13493,0.85357,0.9691,0.77714,0.18651,0.65033,0.51131,0.70894,0.81348,0.6088,0.58267,3
0.066149,0.61198,0.17432,0.20334,0.86446,0.78202,0.23717,0.38779,0.77086,0.43161,0.90784,0.57169,0.91139,1
0.95592,0.71642,0.099764,0.86502,0.95598,0.75509,0.19379,0.65214,0.51881,0.66117,0.81145,0.62086,0.56618,3
0.031824,0.62767,0.19818,0.18914,0.85565,0.76199,0.23634,0.39535,0.75979,0.42653,0.91961,0.56678,0.90625,1
0.98864,0.71527,0.06159,0.89958,0.99349,0.77627,0.22736,0.69035,0.54259,0.66542,0.82135,0.64012,0.55759,3
0.52338,0.70773,0.51263,0.78091,0.80816,0.099782,0.56624,0.67161,0.8099,0.72708,0.38867,0.82843,0.74403,2
0.045335,0.61791,0.19655,0.19321,0.84791,0.76205,0.25064,0.37013,0.75639,0.43761,0.89896,0.55598,0.93496,1
0.0483,0.61642,0.19095,0.18717,0.85183,0.7609,0.22975,0.38448,0.75476,0.43273,0.89936,0.56644,0.91592,1
0.9069,0.67257,0.053683,0.86588,0.92466,0.66291,0.23084,0.66731,0.51837,0.595,0.82817,0.61734,0.52227,3
0.96354,0.71826,0.11934,0.85804,0.95454,0.77361,0.16181,0.66527,0.51908,0.65882,0.81214,0.64475,0.56464,3
0.043895,0.62881,0.19368,0.19087,0.86,0.75243,0.2393,0.3746,0.7579,0.44041,0.90596,0.5776,0.91673,1
0.53337,0.69904,0.52387,0.7675,0.8064,0.086267,0.56476,0.65879,0.81257,0.71848,0.37204,0.84201,0.76114,2
0.52257,0.69879,0.52319,0.7566,0.81567,0.096029,0.57288,0.66423,0.83636,0.70707,0.38406,0.85316,0.77726,2
0.51359,0.70477,0.51889,0.76717,0.8151,0.093901,0.55777,0.6773,0.8294,0.73086,0.38571,0.84289,0.7451,2
