@relation base_data_3-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute class {0,1,2,3,4}

@data
0.54183,0.125,0.041629,0.66608,0.79212,0.62552,0.45837,0.49848,0.41574,0.24995,0.95792,0.45621,0.49957,0.3332,0.12478,0.8751,1
0.54276,0.70649,0.16606,0.74969,0.83351,0.5398,0.37468,0.58484,0.87516,0.1672,0.3747,0.25006,0.79208,0.041495,0.083514,0.12488,3
0.54406,0.13319,0.051288,0.65786,0.79031,0.61447,0.47112,0.50281,0.41932,0.24571,0.96272,0.45629,0.5011,0.33112,0.131,0.87886,1
0.45437,0.29688,0.83149,0.20412,0.66547,0.953,0.21245,0.95766,0.28532,0.95999,0.69832,0.38572,0.1696,0.87389,0.28474,0.61744,2
0.53787,0.13044,0.041862,0.66292,0.78569,0.6263,0.45953,0.50762,0.41869,0.24627,0.96138,0.45544,0.49687,0.33848,0.12679,0.87002,1
0.54197,0.12633,0.042944,0.66262,0.79201,0.62877,0.45462,0.50508,0.41227,0.25614,0.95714,0.44478,0.49532,0.33542,0.13166,0.8669,1
0.54294,0.1257,0.040957,0.66749,0.79149,0.62319,0.45959,0.49585,0.41057,0.24971,0.95453,0.45428,0.49673,0.33435,0.12651,0.87486,1
0.54423,0.12481,0.042469,0.66508,0.79042,0.62704,0.45728,0.49805,0.41476,0.24916,0.95507,0.4573,0.49996,0.33338,0.12638,0.87549,1
0.53483,0.1299,0.038992,0.66128,0.79357,0.62618,0.45127,0.50686,0.41669,0.24516,0.96171,0.45158,0.49485,0.33198,0.1205,0.88085,1
0.044717,0.49932,0.92342,0.61764,0.4243,0.90723,0.36886,0.46281,0.17196,0.58041,0.36984,0.66694,0.91423,0.75425,0.045729,0.62252,4
0.037892,0.49938,0.92322,0.62881,0.42503,0.91917,0.37795,0.44915,0.1751,0.59022,0.37958,0.65256,0.91508,0.74556,0.037213,0.63035,4
0.54116,0.12497,0.041137,0.66629,0.79209,0.62583,0.45892,0.49882,0.41553,0.2497,0.95808,0.45642,0.49843,0.33319,0.12404,0.87479,1
0.54175,0.70621,0.1656,0.7487,0.83278,0.53917,0.37431,0.58554,0.87478,0.16768,0.37453,0.24931,0.7922,0.041817,0.083761,0.12512,3
0.54173,0.1247,0.041467,0.66613,0.79214,0.62533,0.45841,0.49822,0.41575,0.25002,0.95815,0.45607,0.49977,0.33325,0.12471,0.87518,1
0.046616,0.49803,0.92133,0.61906,0.40757,0.91737,0.36799,0.45381,0.16889,0.57675,0.38365,0.65981,0.91528,0.73993,0.03752,0.63367,4
0.55688,0.13524,0.038969,0.66039,0.78662,0.62792,0.45749,0.50464,0.4168,0.24836,0.95916,0.45919,0.49617,0.32016,0.12814,0.88045,1
0.046698,0.49969,0.92478,0.61582,0.40809,0.92135,0.38332,0.44857,0.16985,0.59349,0.36791,0.67165,0.9118,0.75384,0.035223,0.63295,4
0.53722,0.1238,0.044265,0.66375,0.79537,0.62472,0.46466,0.50168,0.42238,0.25559,0.9529,0.45402,0.4943,0.33754,0.12179,0.87529,1
0.54558,0.12111,0.040184,0.66278,0.79073,0.62742,0.46374,0.50574,0.41357,0.24961,0.95861,0.4567,0.49897,0.33563,0.12462,0.8743,1
0.38789,0.71691,0.60579,0.45083,0.77706,0.4829,0.086082,0.52564,0.60734,0.81669,0.6832,0.12583,0.26882,0.14228,0.50289,0.73735,0
0.46388,0.29876,0.83141,0.21244,0.67412,0.96789,0.21507,0.94949,0.28353,0.95793,0.69927,0.38138,0.15721,0.8728,0.28435,0.63242,2
0.034416,0.50976,0.91964,0.61746,0.42467,0.91798,0.37054,0.45358,0.17625,0.57475,0.37067,0.65965,0.91097,0.7559,0.049296,0.63331,4
0.54149,0.1259,0.041743,0.66573,0.79193,0.62505,0.45768,0.49868,0.41596,0.25054,0.95828,0.45574,0.49925,0.33292,0.12445,0.87397,1
