@relation base_data_5-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
0.64301,0.72508,0.64871,0.30457,0.90021,0.59384,0.25479,0.71711,6
0.66265,0.7201,0.65425,0.31325,0.89467,0.58286,0.28196,0.70924,6
0.64233,0.71393,0.65042,0.29037,0.89641,0.58201,0.25486,0.71111,6
0.79467,0.30772,0.28179,0.15391,0.436,0.35898,0.20464,0.46191,1
0.35514,0.89802,0.91581,0.7538,0.16265,0.51777,0.1754,0.80739,4
0.71433,0.050339,0.15936,0.60207,0.80386,0.8264,0.24635,0.66298,2
0.36239,0.90374,0.92229,0.74986,0.15923,0.51415,0.17531,0.79993,4
0.79562,0.30831,0.2823,0.15318,0.43576,0.35998,0.2037,0.46152,1
0.33272,0.51264,0.69446,0.51406,0.87114,0.66553,0.30831,0.51276,7
0.36073,0.89696,0.91914,0.7442,0.14977,0.51284,0.17799,0.7995,4
0.63418,0.71603,0.63766,0.29476,0.90115,0.59586,0.23918,0.70923,6
0.69156,0.61399,0.6683,0.15338,0.79467,0.026506,0.026083,0.84321,5
0.64628,0.70499,0.64488,0.30067,0.88867,0.59409,0.25956,0.71833,6
0.63101,0.7057,0.64544,0.31138,0.89597,0.56984,0.24856,0.73088,6
0.79543,0.30848,0.28289,0.15497,0.43645,0.3593,0.20467,0.46145,1
0.33123,0.51493,0.69541,0.51325,0.87033,0.66445,0.31074,0.5133,7
0.69153,0.61426,0.66663,0.15434,0.79411,0.025644,0.025389,0.84484,5
0.71826,0.38547,0.40974,0.25665,0.051806,0.077057,0.51275,0.02585,3
0.33175,0.51332,0.69384,0.51384,0.87062,0.6663,0.30762,0.51372,7
0.36146,0.89986,0.9159,0.75092,0.15315,0.50482,0.17994,0.79725,4
0.79511,0.30742,0.28259,0.15278,0.43556,0.35984,0.20398,0.46227,1
0.72299,0.06308,0.15208,0.61478,0.82041,0.8289,0.25089,0.66959,2
0.33284,0.51221,0.69258,0.51381,0.87115,0.66422,0.30791,0.51309,7
0.61232,0.50943,0.60701,0.98695,0.049753,0.51075,0.586,0.49493,0
0.72269,0.38703,0.40999,0.25632,0.052492,0.075246,0.51013,0.027107,3
0.35536,0.90133,0.92161,0.75626,0.15891,0.51003,0.17155,0.8017,4
0.63448,0.70696,0.6414,0.30857,0.88453,0.58621,0.25636,0.72195,6
0.64467,0.71685,0.64608,0.30706,0.89794,0.5895,0.25826,0.7165,6
0.79519,0.30817,0.2808,0.15402,0.43553,0.3592,0.20425,0.46128,1
0.83961,0.079691,0.64308,0.63547,0.53256,0.77696,0.35693,0.92301,0
0.33283,0.51072,0.69075,0.51432,0.87399,0.66473,0.30956,0.51321,7
0.79571,0.30815,0.28203,0.15348,0.43678,0.35986,0.20448,0.46104,1
0.72028,0.38462,0.41109,0.25691,0.050678,0.077623,0.51292,0.025972,3
0.65255,0.72134,0.6347,0.31095,0.91654,0.58875,0.25262,0.71495,6
0.68992,0.6144,0.66689,0.15384,0.79507,0.025624,0.025806,0.84495,5
0.69122,0.61595,0.66675,0.15336,0.79255,0.024732,0.024835,0.84595,5
0.33313,0.5084,0.69002,0.51073,0.87074,0.66558,0.30966,0.50833,7
0.33286,0.51213,0.69271,0.51291,0.87144,0.66403,0.30895,0.51139,7
0.36017,0.89069,0.92122,0.75341,0.15231,0.52191,0.17628,0.80603,4
0.66108,0.71999,0.6424,0.29312,0.91511,0.58489,0.2906,0.72803,6
0.79556,0.30856,0.28082,0.15327,0.43581,0.3599,0.20514,0.46049,1
0.33415,0.51107,0.69502,0.51438,0.86775,0.66415,0.30761,0.51245,7
