@relation base_data_7-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
0.92119,0.049187,0.58148,0.70362,0.25318,0.9237,0.95988,0.49772,8
0.56119,0.86184,0.72637,-0.018484,0.18171,0.0071223,0.36309,0.86013,6
0.25847,0.10198,0.39539,0.79998,0.47667,0.96593,0.60932,0.3388,2
0.92369,0.66583,0.85815,0.74115,0.44241,0.14336,0.028562,0.85629,9
0.29985,0.81519,0.14096,0.47958,0.59074,0.33456,0.44961,0.2626,5
0.92881,0.66918,0.85117,0.74151,0.44866,0.14944,0.035874,0.84382,9
0.29156,0.81138,0.14571,0.47719,0.59613,0.33616,0.45669,0.26167,5
0.29634,0.81347,0.14195,0.47496,0.59174,0.33475,0.44618,0.26465,5
0.57727,0.806,0.63632,0.085295,0.27533,0.089318,0.40447,0.98829,6
0.61377,0.82638,0.63155,0.070885,0.27194,0.081087,0.46363,0.96209,6
0.91044,0.066187,0.629,0.65105,0.18653,0.87184,0.93887,0.4758,8
0.59676,0.54588,0.92535,0.37059,0.48169,0.29462,0.70896,0.69995,1
0.92682,0.66048,0.84821,0.73995,0.44704,0.14421,0.038608,0.85583,9
0.59511,0.54956,0.92526,0.36973,0.48385,0.30021,0.70372,0.69919,1
0.60051,0.55272,0.9238,0.36321,0.47893,0.29265,0.7108,0.70693,1
0.29406,0.80869,0.15018,0.48199,0.58351,0.33919,0.44476,0.25829,5
0.28642,0.8125,0.14196,0.477,0.59585,0.33577,0.44473,0.25835,5
0.91483,0.058835,0.65282,0.75083,0.20187,0.85442,0.94446,0.46115,8
0.62072,0.82287,0.62951,0.066797,0.25592,0.08734,0.43484,0.95843,6
0.29828,0.81371,0.15445,0.48281,0.59306,0.33744,0.45219,0.26213,5
0.29217,0.81262,0.14831,0.48433,0.59201,0.34458,0.44763,0.25711,5
0.3002,0.81102,0.15381,0.48771,0.58388,0.34186,0.44894,0.26468,5
0.59948,0.55902,0.91475,0.36985,0.48669,0.29947,0.69445,0.70281,1
0.29692,0.81313,0.14079,0.47504,0.59006,0.33811,0.44456,0.25978,5
0.92488,0.6669,0.84685,0.74233,0.44144,0.15037,0.036477,0.84547,9
0.79674,0.73129,0.92178,0.82964,0.29599,0.9701,0.2052,0.61835,4
0.60077,0.76037,0.69814,0.025644,0.22024,0.094389,0.42136,1.0018,6
0.83189,0.089425,0.68017,0.58587,0.24348,0.76977,1.0994,0.18955,8
0.30399,0.81454,0.146,0.47677,0.591,0.33764,0.4461,0.25734,5
0.63109,1.0515,0.62943,0.052051,0.27605,0.1679,0.4384,0.79826,6
0.92028,0.066954,0.62441,0.65769,0.18867,0.87206,0.96346,0.486,8
0.92235,0.66485,0.84956,0.7392,0.44182,0.14339,0.050557,0.84817,9
