@relation close_data_10-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}

@data
0.63986,0.918,0.24997,0.9044,0.83858,0.82392,0.94445,0.5085,0.089372,0.85404,0.24349,8
0.22235,0.44111,0.75589,0.36044,0.85804,0.55086,0.76382,0.90852,0.62688,0.94116,0.43616,6
0.27147,0.52169,0.84933,0.81585,0.33322,0.15455,0.40944,0.86349,0.51581,0.31197,0.48292,12
0.24324,0.8064,0.69386,0.68384,0.61747,0.47269,0.31147,0.429,0.2536,0.9218,0.65781,14
0.47129,0.8244,0.2922,0.28331,0.15447,0.64993,0.31988,0.92872,0.15035,0.21572,0.2868,4
0.22487,0.4193,0.78365,0.33411,0.85078,0.58655,0.76734,0.92859,0.5888,0.92827,0.45835,6
0.83451,0.52171,0.86685,0.85951,0.30648,0.64451,0.67218,0.13372,0.44193,0.21284,0.15472,9
0.92362,0.68856,0.91998,0.032829,0.87331,0.088578,0.66046,0.45404,0.42043,0.63111,0.40652,15
0.24786,0.42344,0.78154,0.34228,0.84158,0.5592,0.73794,0.95602,0.63996,0.904,0.48578,6
0.92219,1.0197,0.2747,0.81949,0.27507,1.001,0.85249,0.40358,0.93841,0.91167,0.48725,11
0.29426,0.77125,0.69874,0.59322,0.70047,0.47663,0.23173,0.22102,0.32891,0.83486,0.74832,14
0.43839,0.70151,0.31865,0.4437,0.18605,0.54426,0.28139,0.94712,-0.041767,0.24214,0.27193,4
0.42683,0.82551,0.28469,0.26644,0.16196,0.64931,0.3621,1.0422,0.1371,0.20857,0.37807,4
0.19628,0.76652,0.53621,0.53494,0.75649,0.44362,0.23633,0.19574,0.095212,0.86949,0.77139,14
0.28257,0.42579,0.7576,0.42267,0.84129,0.5592,0.76273,0.96005,0.66737,0.92944,0.4292,6
0.24333,0.41877,0.74134,0.36267,0.82846,0.53641,0.80354,0.88022,0.63676,0.964,0.41983,6
0.62976,0.91759,0.26677,0.88372,0.81228,0.86145,0.91402,0.51495,0.12628,0.86156,0.21456,8
0.63859,0.68089,0.21251,0.72056,0.098957,0.87913,0.10401,0.676,0.35294,0.5896,0.48078,5
0.94902,1.0716,0.21954,0.84554,0.10585,0.9253,0.6571,0.45796,0.9074,1.0591,0.50754,11
0.5934,0.71382,0.21118,0.72635,0.13352,0.934,0.037846,0.71303,0.37922,0.54261,0.49591,5
0.90357,0.64566,0.83459,0.17708,0.85219,0.092234,0.98345,0.37331,0.49559,0.51195,0.36585,15
0.12232,0.35848,0.68475,0.99734,0.052749,0.14941,0.41088,0.80626,0.45874,0.41551,0.55481,12
0.91768,0.61207,0.8498,0.22138,0.68675,0.071367,0.76426,0.46545,0.46538,0.54184,0.38895,15
0.37966,0.83611,0.28683,0.096781,0.30134,0.50516,0.32892,0.79447,0.17219,0.13306,0.02405,4
0.96616,0.6231,0.87515,0.61489,0.21195,0.59739,0.6452,0.21096,0.50814,0.30005,0.058965,9
0.8818,0.47957,0.81166,0.76676,0.3342,0.66996,0.65269,0.1237,0.46138,0.37194,0.17782,9
0.68314,0.73425,0.15465,0.73463,0.08521,0.85805,0.084464,0.67701,0.34489,0.66818,0.43001,5
0.59525,0.68784,0.22927,0.77403,0.075329,0.90146,0.11357,0.6585,0.34225,0.60438,0.46812,5
