@relation close_data_11-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17}

@data
0.83578,0.35982,0.72597,0.5698,0.24758,0.1999,0.22266,0.55648,8
0.94707,0.28654,1.0959,0.60401,0.39145,0.37621,0.050653,0.59659,8
0.91321,0.29913,0.8105,0.5868,0.32032,0.35824,0.062688,0.46487,8
0.40311,0.30581,0.66504,0.148,0.23839,0.85439,0.56338,0.57569,7
1.0639,0.32251,0.79471,0.64868,0.33314,0.22201,0.1399,0.48993,8
0.95285,0.1911,0.64334,0.60536,0.45621,0.23787,0.13001,0.5559,8
0.64029,0.9129,0.60361,0.54781,0.65477,0.53853,0.77949,0.23468,13
0.15776,0.071289,0.16008,0.81647,0.21226,0.80922,0.115,0.61832,3
0.068399,0.1137,0.6425,0.30463,0.22034,0.59588,0.40581,0.28101,16
0.32655,0.35596,0.86121,0.70916,0.82097,0.90272,0.88862,0.18732,12
0.19442,0.095936,0.17241,0.87144,0.16187,0.8443,0.075921,0.67445,3
-0.075759,0.48714,0.74236,0.94265,0.6285,0.61017,0.58403,0.15974,12
0.76258,0.70346,0.73071,0.97737,0.23448,0.35438,0.19458,0.45118,2
0.11202,0.31485,0.54525,0.56538,0.10437,0.2894,0.29082,0.21381,6
0.64969,0.92605,0.62363,0.47469,0.64933,0.57317,0.81952,0.15169,13
0.1152,0.29213,0.5364,0.56032,0.10581,0.29692,0.28384,0.22851,6
0.11537,0.35439,1.0267,0.63215,0.84248,1.0678,0.8092,0.31613,12
0.5548,0.36737,0.47129,0.81534,0.26677,0.26936,0.63575,0.54186,5
0.90222,0.27741,0.92869,0.63959,0.39774,0.34608,0.2655,0.58255,8
0.17386,0.63454,0.73607,0.37114,0.53386,0.55126,0.28288,0.18164,15
0.63673,0.90834,0.63644,0.4464,0.63675,0.54258,0.82697,0.17762,13
0.81792,0.26777,0.90946,0.66406,0.16343,0.24359,0.35982,0.47442,8
0.10461,0.29897,0.55238,0.56742,0.1272,0.2961,0.28698,0.2324,6
0.71922,0.69899,0.63027,0.91337,0.21097,0.35036,0.095163,0.56553,2
0.53675,0.097806,0.63527,0.80564,0.44483,0.18148,0.28122,0.63173,17
0.11428,0.30353,0.54136,0.56127,0.10565,0.28386,0.28034,0.19253,6
0.1205,0.31435,0.53397,0.57867,0.11313,0.30568,0.28071,0.20265,6
0.9117,0.17819,0.27484,0.46423,0.35891,0.7284,0.27283,0.71815,11
0.92523,0.33534,1.0053,0.55361,0.48907,0.25523,0.26418,0.55983,8
0.90962,0.18018,0.26441,0.44298,0.36408,0.72056,0.29325,0.72758,11
0.21767,0.84057,0.38006,0.40326,0.80493,0.38646,0.55942,0.24635,14
0.48409,0.75571,0.65731,0.35953,0.47632,0.62901,0.32185,0.75191,1
0.62078,0.40572,0.80518,0.79352,0.86396,0.7887,1.2035,0.29894,12
0.10922,0.19964,0.63767,0.85886,0.67844,0.57442,1.0977,0.26893,12
0.63439,0.91671,0.66403,0.46611,0.65609,0.50866,0.82098,0.20063,13
0.587,0.93799,0.61567,0.4526,0.64537,0.54068,0.85445,0.19255,13
0.12348,0.30685,0.55056,0.56979,0.10303,0.27504,0.28732,0.21746,6
0.65742,0.91438,0.64195,0.44941,0.6288,0.52248,0.80923,0.18699,13
0.6515,0.91878,0.61444,0.46045,0.63953,0.55753,0.81224,0.17656,13
0.3125,0.82744,0.22702,0.1965,0.6234,0.51577,0.5671,0.17614,14
0.89524,0.57796,0.55905,0.43679,0.18424,0.41005,0.85427,0.17179,4
0.44618,0.29132,0.68194,0.13824,0.27563,0.79857,0.53131,0.54373,7
0.2155,0.72213,0.24127,0.2506,0.75711,0.44715,0.49491,0.36451,14
0.9095,0.51156,0.845,0.52969,0.33237,0.44548,0.058115,0.56024,8
0.57579,0.91114,0.6225,0.44339,0.66837,0.55963,0.79785,0.17902,13
0.11162,0.31033,0.53815,0.57264,0.115,0.2876,0.28652,0.20488,6
0.1744,0.099882,0.1971,0.81481,0.18003,0.8336,0.080129,0.6307,3
0.54018,0.53774,0.36575,0.54447,0.64316,0.37076,0.36205,0.087533,9
0.63714,0.91213,0.63613,0.45243,0.63562,0.54305,0.82047,0.18349,13
0.1345,0.3795,0.24905,0.35916,0.70428,0.47613,0.3906,0.35036,14
0.52608,0.53621,0.36968,0.5392,0.66176,0.34622,0.31525,0.072545,9
0.9156,0.55288,0.52283,0.39838,0.19329,0.31356,0.79679,0.1818,4
0.17911,0.60799,0.74825,0.35796,0.54897,0.54652,0.29084,0.20788,15
0.1198,0.30015,0.54641,0.55635,0.11024,0.28006,0.30323,0.21594,6
-0.12989,0.24655,0.95375,0.86938,0.68007,0.61946,0.71547,0.25435,12
0.92746,0.57595,0.55747,0.47705,0.19231,0.38276,0.82946,0.20652,4
0.78956,0.48693,0.7405,0.28301,0.68068,0.65598,0.47574,0.19524,10
0.54619,0.091568,0.6273,0.82978,0.45005,0.17998,0.26908,0.63733,17
0.63505,0.91735,0.62939,0.4445,0.64133,0.55178,0.81566,0.17246,13
0.63678,0.91149,0.63828,0.46282,0.62935,0.53013,0.80853,0.18642,13
0.12097,0.2893,0.53507,0.58239,0.10183,0.29087,0.29166,0.19513,6
0.6417,0.91345,0.67798,0.43007,0.62903,0.5383,0.80107,0.17747,13
0.34068,0.84399,0.095388,0.38655,0.48414,0.66865,0.51056,0.13814,14
0.73574,0.50136,0.74328,0.28342,0.7085,0.69126,0.48931,0.19912,10
0.20679,0.63318,0.77608,0.349,0.54566,0.54715,0.28418,0.17356,15
0.53869,0.093564,0.64166,0.82876,0.44867,0.19223,0.28014,0.63411,17
0.90183,0.17919,0.27795,0.46831,0.3473,0.72544,0.25454,0.73724,11
0.23626,0.65983,0.08755,0.41769,0.44832,0.30424,0.44943,0.18024,14
0.60318,0.53251,0.38159,0.54665,0.60734,0.40207,0.39697,0.11434,9
0.14373,0.30272,0.54073,0.57081,0.10754,0.27694,0.28113,0.21378,6
0.90467,0.22345,0.97745,0.64134,0.33789,0.22272,0.1939,0.49736,8
0.30711,0.7367,0.12062,0.42021,0.77326,0.58994,0.56173,0.37766,14
0.54384,0.36497,0.46932,0.81721,0.27005,0.27343,0.63903,0.55061,5
0.63842,0.91535,0.62974,0.45543,0.63276,0.54433,0.81828,0.18609,13
