@relation close_data_17-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29}

@data
0.33839,0.90874,0.26048,0.16737,0.91445,0.42045,0.49074,0.41345,0.67096,0.2563,0.34044,0.8391,9
0.88169,0.29824,0.19908,0.17048,0.59785,0.30563,0.35798,0.79911,0.47727,0.63976,0.79315,0.93551,12
0.91263,0.35733,0.20112,0.12208,0.58573,0.26095,0.36566,0.76992,0.53429,0.60803,0.71514,0.89552,12
0.55561,0.41893,0.29133,0.3365,0.88593,0.86727,0.56546,0.5314,0.87729,0.23428,0.8264,0.89872,14
0.21067,0.072432,0.12852,0.85598,0.3175,0.049178,0.42783,0.22273,0.74766,0.53982,0.064154,0.46764,18
0.49042,0.25748,0.66773,0.58265,0.66697,0.33235,0.41615,0.16166,0.085408,0.49381,0.1638,0.5859,17
0.53266,0.39243,0.36067,0.35923,0.91582,0.80957,0.62259,0.46207,0.89332,0.26225,0.77993,0.95768,14
0.13391,0.56442,1.0932,0.1653,0.50244,0.69761,0.61667,0.14028,0.58646,0.56004,0.72652,0.60019,26
0.43065,0.18804,0.36595,-0.023727,0.2535,0.25429,0.043204,0.52322,0.77002,0.72159,0.63027,0.63479,20
0.50047,0.2504,0.66652,0.58634,0.67069,0.32528,0.40553,0.1644,0.086668,0.50169,0.164,0.58506,17
0.95123,0.38187,0.27389,0.23225,0.58049,0.22655,0.39846,0.74188,0.56511,0.62575,0.67115,0.88532,12
0.56733,0.40472,0.38076,0.36052,0.89463,0.80549,0.61813,0.50537,0.82131,0.27403,0.81757,0.95462,14
0.67218,1.0645,0.17377,0.67025,0.37838,0.43024,0.76962,0.40516,0.43463,0.9948,0.6023,0.69196,22
0.58401,0.50279,0.91381,0.078441,0.32985,0.075373,0.32468,0.15777,0.66847,0.58741,0.57621,0.83928,27
0.42531,0.083498,0.1658,0.50483,0.50206,0.25721,0.49422,0.41732,0.74835,0.2496,0.2478,0.50219,25
0.6515,0.57846,0.49804,0.078295,0.16557,0.2552,0.83684,0.65723,0.74544,0.41563,0.095547,0.91076,21
0.55355,0.45828,0.32386,0.33615,0.93016,0.82062,0.62049,0.52065,0.84578,0.21261,0.82182,0.92281,14
0.57741,0.50583,0.91087,0.076345,0.3384,0.085845,0.33713,0.16336,0.67444,0.57754,0.58062,0.83212,27
0.13404,0.071116,0.18452,0.79944,0.28652,0.11448,0.4038,0.22852,0.70779,0.49974,0.099906,0.47941,18
0.40549,0.25243,0.6605,0.24884,0.91309,0.58181,0.16329,0.24249,0.089278,0.4939,0.59396,0.24161,3
0.58278,0.92135,0.84,0.84498,0.50559,0.33182,0.1634,0.74892,0.33178,0.75369,0.16623,0.32798,7
0.74211,0.080685,0.58566,0.25664,0.74423,0.83823,0.91732,0.3464,0.82654,0.08703,0.25159,0.1672,23
0.32888,0.90224,0.246,0.16428,0.928,0.41577,0.49713,0.40984,0.67152,0.24614,0.3361,0.8319,9
0.67801,0.14251,0.89144,0.17406,0.94963,0.30629,0.48689,0.15924,0.98439,0.76549,0.72474,0.74673,16
0.7693,0.75559,0.91863,0.18282,0.50948,0.85343,0.57526,0.88346,0.33021,0.11012,0.74668,0.48583,28
0.084184,0.24875,0.67145,0.17215,0.58275,0.49277,0.91345,0.41196,0.15988,0.67095,0.7494,0.907,1
0.15652,0.084759,0.15287,0.82109,0.31338,0.11105,0.38358,0.27865,0.71857,0.54144,0.070142,0.48224,18
0.56999,0.46824,0.33407,0.34998,0.88003,0.85051,0.56457,0.52122,0.8545,0.25099,0.84121,0.90712,14
0.50553,0.083758,0.74668,0.49799,0.83572,0.66482,0.16245,0.082416,0.1675,0.25065,0.7564,0.74636,5
0.57556,0.75796,0.085194,0.58779,0.58292,0.33705,0.58782,0.58896,0.16319,0.83215,0.49507,0.33049,11
0.25166,0.34257,0.74948,0.8281,0.41286,0.74458,0.33499,0.92065,0.57969,0.84512,0.26172,0.084476,29
0.74227,0.081655,0.58458,0.25046,0.75533,0.8413,0.92442,0.33624,0.83131,0.080318,0.25261,0.17181,23
0.78285,0.3442,0.23524,0.38191,0.84026,0.25947,0.64362,0.46307,0.27412,0.8957,0.31774,0.35968,6
