@relation close_data_20-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27}

@data
0.31804,0.39817,0.43611,0.59621,0.5099,0.32884,0.59957,0.40923,0.83423,0.28861,0.053366,0.57882,0.052067,0.62451,0.7324,0.82938,0.36125,0.020371,0.37936,0.37352,0.057401,0.19087,0.78437,0.036357,0.10293,0.34391,0.84316,0.46492,0.37195,7
0.25493,0.5027,0.41819,0.4827,0.55774,0.39807,0.7207,0.3432,0.73887,0.40207,0.044647,0.56175,0.031888,0.6362,0.7983,0.69382,0.41233,0.033455,0.45111,0.40007,0.10051,0.20851,0.66961,0.13315,0.20889,0.40271,0.87876,0.41293,0.31808,7
0.57425,0.88381,0.09847,0.65732,0.89581,0.78449,0.8923,0.346,0.098542,0.46278,0.22784,0.20894,0.56066,0.78552,0.89443,0.91455,0.55465,0.86426,0.56076,0.68412,0.57732,0.88772,0.09644,0.89085,0.20166,0.4482,0.90436,0.42994,0.1993,15
0.10504,0.23349,0.41906,0.19808,0.12164,0.089727,0.37178,0.19572,0.11044,0.3016,0.57525,0.50565,0.13115,0.51319,0.9439,0.50483,0.59748,0.88833,0.42667,0.5608,0.70675,0.2319,0.19275,0.51711,0.90148,0.69979,0.44564,0.35139,0.65711,0
0.79513,0.56812,0.23544,0.12827,0.88051,0.3204,0.664,0.74651,0.65912,0.64657,0.23381,0.76495,0.91431,0.096889,0.095683,0.54496,0.2361,0.34896,0.68269,0.53519,0.09959,0.12591,0.23254,0.87911,0.098587,0.21105,0.5602,0.74982,0.53332,25
0.11889,0.8099,0.5794,0.66097,0.093809,0.10195,0.68524,0.093318,0.21588,0.56601,0.4296,0.90449,0.56872,0.45692,0.13144,0.2332,0.76727,0.22935,0.20596,0.90553,0.56928,0.57143,0.67572,0.75456,0.34433,0.56468,0.34759,0.10521,0.11921,13
0.47119,0.95105,-0.12387,0.75297,-0.24943,0.77541,0.30021,0.56268,-0.14614,0.20553,0.91378,0.72962,0.0119,0.81721,0.55824,0.90375,0.48471,0.77719,0.84667,1.3066,0.4604,1.2337,0.51138,0.38615,0.064204,0.28138,0.22244,0.030067,0.11458,12
0.61883,0.39623,0.25211,0.93348,0.61091,0.4811,0.70646,0.87521,0.72625,0.094778,0.84055,0.22424,0.15705,0.17571,0.56688,0.10867,0.5532,0.071944,0.61749,0.48776,0.54231,0.45558,0.14759,0.75105,0.86929,0.46853,0.55071,0.72555,0.8276,26
0.11022,0.80437,0.90494,0.36622,0.76332,0.18937,0.43607,0.64447,0.78149,0.64051,0.43274,0.34301,0.31567,0.41771,0.79403,0.34595,0.76709,0.68886,0.87965,0.19356,0.10764,0.82508,0.89955,0.21328,0.44351,0.098642,0.85873,0.22439,0.43567,22
0.85814,0.31554,0.26327,0.55786,0.79429,0.8288,0.66987,0.85408,0.44406,0.1099,0.38774,0.14387,0.27503,0.66015,0.091697,0.44782,0.23397,0.26007,0.18862,0.23243,0.67228,0.62267,0.81457,0.33616,0.61623,0.48515,0.50614,0.23186,0.76657,24
