@relation close_data_4-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25}

@data
0.26577,0.73554,0.15623,0.048894,0.31429,25
0.73183,0.89166,0.27724,0.59633,0.68548,8
0.6298,0.89396,0.47553,0.89345,0.47269,21
0.26481,0.74249,0.15578,0.053319,0.3203,25
0.21242,0.79268,0.42275,0.89262,0.62979,15
0.63204,0.89615,0.47198,0.89337,0.47489,21
0.26388,0.73929,0.16053,0.052608,0.32018,25
0.52831,0.31636,0.26288,0.94554,0.47292,1
0.30035,0.68437,0.62291,0.50517,0.42042,16
0.63275,0.57813,0.21134,0.58141,0.15877,17
0.78967,0.20921,0.73878,0.42176,0.3664,7
0.33939,0.68201,0.63367,0.48924,0.35617,16
0.20999,0.79572,0.4218,0.8952,0.63331,15
0.57637,0.52731,0.53096,0.42432,0.79081,13
0.52624,0.31615,0.26496,0.94554,0.47491,1
0.18784,0.73901,0.61112,0.60074,0.65168,10
0.31752,0.10373,0.41997,0.73798,0.47216,5
0.57547,0.53173,0.52289,0.42109,0.78431,13
0.58079,0.52574,0.52435,0.42291,0.79576,13
0.36677,0.19579,0.039166,0.49687,0.16224,12
0.18485,0.72616,0.63435,0.57385,0.6512,10
0.052786,0.63327,0.68536,0.47527,0.36762,11
0.52313,0.15941,0.94996,0.21218,0.68261,23
0.84147,0.38147,0.25451,0.2534,0.11337,20
0.52728,0.052955,0.8438,0.8371,0.16193,3
0.52395,0.16073,0.9503,0.21172,0.68701,23
0.68946,0.86797,0.29605,0.63631,0.72223,8
0.63262,0.89433,0.47403,0.89612,0.47254,21
0.52626,0.31433,0.26511,0.94448,0.47346,1
0.1976,0.72154,0.61647,0.60789,0.66416,10
0.5795,0.9289,0.55636,0.24309,0.57,6
0.37234,0.21577,0.37075,0.10571,0.051824,9
0.52796,0.31471,0.26429,0.94749,0.47482,1
0.78686,0.20937,0.73861,0.42215,0.36847,7
0.2332,0.73735,0.6165,0.56857,0.65838,10
0.51738,0.91627,0.71556,0.33853,0.5715,6
