@relation close_data_7-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
0.15952,0.11935,0.21553,0.81209,0.16255,0.36882,0.88251,0.39694,10
0.71379,0.47498,0.75845,0.71515,0.56944,0.38065,0.47522,0.62059,3
0.095953,0.095613,0.72255,0.28842,0.85027,0.53126,0.2486,0.28347,5
0.54519,0.24251,0.59362,0.66211,0.89175,0.50593,0.30912,0.43768,30
0.33048,0.92978,0.5934,0.48002,0.98529,0.89921,0.34409,0.14006,14
0.32955,0.95453,0.60962,0.47725,0.98138,0.88637,0.37454,0.12621,14
0.16592,0.35118,0.87309,0.034207,0.59075,0.69396,0.91782,0.57405,24
0.13523,0.40646,0.82822,0.055016,0.54585,0.74208,0.9294,0.6043,24
0.20031,0.31686,0.1194,0.40521,0.50346,0.2202,0.9018,0.44901,2
0.096417,0.099269,0.71656,0.29656,0.86124,0.53565,0.23087,0.28327,5
0.90385,0.43388,0.57706,0.95533,0.95321,0.70797,0.099949,0.71938,7
0.083485,0.091582,0.71341,0.28681,0.86111,0.52073,0.23901,0.27688,5
0.14322,0.095122,0.66746,0.092518,0.71433,0.56856,0.71617,0.95446,18
0.90027,0.04271,-0.014443,0.28646,0.20104,0.79545,0.3953,0.87542,13
0.90463,0.42588,0.57105,0.96093,0.96758,0.70867,0.097152,0.71031,7
0.27467,0.62204,0.81035,0.24267,0.42252,0.24399,0.084541,0.71201,27
0.68424,0.48637,0.28655,0.82282,0.46016,0.29691,0.16723,0.11063,21
0.1372,0.14335,0.20867,0.81601,0.13095,0.37066,0.93153,0.41585,10
0.11599,0.38253,0.83505,0.072399,0.55748,0.7129,0.91938,0.55729,24
0.27322,0.14485,0.22288,0.80819,0.96471,0.23042,0.043276,0.96496,15
0.14637,0.35104,0.66183,0.59328,0.47009,0.73293,0.23784,0.054118,31
0.35777,0.96949,0.58812,0.4814,0.93362,0.92757,0.36381,0.1073,14
0.7044,0.26871,0.61228,0.12182,0.19857,0.28678,0.26192,0.45673,23
0.74535,0.5012,0.78933,0.78501,0.57481,0.40525,0.50112,0.66227,3
0.12382,0.36069,0.86161,0.063494,0.58305,0.74123,0.90047,0.57639,24
0.27627,0.61464,0.80511,0.24794,0.42116,0.22761,0.099814,0.71342,27
0.1358,0.38989,0.83291,0.037079,0.59547,0.74915,0.91466,0.56662,24
0.14424,0.33696,0.66726,0.62836,0.46751,0.69983,0.27231,0.030631,31
0.10677,0.097813,0.72244,0.28427,0.85477,0.53311,0.24563,0.2923,5
0.36603,0.24182,0.1628,0.050765,0.6573,0.21243,0.24549,0.17551,6
0.34382,0.85739,0.94851,0.682,0.5249,0.43795,0.6641,0.47631,1
0.36412,0.41384,0.57271,0.032707,0.74651,0.92449,0.25813,0.84912,22
0.12686,0.16952,0.20559,0.82266,0.13,0.4012,0.8782,0.40686,10
0.32388,0.86886,0.95075,0.6939,0.53885,0.43367,0.66624,0.48642,1
0.84476,0.19232,0.13261,0.66144,0.73294,0.23296,0.80134,0.33726,26
0.12355,0.16545,0.2271,0.78078,0.14188,0.38949,0.9361,0.42421,10
0.65128,0.63242,0.47172,0.27968,0.53336,0.57625,0.61716,0.64881,25
0.28098,0.61403,0.81081,0.23434,0.43324,0.22941,0.092651,0.72377,27
0.085463,0.087046,0.7144,0.2817,0.8654,0.5181,0.24696,0.2824,5
0.29041,0.1291,0.22472,0.80703,0.95485,0.23575,0.052963,0.9535,15
0.2069,0.42528,0.55886,0.07847,0.85907,0.9123,0.050977,1.0305,22
0.28548,0.13922,0.23149,0.79945,0.94387,0.24705,0.037812,0.96134,15
0.48706,0.032505,0.64151,0.68688,0.17069,0.94252,0.20421,0.30956,4
0.32567,0.96568,0.55064,0.46294,0.91875,0.89252,0.35798,0.12437,14
0.30672,0.90603,0.57388,0.4741,0.91903,0.91688,0.29989,0.15817,14
0.77885,0.19016,0.062622,0.69078,0.73485,0.2087,0.73663,0.31669,26
0.64412,0.65903,0.4962,0.31112,0.52715,0.57867,0.59939,0.60575,25
0.51218,0.067981,0.5321,0.63456,0.17662,0.88302,0.2207,0.21531,4
0.23435,0.56714,0.98026,0.50927,0.098262,0.3596,0.41577,0.6148,17
0.71869,0.32086,0.61342,0.14806,0.23057,0.28549,0.21032,0.46892,23
0.30156,0.90614,0.60051,0.49641,0.95285,0.92508,0.38027,0.11619,14
0.29429,0.6291,0.8061,0.24616,0.41808,0.23892,0.095781,0.7179,27
0.66074,0.6052,0.48661,0.32285,0.51878,0.54313,0.60638,0.64867,25
0.29168,0.91201,0.55204,0.52513,0.97407,0.88697,0.32971,0.15,14
0.89547,0.42263,0.58203,0.95116,0.95008,0.70745,0.092891,0.71545,7
0.25707,0.57377,0.92909,0.53574,0.078535,0.34412,0.3671,0.60347,17
0.28783,0.90723,0.57224,0.51645,0.99184,0.89419,0.32493,0.14882,14
0.65242,0.65069,0.44649,0.28832,0.52904,0.57153,0.60446,0.66198,25
0.12391,0.13613,0.2622,0.823,0.16021,0.34213,0.90501,0.41254,10
