@relation close_data_8-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}

@data
1.0084,0.51388,1.1172,0.62402,0.38979,0.33358,0.80606,0.077354,-0.0057752,0.11602,0.16707,0.47938,0.64095,0.40668,0.56531,24
0.19191,0.48384,0.29633,0.10465,0.29706,0.66144,0.58385,0.52396,0.063647,0.4277,0.67435,0.23636,0.54054,0.58852,0.89086,27
0.73968,0.22666,0.12947,0.64662,0.56185,0.45153,0.10818,0.8004,0.35755,0.88186,0.23019,0.34009,0.66429,0.8852,0.092409,37
0.73684,0.5858,0.23139,0.59044,-0.071596,0.58601,1.0672,0.14489,0.19561,1.1413,0.62966,0.14293,0.7957,0.92732,0.9919,10
0.39244,0.91292,0.36038,0.4811,0.79678,0.57905,0.69286,0.46282,0.90584,0.49031,0.25582,0.70766,0.52109,0.80408,0.46286,18
-0.15219,1.0066,0.83867,1.057,0.49517,0.57984,0.70008,0.25702,0.77907,1.297,0.39851,0.51553,0.075757,0.82775,0.75386,28
0.59825,0.594,0.78799,0.69353,0.38623,0.46909,0.77146,0.88853,0.45124,0.48798,0.86939,0.54495,0.18499,0.094551,0.10844,16
0.55343,0.74123,0.83556,0.80092,0.17168,-0.001942,0.68828,-0.062201,0.16467,0.061571,0.027773,0.36482,0.61397,0.13093,0.50314,24
0.81863,0.37775,0.51475,0.35815,0.7077,0.4881,0.68279,0.50934,0.45212,0.90725,0.7692,0.29118,0.81216,0.83088,0.21006,12
0.75759,0.22708,0.89809,0.21898,0.8053,0.10416,0.89234,0.75847,0.66754,0.65349,0.2286,0.2207,0.76947,0.66071,0.56415,25
0.42747,0.58832,0.66055,0.77593,0.75016,0.069257,0.26771,0.16665,0.55999,0.46824,0.19996,0.58358,0.58144,0.38554,0.50847,38
0.80629,0.38122,0.83242,0.77892,0.55929,0.48874,0.75517,0.12494,0.36882,0.22851,0.79672,0.68394,0.95641,0.6467,0.71467,32
0.86667,0.56307,0.74115,0.28042,0.68912,0.26102,0.75275,0.045813,0.23724,0.79656,0.50132,0.71302,0.13564,0.56357,0.11507,11
0.24388,0.38049,0.34331,0.68149,0.59584,0.24213,0.15188,0.36178,0.92885,0.34204,0.90679,0.23449,0.60827,0.13515,0.73025,8
0.74172,0.39156,0.91167,0.85369,-0.088617,0.5784,1.0699,0.20462,0.066164,0.95121,0.98257,0.11976,0.61593,0.86864,0.75286,10
0.33953,0.43076,0.73849,0.21247,0.92044,0.75889,0.88033,0.64517,0.098719,0.44104,0.44628,0.42629,0.50938,0.75813,0.32027,2
0.34881,0.54358,0.11727,0.32953,0.45128,0.42827,0.55177,0.10647,0.34368,0.42982,0.66638,0.34379,0.55607,0.57638,0.7765,7
0.94352,0.55501,0.61685,0.37901,0.97563,0.12274,0.62634,0.11414,0.55939,1.0414,0.5799,1.0195,0.11234,0.55196,0.29279,11
0.11748,0.22173,0.58459,0.35569,0.49342,0.46779,0.34883,0.51989,0.46885,0.88144,0.42128,0.22083,0.91132,0.86094,0.36418,0
0.82572,0.82632,0.14465,0.65922,0.79575,0.1495,0.7034,0.33477,0.81507,0.6845,0.14885,0.94453,0.61874,0.79236,0.38752,6
0.24494,0.38367,0.35118,0.75719,0.60821,0.24854,0.15473,0.36389,0.92142,0.32587,0.95166,0.26691,0.57274,0.14273,0.74274,8
0.54596,0.55784,0.22358,0.75169,0.88022,0.78897,0.75538,0.55526,0.33341,0.22485,0.77736,0.33997,0.89876,0.53488,0.64803,29
0.093606,0.88145,0.67348,0.93423,0.3322,0.97021,0.51727,0.42273,1.0667,0.69059,0.47536,0.66047,0.07972,0.79721,0.96723,28
0.77715,0.65432,0.89863,0.33794,0.34674,0.78449,0.79415,0.44373,0.22972,0.5454,0.33148,0.54441,0.34893,0.10864,0.21038,17
