@relation dens-diff_data_1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}

@data
0.26877,0.82992,0.068578,0.60265,0.83587,13
0.963,0.72398,0.75427,0.59674,0.80552,16
0.73106,0.56976,0.1353,0.63152,0.2706,5
0.10066,0.53685,0.69696,0.066134,0.4998,2
0.25883,0.83024,0.067109,0.59509,0.83541,13
0.75185,0.51356,0.15055,0.96375,0.5678,9
0.2687,0.83022,0.066717,0.59844,0.83779,13
0.76213,0.53905,0.13676,1.0034,0.58061,9
0.1657,0.46854,0.87157,0.46282,0.15647,14
0.73831,0.57204,0.13583,0.63089,0.27057,5
0.67216,0.71925,1.0027,0.25763,0.74156,8
0.96531,0.12709,0.79859,0.77807,0.23317,10
0.63975,0.33854,0.86995,0.72498,0.69803,15
0.96331,0.1286,0.78755,0.76437,0.22874,10
0.7692,0.52053,0.11718,0.95591,0.57769,9
0.099993,0.53654,0.69774,0.067227,0.49953,2
0.10138,0.53347,0.69781,0.066567,0.50034,2
0.099052,0.54063,0.7001,0.062391,0.49822,2
0.96641,0.70076,0.26678,0.66601,0.099878,12
0.9594,0.1333,0.78966,0.76744,0.23306,10
0.96766,0.69862,0.26789,0.66569,0.098496,12
0.63683,0.3354,0.86494,0.7336,0.69553,15
0.7026,0.70338,0.73393,0.19933,0.86858,4
0.25573,0.8385,0.068271,0.59905,0.83563,13
0.73035,0.57012,0.13588,0.63155,0.26512,5
0.74165,0.52294,0.12465,0.95609,0.58456,9
0.63936,0.33605,0.86404,0.72777,0.69718,15
0.27101,0.83369,0.068687,0.59808,0.84075,13
0.96569,0.70122,0.26729,0.66581,0.098832,12
0.10206,0.5365,0.69544,0.065716,0.49811,2
0.97846,0.13178,0.79407,0.76881,0.22818,10
0.93241,0.20125,0.69587,0.79139,0.16906,6
0.53384,0.63342,0.1973,0.96366,0.70187,7
0.60276,0.63967,0.13205,0.066524,0.23163,1
0.96708,0.70363,0.26776,0.66771,0.10174,12
0.75018,0.50933,0.12481,0.95496,0.58248,9
0.63715,0.33132,0.86371,0.7267,0.70326,15
0.7219,0.50822,0.12217,0.99867,0.58815,9
0.74023,0.56357,0.13564,0.63011,0.26415,5
0.26775,0.83553,0.060646,0.59794,0.83476,13
0.099952,0.54002,0.69563,0.069274,0.49964,2
0.73361,0.53947,0.15335,0.92691,0.56499,9
0.97028,0.20205,0.69975,0.78184,0.16897,6
0.97136,0.75519,0.76072,0.58745,0.79885,16
0.16848,0.4662,0.87512,0.47334,0.13181,14
0.96655,0.70192,0.26733,0.66516,0.09897,12
0.63442,0.33762,0.85994,0.72943,0.69678,15
0.93238,0.20084,0.69783,0.7966,0.16441,6
0.93332,0.20009,0.70358,0.79725,0.16555,6
0.26307,0.83251,0.068754,0.60145,0.83279,13
0.63894,0.33759,0.86279,0.72761,0.70051,15
0.26919,0.83004,0.066531,0.59913,0.84245,13
0.73765,0.56196,0.12993,0.63058,0.26934,5
0.66281,0.73674,0.94751,0.27128,0.76702,8
0.26696,0.83528,0.066876,0.59904,0.83715,13
0.64148,0.33808,0.85456,0.73286,0.69421,15
0.96592,0.13382,0.7911,0.76173,0.22106,10
0.63402,0.33502,0.86871,0.72947,0.6986,15
0.10013,0.53451,0.6988,0.064784,0.49808,2
0.52997,0.63448,0.20051,0.9657,0.70037,7
0.26643,0.83249,0.065775,0.59282,0.83343,13
0.9329,0.20118,0.69233,0.80239,0.1683,6
0.75705,0.51802,0.12579,0.94795,0.62177,9
0.53183,0.63436,0.20128,0.96509,0.70208,7
0.25646,0.83186,0.075954,0.60745,0.83262,13
0.96536,0.70529,0.26728,0.66717,0.10127,12
0.73986,0.57182,0.13093,0.63526,0.26871,5
0.53309,0.63442,0.19658,0.96586,0.69726,7
0.96507,0.69945,0.26878,0.66576,0.10091,12
0.97339,0.12329,0.79623,0.77635,0.22761,10
0.96853,0.70034,0.26706,0.66682,0.099972,12
0.53119,0.63276,0.20167,0.96346,0.69816,7
0.97018,0.1281,0.79448,0.76633,0.21816,10
0.96634,0.70079,0.26679,0.66581,0.099868,12
0.93096,0.20128,0.70506,0.80196,0.16799,6
0.9686,0.70026,0.26331,0.66471,0.10077,12
0.26717,0.83458,0.071831,0.59208,0.84066,13
0.74491,0.52644,0.10424,0.99214,0.58001,9
0.5284,0.63579,0.19615,0.96744,0.69899,7
0.97652,0.73064,0.75648,0.59007,0.80379,16
0.16398,0.46874,0.87194,0.46463,0.12768,14
0.93277,0.20185,0.70907,0.7961,0.16997,6
0.16129,0.46856,0.87542,0.46605,0.14275,14
0.65245,0.3308,0.86644,0.73361,0.69849,15
0.63863,0.3377,0.86569,0.73159,0.69587,15
0.63427,0.33783,0.85844,0.72897,0.69647,15
0.73191,0.5708,0.13523,0.62841,0.26817,5
0.93349,0.19971,0.7035,0.79844,0.16479,6
0.91654,0.19106,0.72076,0.80567,0.16833,6
0.96945,0.13486,0.78229,0.76349,0.23241,10
0.7381,0.56516,0.1342,0.63669,0.26364,5
0.6956,0.69718,0.73873,0.19664,0.87438,4
0.74466,0.54251,0.13913,0.96879,0.58562,9
0.73275,0.57032,0.13409,0.63557,0.26528,5
0.97931,0.12758,0.798,0.76165,0.23342,10
0.97081,0.13609,0.80825,0.77435,0.23276,10
0.91951,0.17953,0.68523,0.81873,0.16504,6
0.63817,0.33366,0.86762,0.72924,0.69214,15
0.97364,0.74855,0.77573,0.60055,0.80824,16
0.64473,0.33462,0.86117,0.73877,0.69545,15
0.66545,0.73211,0.95341,0.27639,0.76662,8
0.97333,0.12119,0.79284,0.76563,0.23854,10
0.70245,0.7032,0.73366,0.19885,0.86906,4
0.96808,0.13629,0.79322,0.77317,0.23198,10
0.64194,0.33439,0.86359,0.72747,0.70235,15
0.96643,0.70085,0.26681,0.66595,0.099704,12
0.15989,0.46499,0.86063,0.46544,0.13625,14
0.52196,0.73496,0.57853,0.74686,0.91025,11
0.10513,0.53635,0.69471,0.063966,0.49695,2
0.73147,0.56322,0.13448,0.6309,0.26528,5
0.26078,0.8346,0.07106,0.59618,0.83867,13
0.59858,0.6332,0.13684,0.070175,0.23348,1
0.74325,0.53569,0.12026,0.95233,0.56063,9
0.73117,0.56492,0.13505,0.63492,0.26518,5
0.26371,0.83783,0.066945,0.59796,0.83995,13
0.6365,0.33285,0.85492,0.72198,0.68944,15
0.78037,0.5355,0.14289,0.95975,0.57657,9
0.81098,0.80426,0.80851,0.77549,0.33352,0
0.64184,0.32558,0.85224,0.72035,0.70781,15
0.60227,0.62945,0.13911,0.068986,0.23065,1
0.26456,0.83739,0.062814,0.59853,0.83422,13
0.96638,0.70062,0.26679,0.66592,0.10004,12
0.52688,0.75155,0.58889,0.75083,0.91241,11
0.2679,0.8318,0.06796,0.59226,0.82667,13
0.27223,0.83871,0.076371,0.59587,0.83283,13
0.28059,0.83491,0.068076,0.59857,0.83414,13
0.53143,0.63801,0.19856,0.9694,0.69759,7
0.64023,0.34164,0.86842,0.72723,0.69496,15
0.93983,0.20346,0.7076,0.79323,0.16227,6
0.7219,0.54073,0.1244,0.96427,0.56981,9
0.96303,0.70133,0.26304,0.6673,0.10103,12
0.68012,0.7583,0.96639,0.26779,0.78422,8
0.63979,0.33265,0.86187,0.73522,0.70326,15
0.96308,0.69888,0.2634,0.66748,0.098613,12
0.91718,0.20263,0.70033,0.79196,0.16091,6
0.71809,0.52374,0.1315,0.94584,0.58584,9
0.74103,0.52154,0.15127,0.95941,0.60296,9
