@relation dens-diff_data_12-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29}

@data
0.77389,0.78493,0.8575,14
0.89269,0.4052,0.63092,25
0.72571,0.98854,0.69064,8
0.25047,0.46738,0.50541,20
0.89591,0.53365,0.72627,22
0.89254,0.40473,0.63072,25
0.2538,0.46089,0.50781,20
0.35575,0.75035,0.5498,9
0.49996,0.9905,0.93154,15
0.89601,0.53542,0.72815,22
0.25213,0.50679,0.046128,18
0.070121,0.71056,0.56334,24
0.89539,0.53792,0.72649,22
0.2045,0.34839,0.68022,10
0.50012,0.98986,0.93045,15
0.57154,0.2609,0.47718,23
0.49881,0.9896,0.93001,15
0.47558,0.92713,0.05871,21
0.85176,0.28393,0.20414,19
0.14962,0.1082,0.6796,28
0.89673,0.53474,0.72401,22
0.77486,0.78531,0.85567,14
0.35993,0.74724,0.54492,9
0.45291,0.95328,0.75829,13
0.36135,0.74783,0.54451,9
0.89638,0.61943,0.77783,12
0.072658,0.71125,0.56103,24
0.47671,0.92729,0.059969,21
0.59345,0.4522,0.10691,26
0.45109,0.95053,0.75842,13
0.57069,0.26309,0.4765,23
0.89312,0.53814,0.72564,22
0.72584,0.98818,0.69075,8
0.79936,0.60772,0.21518,16
0.15524,0.10711,0.68366,28
0.25053,0.64368,0.16703,11
0.59112,0.45094,0.10302,26
0.89475,0.61798,0.77417,12
0.80977,0.85599,0.047558,3
0.80952,0.85619,0.047341,3
0.89277,0.40541,0.63046,25
0.89683,0.62004,0.77507,12
0.50021,0.98991,0.9325,15
0.24978,0.46548,0.51042,20
0.24876,0.46097,0.51186,20
0.47704,0.9283,0.058454,21
0.25095,0.64403,0.16696,11
0.45096,0.95194,0.76068,13
0.25045,0.6432,0.16692,11
0.75177,0.59643,0.90485,1
0.67784,0.13102,0.71422,27
0.071964,0.71454,0.56629,24
0.79917,0.60763,0.21516,16
0.24849,0.51494,0.049807,18
0.20444,0.34815,0.67867,10
0.59367,0.44987,0.10474,26
0.24797,0.5091,0.051769,18
0.72592,0.98819,0.6902,8
0.25066,0.64349,0.16705,11
0.25073,0.6438,0.16716,11
0.49939,0.98978,0.9305,15
0.89273,0.53788,0.72624,22
0.57028,0.26353,0.4777,23
0.57174,0.26235,0.477,23
0.77332,0.78579,0.8568,14
0.4757,0.92824,0.058977,21
0.35657,0.75189,0.54284,9
0.89494,0.61685,0.76712,12
0.85857,0.28422,0.19836,19
0.52434,0.22736,0.74056,2
0.47649,0.92727,0.059081,21
0.073722,0.70704,0.56424,24
0.75433,0.97697,0.93248,4
0.67852,0.1308,0.71449,27
0.25072,0.64383,0.16748,11
0.67768,0.13098,0.7145,27
0.57143,0.26264,0.47779,23
0.72606,0.98849,0.69045,8
0.81,0.8571,0.047642,3
0.89365,0.61698,0.77241,12
0.79896,0.60741,0.21498,16
0.57112,0.26214,0.47633,23
0.74852,0.59487,0.90418,1
0.77379,0.78571,0.85681,14
0.77459,0.78653,0.85669,14
0.049452,0.38629,1.1858,0
0.8542,0.28293,0.20562,19
0.47662,0.92837,0.058916,21
0.20445,0.34478,0.68131,10
0.89331,0.53823,0.72637,22
0.8581,0.28298,0.19928,19
0.75013,0.59563,0.90705,1
0.89297,0.40553,0.63015,25
0.89511,0.53521,0.72902,22
0.89589,0.53767,0.72804,22
0.15316,0.1074,0.68695,28
0.6784,0.13081,0.71453,27
0.36941,0.286,0.27419,6
0.36898,0.2857,0.27383,6
0.85862,0.28741,0.19972,19
0.45072,0.95145,0.76164,13
0.25179,0.51774,0.049456,18
0.89113,0.61807,0.77239,12
0.89493,0.53407,0.72543,22
0.24734,0.46694,0.51601,20
0.81015,0.85671,0.047423,3
0.89303,0.53437,0.72796,22
0.89073,0.61697,0.77132,12
0.49874,0.98931,0.93132,15
0.89355,0.40566,0.6313,25
0.72584,0.98848,0.69064,8
0.5706,0.26301,0.47596,23
0.25067,0.64366,0.16703,11
0.89308,0.405,0.63033,25
0.77417,0.78725,0.85764,14
0.49961,0.98916,0.93249,15
0.57153,0.26303,0.47515,23
0.8584,0.28427,0.20655,19
0.74956,0.5949,0.90534,1
0.49982,0.9888,0.93157,15
