@relation dens-diff_data_15-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}

@data
0.66903,0.43204,0.58255,0.23187,0.84907,0.06676,9
0.71641,0.51671,0.94981,0.083351,0.34932,0.80048,6
0.66832,0.43295,0.58209,0.23094,0.85032,0.067357,9
0.34716,0.064961,0.42039,0.14435,0.9327,0.43854,8
0.19823,0.017963,0.93412,0.41484,0.050412,0.90186,1
0.74883,0.98278,0.76426,0.017831,0.36822,0.88401,4
0.15081,0.25143,0.71809,0.55171,0.21794,0.36684,14
0.75023,0.9829,0.76711,0.017251,0.36957,0.88201,4
0.01611,0.31558,0.70025,0.33236,0.4172,0.24976,15
0.66535,0.43233,0.58291,0.23491,0.85032,0.067135,9
0.72027,0.51969,0.94713,0.083322,0.34945,0.79952,6
0.14993,0.24664,0.71207,0.55008,0.21875,0.36709,14
0.018105,0.31591,0.69908,0.33385,0.41428,0.24905,15
0.16704,0.73393,0.52577,0.1766,0.88897,0.15837,12
0.19933,0.014981,0.93033,0.41558,0.04881,0.90301,1
0.01677,0.31538,0.69898,0.33451,0.41746,0.25007,15
0.16361,0.59825,0.41895,0.1043,0.22814,0.7094,0
0.70199,0.84856,0.63278,0.63471,0.36565,0.30212,7
0.15195,0.73258,0.51732,0.17831,0.90495,0.15237,12
0.69905,0.85142,0.62933,0.63289,0.36471,0.29836,7
0.14953,0.25527,0.71586,0.5465,0.22242,0.37276,14
0.96575,0.48309,0.25011,0.55052,0.050045,0.33356,11
0.7491,0.98426,0.76381,0.015289,0.36662,0.88296,4
0.71724,0.52022,0.95121,0.08332,0.34827,0.80147,6
0.73589,0.51227,0.93912,0.080175,0.34608,0.80206,6
0.14001,0.7366,0.5179,0.19311,0.88115,0.14515,12
0.19968,0.017434,0.93044,0.41749,0.050372,0.9036,1
0.75013,0.98272,0.76511,0.018591,0.36735,0.8828,4
0.89971,0.16631,0.35063,0.20058,0.14986,0.29995,5
0.15521,0.25062,0.71614,0.55132,0.21532,0.36755,14
0.75096,0.9823,0.76496,0.014989,0.36657,0.88339,4
0.74891,0.98475,0.76471,0.01845,0.36831,0.88326,4
0.14752,0.74852,0.51769,0.17176,0.90302,0.15437,12
0.71422,0.51667,0.94823,0.07825,0.35191,0.8011,6
0.1981,0.015457,0.9329,0.41845,0.049109,0.90412,1
0.70361,0.84909,0.63225,0.63494,0.36546,0.30099,7
0.15384,0.25013,0.71712,0.5468,0.22168,0.37021,14
0.66793,0.43196,0.5841,0.23602,0.84661,0.067994,9
0.13717,0.72963,0.50589,0.19096,0.90918,0.15192,12
0.98066,0.53445,0.70728,0.10027,0.22476,0.24332,2
0.15881,0.73744,0.51878,0.17805,0.89762,0.16114,12
0.74943,0.98188,0.76291,0.016963,0.36702,0.8824,4
0.966,0.48301,0.24924,0.55027,0.050076,0.33335,11
0.38565,0.78435,0.93262,0.39928,0.56607,0.38453,10
0.34725,0.070703,0.41922,0.14756,0.93302,0.43794,8
0.75275,0.98431,0.76435,0.018485,0.37028,0.88291,4
0.75059,0.98402,0.76485,0.016712,0.36807,0.88329,4
0.72683,0.69978,0.16933,0.16775,0.18292,0.8475,3
0.66937,0.434,0.58234,0.23417,0.84951,0.066968,9
0.15351,0.72707,0.52902,0.17613,0.88877,0.14266,12
0.15419,0.71763,0.50083,0.17319,0.89555,0.1405,12
0.96662,0.48404,0.2507,0.54996,0.049912,0.33384,11
0.1533,0.25159,0.71674,0.55207,0.21805,0.3685,14
0.83045,1.0189,0.85541,0.58176,0.44902,0.45039,0
0.15281,0.71139,0.5078,0.18511,0.89592,0.15387,12
0.66592,0.43084,0.58324,0.23279,0.84879,0.065407,9
0.67143,0.43269,0.58062,0.23078,0.84949,0.066505,9
0.15111,0.73761,0.50324,0.16736,0.90352,0.15318,12
0.34755,0.069654,0.41914,0.14251,0.93439,0.43508,8
0.14511,0.73985,0.52567,0.19172,0.89344,0.14809,12
0.19874,0.018525,0.93176,0.41589,0.049553,0.90258,1
0.58349,0.90983,0.58123,0.050799,0.84876,0.1225,13
0.71444,0.51486,0.94936,0.083678,0.35107,0.79761,6
0.71914,0.6918,0.16417,0.1673,0.18474,0.84865,3
0.75241,0.98523,0.7661,0.017366,0.36737,0.88063,4
0.96645,0.48341,0.24957,0.54944,0.050081,0.33361,11
0.66718,0.43588,0.58008,0.23726,0.84909,0.065831,9
0.15093,0.71062,0.52298,0.1926,0.90331,0.15155,12
0.1305,0.73606,0.51765,0.18312,0.89891,0.15617,12
0.58509,0.91349,0.58016,0.052457,0.8509,0.11456,13
0.75035,0.98468,0.7647,0.016744,0.36425,0.88271,4
0.66824,0.43134,0.58287,0.23319,0.85225,0.068087,9
0.9739,0.53639,0.67864,0.11468,0.23412,0.24946,2
0.71633,0.51891,0.94923,0.080663,0.34963,0.79745,6
0.14548,0.71861,0.51073,0.18223,0.90707,0.14804,12
0.77393,0.31468,0.76617,0.39849,0.044502,0.1925,0
0.71527,0.69407,0.16381,0.17095,0.18622,0.84308,3
0.96336,0.52402,0.68384,0.11716,0.23238,0.24179,2
0.66827,0.43414,0.58642,0.23397,0.8509,0.073747,9
0.7524,0.9841,0.76332,0.017624,0.36674,0.88001,4
0.14853,0.2381,0.71372,0.54669,0.20273,0.36517,14
0.14338,0.73472,0.52111,0.18762,0.90396,0.15061,12
0.16033,0.7281,0.51197,0.19293,0.88699,0.1483,12
0.75057,0.98222,0.76523,0.016961,0.36599,0.88443,4
0.016085,0.31541,0.69951,0.3336,0.41502,0.25012,15
0.19833,0.015673,0.93133,0.41699,0.050929,0.90273,1
0.16553,0.73511,0.51477,0.18567,0.89182,0.1546,12
0.1536,0.72982,0.5383,0.19732,0.87854,0.14528,12
0.13963,0.72491,0.52598,0.1741,0.90671,0.15152,12
0.19789,0.016129,0.93407,0.41576,0.050197,0.90239,1
0.71633,0.51747,0.95028,0.084766,0.34992,0.80127,6
0.14803,0.25011,0.71851,0.55038,0.21494,0.36568,14
0.96964,0.53055,0.70276,0.1234,0.23881,0.24834,2
0.75029,0.98231,0.76568,0.016971,0.3701,0.88238,4
0.75032,0.98308,0.76387,0.015781,0.36813,0.88347,4
0.1979,0.015572,0.9317,0.41599,0.048671,0.90276,1
0.74922,0.98108,0.76404,0.014703,0.36679,0.87886,4
0.15061,0.72415,0.51192,0.18842,0.90481,0.15917,12
0.35187,0.064833,0.41291,0.15639,0.93441,0.43645,8
0.14488,0.73354,0.54468,0.17761,0.89945,0.14383,12
0.71433,0.51841,0.94974,0.083622,0.35082,0.80013,6
0.14855,0.732,0.51016,0.19709,0.90293,0.13648,12
0.71703,0.51662,0.94882,0.082664,0.34702,0.80095,6
0.58464,0.915,0.57999,0.0504,0.84942,0.11649,13
0.15551,0.24899,0.71214,0.55393,0.21508,0.36474,14
0.17304,0.34816,0.67554,0.4717,0.60087,0.13563,0
0.74957,0.98338,0.76171,0.016353,0.36842,0.88301,4
0.11107,0.45587,0.30835,0.78921,0.60256,0.68218,0
0.59129,0.91669,0.58187,0.045529,0.85135,0.11944,13
0.1742,0.39976,0.11646,0.89557,0.91033,0.31205,0
0.6688,0.4332,0.58463,0.23182,0.85582,0.070217,9
0.66729,0.43224,0.58347,0.23539,0.84913,0.067219,9
0.14409,0.72385,0.50515,0.17173,0.87917,0.15323,12
0.69885,0.85001,0.63366,0.63245,0.36912,0.29899,7
0.75039,0.98063,0.76548,0.015666,0.36635,0.88027,4
0.7018,0.84975,0.63174,0.63705,0.36734,0.30128,7
