@relation dens-diff_data_16-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35}

@data
0.33192,0.6155,0.85086,0.57747,0.18399,0.087121,0.043547,0.71539,0.18414,0.4369,0.91179,11
0.81103,0.33964,0.47833,0.38505,0.5243,0.52471,0.76633,0.90974,0.62361,0.62617,0.95254,31
0.92145,0.59419,0.36387,0.55521,0.065241,0.74925,0.37501,0.98999,0.60624,0.34358,0.40864,24
0.89484,0.71421,0.16104,0.74266,0.10842,1.0119,0.052402,0.37286,0.58279,0.023819,0.76908,34
0.3367,0.049381,0.1413,0.33187,0.19302,0.85314,0.47484,0.65336,0.61441,0.5735,0.14822,18
0.86687,0.73614,0.83518,0.34163,0.48378,0.0603,0.12747,0.19347,0.72474,0.79966,0.9776,8
0.36464,0.5857,0.41918,0.20402,0.41159,0.7159,0.5287,0.48372,0.41301,0.18913,0.46511,14
0.1434,0.77373,0.28173,0.80342,0.47639,0.75841,0.3254,0.18284,0.72084,0.52065,0.80007,32
0.33448,0.63039,0.84557,0.57352,0.20503,0.10502,0.049266,0.69874,0.18617,0.42263,0.90395,11
0.63663,0.6494,0.49888,0.52478,0.39688,0.31597,0.69284,0.81486,0.43048,0.35952,0.53879,29
0.57381,0.86018,0.89896,0.37387,0.69887,0.81827,0.74477,0.79346,0.47811,0.9753,0.82627,35
0.92099,0.6378,0.37884,0.56506,0.051751,0.77388,0.39182,0.98582,0.59376,0.35618,0.38391,24
0.33474,0.050287,0.14291,0.32701,0.18905,0.84853,0.47422,0.65698,0.61364,0.57348,0.14526,18
0.62101,0.18971,0.76079,0.47752,0.95241,0.23682,0.4769,0.33484,0.66376,0.096779,0.4784,30
0.95376,0.14028,0.66081,0.094108,0.8527,0.096861,0.94219,0.38126,0.91185,0.56823,0.57879,5
0.5567,0.80396,0.9344,0.38089,0.7001,0.84838,0.70443,0.71537,0.43479,0.92922,0.76599,35
0.90969,0.33393,0.92965,0.12529,0.88041,0.61592,0.16204,0.074342,0.15841,0.33433,0.3377,21
0.86379,0.17563,0.91317,0.037103,0.77972,0.10932,0.79135,0.22038,0.35701,0.1436,0.206,20
0.62697,0.83419,0.88604,0.663,0.94699,0.62066,0.33111,0.23134,0.16296,0.27355,0.61096,15
0.058105,0.61419,0.60381,0.19581,0.9046,0.95721,0.18151,0.95555,0.20377,0.38002,0.6674,28
0.75918,0.76265,0.95434,0.90435,0.044471,0.7627,0.048947,0.050941,0.71629,0.094478,0.90431,19
0.52345,0.71468,0.23616,0.8097,0.24172,0.8528,0.23709,0.089922,0.71039,0.954,0.66728,4
