@relation dens-diff_data_17-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37}

@data
0.18962,0.46159,0.92691,0.053944,0.19323,0.12873,0.75968,0.75122,0.18117,0.37896,0.2213,0.86966,0.37644,0.95981,0.83211,14
0.50081,0.44119,0.66286,0.83458,0.61344,0.081657,0.36575,0.4734,0.1641,0.57958,0.83251,0.11147,0.83157,0.83492,0.63777,31
0.14023,0.2255,0.38832,0.16431,0.53082,0.39103,0.88318,0.16679,0.71964,0.44497,0.052748,0.49742,0.47752,0.33156,0.3365,35
0.50593,0.81142,0.78132,0.68472,0.76331,0.11068,0.24057,0.59317,0.11769,0.13547,0.024611,0.67719,0.74728,0.45513,0.58532,0
0.47597,0.079268,0.8925,0.28379,0.60956,0.36992,0.63984,0.80311,0.72541,0.75994,0.80639,0.44727,0.93539,0.19277,0.44706,24
0.060374,0.83178,0.04328,0.90828,0.14264,0.053558,0.35372,0.93483,0.71984,0.36774,0.55996,0.70821,0.13951,0.92034,0.67431,8
0.48371,0.093377,0.89977,0.26865,0.61843,0.36265,0.63609,0.80714,0.72887,0.76765,0.80584,0.44313,0.94398,0.19997,0.45608,24
0.29854,0.4168,0.9761,0.91911,0.52481,0.55729,0.34096,0.78043,0.72544,0.94772,0.33617,0.27589,0.52136,0.52377,0.52234,19
0.1374,0.22596,0.3925,0.16329,0.52815,0.39352,0.88916,0.16663,0.72242,0.44207,0.055551,0.50478,0.47327,0.33532,0.33224,35
0.16269,0.83194,0.21785,0.75258,0.36108,0.77357,0.632,0.63049,0.61958,0.86563,0.38818,0.37346,0.51814,0.75894,0.68458,2
0.33517,0.80665,0.69853,0.055934,0.084543,0.44276,0.97704,0.72134,0.36168,0.91911,0.38909,0.60873,0.77507,0.4451,0.33644,33
0.58823,0.90984,0.44336,0.63143,0.94074,0.41128,0.33511,0.61465,0.44562,0.72036,0.94544,0.13866,0.35295,0.52635,0.27811,4
0.31155,0.42222,0.97984,0.91641,0.52888,0.55573,0.33604,0.77971,0.72636,0.95152,0.33007,0.28804,0.53023,0.5294,0.54249,19
0.94553,0.58613,0.97403,0.61121,0.083034,0.50081,0.5593,0.97503,0.27217,0.97334,0.94236,0.94139,0.19576,0.50735,0.7521,28
0.58384,0.91685,0.44458,0.63857,0.94467,0.41753,0.33193,0.61026,0.44403,0.72186,0.94415,0.13933,0.35961,0.52774,0.27764,4
0.75029,0.1,0.17742,0.25667,0.018851,0.85206,0.42243,0.44182,0.90884,0.13547,0.97268,0.64069,0.31815,0.46921,0.53466,29
0.30465,0.41664,0.97663,0.9164,0.5268,0.55597,0.33275,0.77595,0.72097,0.94755,0.33419,0.27817,0.52753,0.52718,0.52739,19
0.24164,0.53067,0.10844,0.55013,0.34767,0.14125,0.67421,0.81868,0.42091,0.46806,0.08952,0.14321,0.94934,0.90539,0.13052,37
0.47284,0.083038,0.89005,0.27789,0.61104,0.35945,0.63579,0.80365,0.72073,0.75168,0.80322,0.44454,0.9399,0.19434,0.44768,24
0.80508,0.44754,0.43058,0.27421,0.43726,0.75395,0.25759,0.19927,0.18967,0.67588,0.57556,0.21244,0.51771,0.36845,0.63834,16
0.21123,0.92154,0.59731,0.60542,0.76333,0.42043,0.7175,0.038113,0.18524,0.95115,0.85492,0.66772,0.58328,0.52285,0.81827,13
0.33845,0.81657,0.69778,0.048431,0.09016,0.441,0.97738,0.72129,0.36326,0.92257,0.40102,0.60819,0.77256,0.44457,0.33645,33
0.063722,0.83992,0.059948,0.91771,0.13143,0.048345,0.35226,0.9106,0.73407,0.356,0.55487,0.69428,0.12572,0.91874,0.67042,8
0.91854,0.61014,0.24706,0.55704,0.95039,0.8659,0.24919,0.22471,0.27709,0.91076,0.052472,0.47538,0.97629,0.74775,0.5235,5
0.47562,0.086337,0.89038,0.27614,0.61585,0.36324,0.63534,0.80522,0.71928,0.74986,0.80091,0.44528,0.94073,0.18895,0.43738,24
