@relation dens-diff_data_19-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}

@data
0.47185,0.64267,0.95282,0.16379,0.33102,0.76987,0.66969,0.080573,0.22243,0.86696,19
0.5874,0.76607,0.05147,0.86331,0.69168,0.7021,0.2562,0.036075,0.28454,0.030171,4
0.47203,0.084755,0.085816,0.6122,0.64016,0.47525,0.91789,0.77745,0.75151,0.83472,14
0.086279,0.22452,0.19952,0.50295,0.69832,0.89182,0.69654,0.030995,0.52768,0.030067,16
0.11409,0.89237,0.78095,0.80937,0.42173,0.80802,0.58439,0.69711,0.11314,0.52928,3
0.08509,0.22496,0.20181,0.50469,0.69904,0.89281,0.69558,0.034295,0.52885,0.029224,16
0.75038,0.88642,0.33193,0.5002,0.47555,0.36243,0.8323,0.028438,0.279,0.75154,28
0.2476,0.27112,0.3122,0.10213,0.34894,0.98166,0.37523,0.82515,0.84384,0.32964,25
0.48619,0.98148,0.3761,0.068146,0.38069,0.03818,0.87127,0.71353,0.31923,0.91754,7
0.57259,0.88307,0.39733,0.81016,0.50129,0.44388,0.50644,0.084943,0.26741,0.66789,6
0.58193,0.77431,0.050808,0.85866,0.69244,0.69763,0.2533,0.022739,0.28465,0.023739,4
0.45307,0.95988,0.37417,0.047612,0.34249,0.0089486,0.84924,0.72352,0.31376,0.89074,7
0.97786,0.77004,0.14933,0.25127,0.3173,0.98265,0.35901,0.41992,0.11362,0.69553,27
0.80738,0.72978,0.42385,0.71562,0.88581,0.88406,0.19241,0.24685,0.33275,0.50214,10
0.58111,0.58446,0.24999,0.19798,0.30305,0.63187,0.97094,0.34006,0.80352,0.69501,20
0.58447,0.38917,0.05428,0.91958,0.61072,0.69529,0.14007,0.60548,0.55535,0.139,17
0.45595,0.96641,0.37112,0.062774,0.34756,0.0092604,0.85023,0.72356,0.32185,0.90033,7
0.75043,0.88711,0.33076,0.50037,0.47602,0.36207,0.83102,0.028971,0.27757,0.75196,28
0.58171,0.86882,0.42477,0.84143,0.48881,0.4293,0.49229,0.051347,0.25311,0.63703,6
0.6089,0.88768,0.42302,0.84027,0.49616,0.44847,0.48497,0.1136,0.27122,0.65997,6
0.085345,0.22384,0.19873,0.50376,0.70145,0.89216,0.69538,0.034511,0.52836,0.032331,16
0.57691,0.78371,0.047153,0.88682,0.71446,0.7212,0.26355,0.019777,0.282,0.014676,4
0.22525,0.8659,0.78203,0.66965,0.80173,0.44494,0.19444,0.80102,0.031158,0.17171,11
0.086592,0.89815,0.033249,0.16465,0.29747,0.75298,0.53923,0.36506,0.31381,0.028995,24
0.85628,0.94513,0.13457,0.69878,0.9778,0.025318,0.7814,0.52315,0.63687,0.08111,21
0.9745,0.14108,0.88534,0.58174,0.58023,0.91741,0.92045,0.63671,0.52492,0.33393,22
0.053733,0.6121,0.47143,0.97555,0.74833,0.081494,0.96868,0.97258,0.74991,0.41957,15
0.75045,0.88591,0.33115,0.50041,0.4765,0.36131,0.83292,0.027146,0.27901,0.75102,28
