@relation dens-diff_data_3-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}

@data
0.37125,0.4924,0.81815,0.81716,0.94089,0.97236,0.37072,0.12421,0.73031,0.55166,0.91012,0.94965,0.70364,0.306,0.88528,0.12071,0.40015,7
0.37653,0.039351,0.22999,0.091608,0.70399,0.91859,0.61359,0.80983,0.76667,0.56573,0.7695,0.48804,0.40306,0.2995,0.49014,0.095928,0.82794,28
0.12306,0.69077,0.6421,0.79113,0.029397,0.69905,0.46524,0.30235,0.54907,0.059096,0.035101,0.81902,0.57902,0.29887,0.87418,0.51222,0.79192,17
0.37339,0.49149,0.81993,0.82171,0.941,0.97,0.37196,0.12387,0.72891,0.55283,0.91114,0.94861,0.70319,0.30691,0.87801,0.12312,0.40013,7
0.020291,0.21359,0.0842,0.51668,0.1949,0.31255,0.21521,0.44842,0.62009,0.4036,0.38201,0.31828,0.33397,0.12201,0.33941,0.96387,0.75258,20
0.71918,0.36544,0.96672,0.11508,0.15408,0.67703,0.032503,0.4814,0.37764,0.050636,0.51348,1.0662,0.52945,0.029528,0.43813,0.46925,0.78407,0
0.66579,0.79139,0.75574,0.27257,0.63802,0.60465,0.57653,0.78898,0.88075,0.54643,0.15091,0.4257,0.27352,0.39429,0.21248,0.93892,0.3355,33
0.023248,0.85055,0.97291,0.11798,0.36383,0.22333,0.30243,0.22042,0.2619,0.70722,0.16385,0.19726,0.42135,0.65624,0.59571,0.055526,0.23149,19
0.028132,0.060895,0.21208,0.94268,0.54448,0.48494,0.90903,0.69376,0.30016,0.51415,0.57846,0.21175,0.87236,0.42275,0.45438,0.12169,0.090635,3
0.099086,0.29865,0.80751,0.96272,0.21658,0.44795,0.78375,0.52389,0.57815,0.21928,0.35742,0.5205,0.84476,0.64309,0.7186,0.70272,0.54128,26
0.60483,0.13598,0.43661,0.65126,0.23495,0.64851,0.85545,0.62907,0.73455,0.16327,0.11297,0.13649,0.74211,0.45352,0.83306,0.074252,0.46713,0
0.66826,0.72097,0.75791,0.76256,0.060631,0.41604,0.48233,0.067963,0.93787,0.4554,0.35417,0.090233,0.2208,0.26859,0.75506,0.17461,0.29571,6
0.40026,0.024339,0.20016,0.034861,0.69485,0.91369,0.62045,0.80819,0.76524,0.55734,0.77165,0.48429,0.38277,0.2862,0.47371,0.095221,0.81201,28
1.0218,0.97437,0.19704,0.70517,0.5898,0.83776,0.86491,0.55586,0.10741,0.33156,0.52945,0.40179,1.0247,0.96499,0.58454,0.033531,0.3035,0
0.32706,0.24164,0.87514,0.97394,0.060298,0.63905,0.78439,0.065192,0.18341,0.57866,0.60218,0.84823,0.5449,0.36912,0.30194,0.87388,0.2757,14
0.76304,0.094527,0.91589,0.9354,0.088635,0.14769,0.094349,0.97757,0.14724,0.39966,0.27678,0.84382,0.51778,0.69586,0.11861,0.60193,0.60074,16
0.84116,0.43081,0.96214,0.27538,0.32471,0.30078,0.31827,0.21312,0.77828,0.56363,0.2969,0.35787,0.63377,0.69438,0.84104,0.027631,0.72382,2
0.4871,0.57712,0.36494,0.72835,0.66833,0.45655,0.24348,0.94001,0.87896,0.72819,0.24323,0.79017,0.88096,0.6071,0.54559,0.66933,0.092261,9
0.40295,0.029438,0.22918,0.060679,0.7043,0.93696,0.61252,0.80445,0.74256,0.55934,0.75522,0.47503,0.38904,0.30832,0.46882,0.087714,0.81936,28
0.053675,0.21031,0.083676,0.51221,0.16758,0.33048,0.24915,0.43606,0.64681,0.38678,0.39052,0.32689,0.33035,0.105,0.3277,0.96223,0.7691,20
0.60541,0.51586,0.38939,0.93943,0.60045,0.72925,0.5426,0.73257,0.27848,0.50653,0.11984,0.73703,0.93344,0.29957,0.14793,0.60684,0.39539,1
0.27396,0.096151,0.73672,0.81539,0.52942,0.50261,0.86981,0.79675,0.50483,0.17409,0.42833,0.046495,0.15532,0.037669,0.87558,0.25015,0.10313,11
0.90625,0.15414,0.031855,0.63674,0.75795,0.11931,0.97086,0.60491,0.39532,0.42585,0.90753,0.48666,0.21028,0.092287,0.84883,0.061562,0.97043,10
0.85459,0.43951,0.98266,0.25279,0.32337,0.33207,0.33555,0.19397,0.79802,0.54211,0.26974,0.35357,0.65037,0.69995,0.87829,0.024845,0.75664,2
0.27783,0.75356,0.26714,0.69902,0.3156,0.15799,0.42411,0.64378,0.15285,0.69933,0.97644,0.28267,0.23093,0.76827,0.20146,0.87522,0.15309,0
0.40059,0.032549,0.21693,0.056307,0.70182,0.9288,0.60999,0.81476,0.76211,0.54471,0.74893,0.49381,0.40488,0.31062,0.47994,0.098862,0.81911,28
0.60123,0.51452,0.39124,0.94369,0.6064,0.73348,0.54574,0.73339,0.27221,0.51858,0.12585,0.73343,0.94088,0.29919,0.15848,0.60142,0.39962,1
0.76289,0.094662,0.91352,0.93905,0.088567,0.1548,0.094056,0.97957,0.14073,0.38807,0.27764,0.8604,0.50926,0.70681,0.12602,0.59781,0.60014,16
0.60704,0.30552,0.80249,0.065832,0.72749,0.85753,0.50086,0.29403,0.79591,0.67915,0.20811,0.029962,0.96711,0.088352,0.41758,1.0177,0.4684,0
0.3307,0.68057,0.36125,0.15605,0.81287,0.96267,0.081826,0.55696,0.66869,0.26712,0.02909,0.85216,0.9775,0.97004,0.8853,0.75691,0.031139,30
0.24298,0.05968,0.81705,0.72961,0.72741,0.66693,0.2435,0.72872,0.21107,0.33426,0.39496,0.39138,0.54518,0.87916,0.4238,0.72784,0.72823,5
0.4873,0.57794,0.36596,0.72741,0.66801,0.45561,0.243,0.94008,0.87811,0.72933,0.24346,0.78987,0.88155,0.60727,0.54584,0.66836,0.092174,9
0.3077,0.02817,0.93095,0.7966,0.51593,0.11347,0.36599,0.7644,0.45801,0.36323,0.18648,0.38814,0.46894,0.55247,0.96709,0.18354,0.13303,18
0.37121,0.49121,0.81929,0.82104,0.93844,0.97071,0.37184,0.12491,0.73272,0.55278,0.91243,0.94903,0.70348,0.30902,0.87898,0.12212,0.39818,7
0.098248,0.76343,0.74096,0.34103,0.46317,0.69976,0.64534,0.096181,0.69372,0.94292,0.47196,0.19298,0.94526,0.31167,0.30694,0.42614,0.6142,8
0.48734,0.57716,0.3645,0.72738,0.66846,0.45573,0.24278,0.93942,0.87837,0.72836,0.24254,0.7897,0.88221,0.60731,0.54563,0.66926,0.092107,9
0.58816,0.59998,0.37039,0.39218,0.73445,0.11304,0.7875,0.87675,0.80338,0.11719,0.31679,0.4069,0.73693,0.25,0.39287,0.6931,0.41908,35
0.28636,0.64543,0.87416,0.60472,0.18828,0.043307,0.80333,0.60875,0.61718,0.32607,0.8294,0.73051,0.96824,0.19958,0.066925,0.87866,0.69274,12
0.34054,0.69684,0.3643,0.15379,0.81034,0.9729,0.091043,0.55204,0.67478,0.27698,0.036618,0.85369,0.96703,0.96703,0.87829,0.76501,0.025819,30
0.40718,0.018107,0.20816,0.03241,0.70031,0.94515,0.62263,0.80612,0.75879,0.55318,0.73541,0.48507,0.3956,0.28089,0.48886,0.09544,0.80225,28
0.013801,0.21238,0.077979,0.51653,0.19201,0.32685,0.23846,0.46531,0.64346,0.38525,0.39544,0.32756,0.32962,0.12694,0.3263,0.96545,0.74947,20
0.38845,0.025814,0.20219,0.052557,0.69669,0.9374,0.6074,0.82705,0.76029,0.55617,0.73907,0.48049,0.40693,0.29601,0.49238,0.086021,0.823,28
0.078698,0.80135,0.96416,0.14467,0.27978,0.21679,0.30605,0.18044,0.26865,0.70898,0.15893,0.18791,0.34633,0.62781,0.62958,0.0051834,0.23765,19
