@relation dens-diff_data_5-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18}

@data
0.38698,0.50219,0.43327,0.43102,0.86564,0.67642,0.16777,0.88606,0.43746,0.59683,0.5902,0.34657,0.55572,0.75328,0.3015,16
0.041309,0.79625,0.25055,0.50085,0.13331,0.92262,0.66851,0.29471,0.54826,0.75518,0.96579,0.46024,0.20923,0.79039,0.41382,11
0.040795,0.16753,0.53802,0.37525,0.50358,0.49996,0.92177,0.4125,0.91805,0.87591,0.1241,0.91099,0.16961,0.33208,0.24507,9
0.032163,0.69006,0.7075,0.64071,0.72542,0.16248,0.40742,0.89379,0.53188,0.47998,0.53099,0.47128,0.7093,0.05758,0.37529,13
0.13093,0.47853,0.41379,0.9525,0.039084,0.22296,0.75453,0.20428,0.88192,0.45908,0.7613,0.67623,0.8341,0.65375,0.46374,2
0.75598,0.12607,0.61978,0.33297,0.2642,0.83306,0.62793,0.076474,0.61217,0.91096,0.28938,0.089833,0.86154,0.53177,0.69691,18
0.25478,0.79432,0.29432,0.62934,0.25422,0.38013,0.92047,0.66696,0.25248,0.20993,0.17079,0.79853,0.87298,0.50655,0.83541,1
0.20923,0.040583,0.082639,0.7073,0.21,0.12678,0.49908,0.58297,0.45944,0.70742,0.7505,0.25166,0.46099,0.49931,0.33263,6
0.38914,0.50233,0.42522,0.42497,0.85578,0.66898,0.16822,0.87671,0.44097,0.60261,0.58663,0.34752,0.55527,0.75857,0.30335,16
0.21006,0.0426,0.082571,0.70705,0.20786,0.12425,0.4991,0.5833,0.45652,0.70989,0.74995,0.25034,0.46096,0.49927,0.33323,6
0.9481,0.33663,0.84333,0.49433,0.33635,0.32528,0.19721,0.40912,0.63618,0.75887,0.087152,0.42574,0.57946,0.94503,0.45879,3
0.39279,0.50409,0.44256,0.43034,0.85795,0.68756,0.18143,0.89026,0.43356,0.59619,0.59395,0.34737,0.55151,0.74862,0.30658,16
0.38967,0.50617,0.42867,0.42596,0.85333,0.67373,0.17546,0.88603,0.42778,0.5999,0.58746,0.36811,0.55018,0.75111,0.29366,16
0.041263,0.67545,0.69381,0.63051,0.70338,0.18527,0.42456,0.94365,0.48406,0.4963,0.5149,0.42853,0.71523,0.034843,0.37278,13
0.25239,0.79597,0.29546,0.62797,0.25197,0.38205,0.91991,0.66759,0.25148,0.21356,0.16876,0.80094,0.8736,0.51171,0.83556,1
0.25554,0.7942,0.29566,0.62963,0.25248,0.37963,0.92193,0.66845,0.25433,0.21163,0.16931,0.79716,0.87619,0.50808,0.8351,1
0.2532,0.79232,0.30026,0.62898,0.25418,0.3803,0.92392,0.66447,0.25331,0.21323,0.16796,0.80385,0.87606,0.5084,0.83576,1
0.91942,0.78182,0.36788,0.16518,0.62139,0.62617,0.40977,0.095858,0.29458,0.79464,0.34147,0.29262,0.83451,0.46104,0.2115,4
