@relation dens-diff_data_7-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
0.32691,0.31957,0.18558,0.38601,0.8316,0.024839,0.062392,0.61221,0.65932,0.41114,0.015725,0.089201,0.72541,0.81497,0.09764,0.85179,0.85468,0.77337,0.73325,0.83896,0.92632,2
0.74432,0.14028,0.58815,0.24834,0.075697,0.46237,0.77846,0.061479,0.6081,0.79505,0.44913,0.27092,0.41287,0.94096,0.52192,0.87946,0.33012,0.82129,0.86797,0.25215,0.32654,16
0.39835,0.80657,0.13021,0.20027,0.60037,0.52839,0.33233,0.73092,0.33459,0.65805,0.26516,0.73364,0.66359,0.19989,0.067213,0.79987,0.80847,0.46371,0.26174,0.32917,0.66895,1
0.66902,0.60138,0.79152,0.13984,0.20209,0.06221,0.47177,0.60253,0.13268,0.33497,0.66862,0.0628,0.6687,0.66363,0.73063,0.81029,0.94067,0.59462,0.47153,0.92732,0.26171,20
0.46147,0.79971,0.92054,0.12681,0.46701,0.60148,0.26188,0.79909,0.9405,0.72191,0.74518,0.86127,0.59827,0.26787,0.45993,0.27073,0.61412,0.53437,0.26444,0.13361,0.13124,21
0.83769,0.74286,0.79919,0.20545,0.335,0.86142,0.13622,0.67258,0.87972,0.85077,0.21434,0.67785,0.47585,0.19004,0.31239,0.60423,0.3082,0.21344,0.18578,0.207,0.80956,5
0.85765,0.76414,0.78339,0.1773,0.32591,0.86924,0.12814,0.68003,0.86827,0.87481,0.21328,0.67723,0.46592,0.22073,0.32586,0.61916,0.34152,0.22325,0.20696,0.20983,0.8063,5
0.80132,0.067155,0.13755,0.87248,0.33591,0.79819,0.93769,0.065513,0.26221,0.33365,0.32988,0.9368,0.46665,0.87614,0.32988,0.94175,0.9451,0.80067,0.47058,0.67088,0.26897,6
0.073183,0.66305,0.65905,0.46055,0.1381,0.20391,0.27706,0.071974,0.72154,0.33819,0.47046,0.46275,0.53582,0.52665,0.27177,0.52145,0.73685,0.3454,0.071131,0.80531,0.40316,3
0.31663,0.36581,0.12618,0.37079,0.89935,0.082085,0.12184,0.44222,0.49667,0.31913,0.048455,0.067776,0.5923,0.83859,0.051834,0.90809,0.61986,0.81162,0.62483,0.9276,0.83505,2
0.4754,0.79004,0.90017,0.13624,0.48216,0.61412,0.24518,0.77304,0.95158,0.76156,0.74605,0.85018,0.61089,0.26052,0.47586,0.26686,0.60382,0.54893,0.2642,0.13753,0.11326,21
0.80336,0.27048,0.41242,0.67698,0.13833,0.6653,0.27766,0.8629,0.074283,0.33967,0.070377,0.54709,0.47015,0.53486,0.13617,0.87512,0.92929,0.67261,0.66998,0.53935,0.13515,12
0.66048,0.80606,0.92995,0.19678,0.86587,0.59624,0.39287,0.26767,0.068116,0.39704,0.2633,0.73889,0.13532,0.19797,0.33731,0.47032,0.13365,0.80219,0.91304,0.93825,0.20027,13
0.78113,0.75627,0.44994,0.076249,0.11835,0.69778,0.052494,0.11923,0.75027,0.08344,0.19064,0.80292,0.58424,0.1898,0.67718,0.39082,0.92345,0.80273,0.17645,0.4598,0.12568,17
0.060806,0.67217,0.66861,0.46342,0.1418,0.19295,0.26135,0.075766,0.72362,0.32251,0.45793,0.46441,0.52174,0.52431,0.26157,0.53191,0.73715,0.32682,0.060287,0.79058,0.39451,3
0.93514,0.93517,0.26564,0.53388,0.33635,0.33275,0.9405,0.068014,0.064568,0.59923,0.26427,0.20016,0.068189,0.39899,0.66743,0.33671,0.13691,0.26975,0.065106,0.86509,0.80199,27
0.06431,0.3006,0.85898,0.1854,0.54914,0.37478,0.86532,0.37088,0.58685,0.15573,0.52374,0.82371,0.34173,0.83079,0.57276,0.73501,0.2958,0.80597,0.061944,0.55175,0.83093,7
0.40203,0.80323,0.13432,0.19659,0.59705,0.52943,0.33748,0.72963,0.33101,0.65833,0.26871,0.73415,0.65829,0.20108,0.064044,0.80114,0.80531,0.4618,0.26694,0.33152,0.66642,1
0.3999,0.8105,0.13382,0.19876,0.6007,0.53178,0.33588,0.72246,0.33567,0.65735,0.26654,0.73437,0.65939,0.19834,0.061053,0.80139,0.80198,0.46982,0.26625,0.33042,0.66675,1
0.60092,0.59968,0.8627,0.19983,0.063154,0.39807,0.65171,0.28031,0.26795,0.81332,0.26742,0.53295,0.86888,0.39751,0.47255,0.41122,0.32955,0.20216,0.47512,0.80071,0.2741,22
0.80209,0.26809,0.40822,0.67569,0.14184,0.66565,0.27833,0.87517,0.077324,0.33629,0.071462,0.54781,0.4726,0.53627,0.13454,0.87421,0.92913,0.67228,0.66877,0.54253,0.13733,12
0.66282,0.81332,0.93147,0.2024,0.86027,0.59883,0.3993,0.26637,0.069766,0.38655,0.26305,0.73231,0.1248,0.19945,0.33068,0.46624,0.13347,0.79803,0.9149,0.9289,0.1941,13
0.064225,0.32651,0.86965,0.1983,0.59651,0.32855,0.86832,0.39979,0.53236,0.20105,0.46359,0.74366,0.33277,0.84652,0.53377,0.72209,0.26587,0.80307,0.13353,0.60512,0.79348,7
0.81042,0.1372,0.47243,0.73048,0.13199,0.46926,0.27135,0.92881,0.3342,0.32699,0.60212,0.54192,0.87005,0.8676,0.19832,0.46483,0.39524,0.33182,0.26482,0.93655,0.59348,29
0.67344,0.60169,0.79962,0.13747,0.19869,0.072385,0.46442,0.59673,0.12679,0.33952,0.66791,0.067376,0.66798,0.66689,0.72556,0.8138,0.93546,0.58824,0.46694,0.92192,0.27277,20
0.26138,0.13996,0.4734,0.4049,0.12668,0.87432,0.73203,0.67321,0.32409,0.93787,0.2744,0.26103,0.072813,0.27715,0.80899,0.46198,0.25815,0.072304,0.061308,0.86681,0.12944,31
0.26179,0.12138,0.47326,0.40608,0.13734,0.85887,0.72121,0.66035,0.33879,0.93771,0.2739,0.27139,0.072533,0.27547,0.79688,0.46161,0.269,0.072485,0.062159,0.87572,0.14053,31
0.59429,0.93986,0.887,0.18865,0.065933,0.27185,0.070121,0.80932,0.59867,0.23297,0.38997,0.87368,0.59766,0.88108,0.45208,0.54556,0.66667,0.33514,0.27226,0.71434,0.52925,24
0.34191,0.66624,0.86173,0.20176,0.66864,0.27955,0.52516,0.58513,0.86706,0.18358,0.86781,0.38251,0.7391,0.41025,0.39378,0.32545,0.34702,0.91967,0.19971,0.72814,0.9131,23
0.46179,0.80096,0.92639,0.1341,0.46579,0.59977,0.2646,0.79339,0.93863,0.73428,0.74087,0.86342,0.6024,0.27004,0.46595,0.27029,0.60292,0.53053,0.26664,0.13166,0.13669,21
0.67367,0.60161,0.7923,0.12962,0.2051,0.061818,0.46272,0.59934,0.13616,0.33348,0.66534,0.068877,0.67172,0.66733,0.73019,0.80224,0.93724,0.59164,0.47032,0.92923,0.27244,20
0.8133,0.13126,0.466,0.73421,0.13132,0.46523,0.26884,0.92502,0.33767,0.32722,0.60539,0.53205,0.86475,0.86022,0.19772,0.47105,0.39486,0.3296,0.25884,0.93617,0.59889,29
0.86529,0.9213,0.54103,0.58156,0.97359,0.35064,0.35574,0.5416,0.33905,0.27522,0.68422,0.43314,0.65169,0.70837,0.72161,0.8784,0.024236,0.19072,0.88711,0.41716,0.034988,9
0.39986,0.81036,0.13089,0.20297,0.59672,0.53034,0.3388,0.72593,0.33238,0.6582,0.2662,0.73297,0.66473,0.19958,0.064602,0.79776,0.80281,0.46734,0.26611,0.32905,0.6722,1
0.40372,0.81017,0.1385,0.20498,0.59399,0.52577,0.33616,0.72834,0.33627,0.66087,0.26837,0.73465,0.6623,0.19788,0.071195,0.80009,0.80483,0.46664,0.26716,0.33215,0.66662,1
0.67062,0.59644,0.80021,0.13454,0.19702,0.068858,0.46861,0.5976,0.13825,0.34258,0.66683,0.062605,0.66832,0.65884,0.72663,0.80979,0.93633,0.5974,0.46769,0.92862,0.2673,20
0.80185,0.75271,0.45396,0.035879,0.11885,0.66876,0.078217,0.12137,0.74695,0.081967,0.20778,0.77577,0.58792,0.18581,0.6733,0.42108,0.91418,0.80978,0.21101,0.46334,0.1556,17
0.055743,0.65763,0.66847,0.4547,0.13821,0.2063,0.25257,0.061033,0.74181,0.32801,0.46889,0.46482,0.54129,0.52642,0.2638,0.5359,0.73562,0.33066,0.072069,0.80064,0.39534,3
0.93426,0.94078,0.26303,0.5373,0.33444,0.33283,0.94064,0.063713,0.067213,0.6071,0.26223,0.20344,0.066914,0.40077,0.66147,0.33625,0.13296,0.26821,0.067704,0.8642,0.80097,27
0.94641,0.51741,0.55551,0.38476,0.84865,0.61748,0.45933,0.085842,0.78743,0.65401,0.81023,0.58463,0.54601,0.79254,0.87347,0.46544,0.055507,0.31002,0.5511,0.51402,0.25334,14
0.95028,0.54484,0.52323,0.40856,0.87257,0.61779,0.46997,0.051243,0.81515,0.65536,0.79232,0.62589,0.54333,0.8107,0.84354,0.46632,0.081448,0.32644,0.52067,0.54853,0.27757,14
0.82398,0.852,0.51487,0.56772,0.9264,0.36147,0.40132,0.60337,0.30209,0.32473,0.62001,0.48704,0.73256,0.75859,0.79424,0.88431,0.060234,0.2038,0.84818,0.47499,0.070285,9
0.067855,0.32756,0.86276,0.19641,0.61094,0.31975,0.85816,0.41839,0.55484,0.19313,0.48404,0.71437,0.34849,0.86782,0.51004,0.74073,0.25774,0.76923,0.09856,0.59092,0.77866,7
0.4789,0.57734,0.64614,0.4089,0.80999,0.19162,0.7676,0.11364,0.47137,0.64935,0.88573,0.33846,0.32358,0.5294,0.44208,0.95449,0.8668,0.5256,0.57714,0.62686,0.040302,30
0.14665,0.82456,0.81955,0.55145,0.95845,0.14393,0.75703,0.87957,0.41596,0.72014,0.28589,0.61779,0.60333,0.34665,0.76348,0.54329,0.13587,0.20888,0.14923,0.9176,0.15019,18
