@relation dens-diff_data_9-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17}

@data
0.15915,0.48186,0.75195,0.76003,0.77919,0.84417,0.82745,0.79065,0.80277,0.65703,0.34033,0.83225,0.72565,4
0.74432,0.44558,0.61797,0.10061,0.95215,0.032365,0.15769,0.38995,0.39761,0.66589,0.55056,0.43912,0.7293,14
0.16969,0.4744,0.74977,0.75985,0.77142,0.83359,0.8408,0.76803,0.80438,0.64445,0.31745,0.83919,0.73098,4
0.35437,0.67351,0.86622,0.85618,0.56771,0.59967,0.22428,0.32754,0.20409,0.78024,0.86964,0.42721,0.91606,9
0.25067,0.50113,0.83376,0.77563,0.3064,0.61065,0.1951,0.94272,0.24916,0.49861,0.72098,0.38881,0.91414,17
0.47603,0.38838,0.52239,0.18691,0.13094,0.7122,0.10108,0.078236,0.54818,0.27567,0.59659,0.81007,0.72268,12
0.50495,0.47516,0.39305,0.72538,0.47375,0.53198,0.66999,0.30984,0.6965,0.83543,0.085782,0.88915,0.47969,15
0.52472,0.82904,0.52989,0.22083,0.77906,0.72782,0.3337,0.16377,0.22408,0.25105,0.4724,0.61667,0.97511,3
0.86371,0.39567,0.9636,0.62986,0.049736,0.060115,0.19443,0.56341,0.518,0.33165,0.17891,0.2144,0.3251,13
0.16966,0.47059,0.75036,0.75165,0.77218,0.83349,0.83646,0.7784,0.80181,0.6685,0.33246,0.83371,0.72177,4
0.47193,0.38485,0.53202,0.1932,0.14011,0.72793,0.11282,0.087815,0.55352,0.27317,0.61483,0.82964,0.72985,12
0.7244,0.55779,0.061954,0.88756,0.47278,0.029501,0.92045,0.47741,0.8528,0.098706,0.15573,0.81415,0.57414,5
0.45323,0.92693,0.94392,0.85862,0.11703,0.14319,0.092131,0.60938,0.4523,0.26877,0.065363,0.28092,0.56646,8
0.47297,0.37897,0.52921,0.19085,0.1419,0.72628,0.10408,0.085177,0.54793,0.28595,0.61044,0.83333,0.72506,12
0.66809,0.58974,0.2341,0.085033,0.75808,0.17358,0.75687,0.65568,0.084825,0.4008,0.23678,0.34113,0.067955,10
0.16708,0.47162,0.74998,0.74927,0.77679,0.83329,0.83367,0.77799,0.80414,0.66678,0.33405,0.83342,0.72208,4
0.72253,0.55139,0.050938,0.88688,0.46574,0.032271,0.91949,0.474,0.86194,0.10972,0.1418,0.80585,0.5645,5
0.25049,0.50126,0.83064,0.77704,0.30693,0.60939,0.19592,0.94187,0.24857,0.49893,0.72058,0.38895,0.91832,17
0.16734,0.4719,0.74952,0.74901,0.77639,0.83383,0.83294,0.77871,0.80464,0.66679,0.33345,0.83239,0.72235,4
0.75117,0.44568,0.60663,0.1104,0.94584,0.027675,0.16968,0.38758,0.38794,0.66693,0.55589,0.44375,0.72425,14
0.7111,0.90537,0.6813,0.23805,0.65611,0.055438,0.44448,0.63158,0.73427,0.88724,0.47117,0.57823,0.90656,2
0.74923,0.44493,0.60937,0.1117,0.94645,0.028145,0.16686,0.38767,0.38872,0.66369,0.55542,0.44367,0.72685,14
0.25077,0.50113,0.83493,0.77574,0.30685,0.61041,0.19502,0.94627,0.25127,0.50249,0.72333,0.39122,0.91554,17
0.48641,0.38763,0.52817,0.19654,0.13291,0.72756,0.10452,0.084501,0.55979,0.28842,0.62198,0.82713,0.7177,12
0.03179,0.49624,0.4192,0.026127,0.55164,0.052387,0.4163,0.89193,0.66956,0.41833,0.80863,0.3908,0.63311,6
0.72599,0.54753,0.057826,0.88653,0.46622,0.025179,0.91928,0.47438,0.85431,0.10583,0.13985,0.8133,0.5537,5
0.25187,0.50118,0.83045,0.77545,0.3067,0.60807,0.19314,0.94229,0.24836,0.50056,0.72306,0.39079,0.91777,17
0.52679,0.83351,0.52963,0.22074,0.77821,0.72417,0.33544,0.166,0.22321,0.24664,0.47337,0.6111,0.97101,3
0.15911,0.46568,0.75351,0.74084,0.78955,0.82766,0.83176,0.77606,0.79529,0.67234,0.33813,0.84077,0.72387,4
0.2519,0.50132,0.83062,0.77872,0.30319,0.61336,0.19525,0.94461,0.25148,0.49871,0.72052,0.39108,0.91569,17
0.67555,0.6131,0.2543,0.062441,0.76592,0.1819,0.75375,0.66145,0.076704,0.38833,0.24955,0.33387,0.056282,10
0.70115,0.87015,0.69127,0.20862,0.59457,0.091713,0.42032,0.58166,0.74622,0.88718,0.45522,0.61061,0.96406,2
0.48243,0.38073,0.52297,0.19781,0.13195,0.72671,0.10609,0.057126,0.54774,0.25499,0.60763,0.82975,0.72468,12
0.78158,0.44049,1.0618,0.83229,0.70277,0.39722,0.31495,0.61831,0.33157,0.90555,0.29597,1.052,0.49076,0
0.50388,0.47421,0.39515,0.72289,0.47364,0.53155,0.66925,0.30789,0.69975,0.83633,0.089205,0.89182,0.48149,15
0.8867,0.39594,0.97317,0.63129,0.042601,0.064804,0.18232,0.54861,0.51713,0.33189,0.19342,0.21145,0.32815,13
