@relation h-out_data_1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute class {0,1,2,3,4,5,6,7,8}

@data
0.6722,0.2994,0.55107,0.62764,0.64243,0.49878,0.89193,0.96457,0.45161,0.52758,0.13596,0.81353,0.91731,0
0.25389,0.11579,0.24151,0.11758,0.7674,0.56438,0.98035,0.53018,0.48977,0.25,0.93034,0.14332,0.55535,0
0.77302,0.50989,0.41164,0.17846,0.49439,0.76496,0.28016,0.88427,0.020022,0.44991,0.33387,0.38807,0.043894,8
0.68199,0.70495,0.25702,0.84552,0.61386,0.48465,0.19366,0.5946,0.037124,0.38189,0.16834,0.24133,0.87305,1
0.45664,0.22537,0.2102,0.096939,0.36545,0.93528,0.11297,0.10243,0.95718,0.50573,0.849,0.080206,0.86022,7
0.68161,0.70466,0.25798,0.8443,0.61261,0.48879,0.19291,0.59123,0.038267,0.38218,0.16574,0.2427,0.87226,1
0.77253,0.51044,0.41516,0.17853,0.496,0.76249,0.28086,0.88534,0.01965,0.45199,0.33465,0.38953,0.041788,8
0.77206,0.51035,0.41228,0.17697,0.49432,0.76308,0.2772,0.88464,0.020749,0.45194,0.33354,0.38954,0.043685,8
0.68321,0.70382,0.25804,0.84299,0.61272,0.48811,0.19377,0.59208,0.036387,0.38207,0.16713,0.24217,0.87193,1
0.89748,0.51083,0.13794,0.28597,0.070855,0.31943,0.98932,0.98777,0.59143,0.31137,0.023736,0.50776,0.79997,3
0.68137,0.70417,0.25771,0.84453,0.61353,0.49032,0.19522,0.59149,0.037891,0.38222,0.1657,0.24246,0.87254,1
0.76405,0.74648,0.33889,0.15586,0.62384,0.29558,0.17174,0.15599,0.075304,0.7527,0.45168,0.42521,0.46291,5
0.334,0.52928,0.69712,0.87242,0.56249,0.30768,0.96171,0.84481,0.19855,0.65731,0.40275,0.24066,0.0044386,6
0.77252,0.51227,0.4144,0.17601,0.49672,0.76502,0.27758,0.88212,0.020033,0.45008,0.33216,0.38661,0.045075,8
0.77469,0.51233,0.41274,0.17695,0.49429,0.76552,0.27985,0.88053,0.022134,0.4517,0.33115,0.38864,0.041637,8
0.33251,0.52909,0.69914,0.86992,0.56488,0.30522,0.96381,0.84259,0.20072,0.65523,0.40465,0.24088,0.0043958,6
0.13006,0.5319,0.93818,0.61729,0.47067,0.46623,0.080755,0.026096,0.81425,0.49048,0.33019,0.62811,0.62229,0
0.89781,0.50894,0.13947,0.28511,0.069366,0.31797,0.98819,0.98861,0.58933,0.31092,0.022799,0.5058,0.80142,3
0.89911,0.51221,0.13652,0.28507,0.068006,0.31792,0.98823,0.99029,0.59125,0.31119,0.023422,0.50645,0.79924,3
0.98004,0.050279,0.026225,0.50131,0.55318,0.80753,0.36685,0.48408,0.75874,0.40876,0.13353,0.16554,0.46637,0
0.76344,0.7467,0.33838,0.15587,0.6236,0.29551,0.17197,0.15547,0.075399,0.75217,0.45197,0.42537,0.46286,5
0.68312,0.70223,0.25761,0.84244,0.61632,0.48787,0.19368,0.59389,0.03719,0.381,0.16556,0.24231,0.87395,1
0.008424,0.60427,0.047574,0.028577,0.14577,0.60769,0.056942,0.30065,0.11622,0.46579,0.63102,0.14675,0.1288,4
0.77289,0.51278,0.41221,0.17839,0.4942,0.76318,0.27818,0.88253,0.022325,0.44976,0.33508,0.38799,0.042035,8
0.76366,0.74706,0.33821,0.15622,0.62356,0.29611,0.17218,0.15616,0.075637,0.75251,0.45134,0.42549,0.46256,5
