@relation h-out_data_11-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute class {0,1,2,3,4}

@data
0.75799,0.41691,0.27301,0.59235,0.84673,2
0.0082723,0.57113,0.62817,0.026035,0.064907,1
0.0074826,0.57138,0.62833,0.026299,0.065293,1
0.64321,0.52387,1.0135,0.26585,0.47859,0
0.0083571,0.57168,0.62796,0.026498,0.064654,1
0.24078,0.85304,0.42638,0.44669,0.76347,4
0.0082365,0.57178,0.62838,0.026337,0.064667,1
0.24092,0.85344,0.42645,0.44654,0.76329,4
0.64394,0.034086,0.10147,0.45911,0.88415,0
0.75797,0.41695,0.27298,0.59223,0.84662,2
0.7828,0.39668,0.9928,0.776,0.3458,0
0.93149,0.43182,0.47234,0.8457,0.0059772,0
0.24079,0.85342,0.42648,0.44655,0.76334,4
0.24074,0.85364,0.42642,0.44649,0.76335,4
0.241,0.85318,0.4265,0.4467,0.76346,4
0.24071,0.85326,0.42645,0.44649,0.76328,4
0.6792,0.20018,0.95555,1.1122,0.9881,0
0.24073,0.85332,0.42667,0.44671,0.76327,4
0.75801,0.41712,0.27289,0.59225,0.8466,2
0.54969,0.78202,0.83173,1.0083,0.32148,0
0.88871,0.7018,0.24729,0.21931,0.16606,0
0.24105,0.85324,0.42643,0.44659,0.76325,4
0.2407,0.85318,0.4265,0.44671,0.76329,4
0.60792,0.57393,0.7757,0.42834,0.47871,3
0.0080882,0.57168,0.62832,0.026245,0.064646,1
0.2409,0.85318,0.42645,0.44653,0.76355,4
0.41287,1.0062,0.30074,0.046927,1.0512,0
0.0075094,0.57171,0.62881,0.026742,0.064999,1
0.0080267,0.57152,0.62804,0.02628,0.0646,1
0.24064,0.853,0.42639,0.44686,0.76329,4
0.0080779,0.57167,0.62832,0.026262,0.064646,1
0.24063,0.85296,0.42674,0.44656,0.76332,4
0.62871,0.4313,0.55381,0.46194,0.68791,0
0.24096,0.85361,0.4264,0.44678,0.76334,4
0.24064,0.85334,0.42633,0.44683,0.76337,4
0.0076149,0.57154,0.62812,0.026771,0.064044,1
0.75804,0.41664,0.27289,0.59211,0.84689,2
0.0085089,0.57163,0.62836,0.02602,0.06487,1
0.008276,0.57174,0.62813,0.026132,0.06478,1
0.0079733,0.57207,0.62847,0.026145,0.063784,1
0.24124,0.85306,0.42651,0.44661,0.76348,4
0.24084,0.85352,0.42642,0.44704,0.76325,4
0.68149,0.85119,0.32145,0.64151,0.38589,0
0.0082335,0.57215,0.62814,0.026086,0.06492,1
0.24077,0.85364,0.4265,0.44687,0.76327,4
0.73791,0.13739,1.0177,0.86743,0.25704,0
0.75805,0.41695,0.27312,0.59252,0.84668,2
0.24109,0.85328,0.42635,0.44652,0.76333,4
0.32489,0.16298,0.095608,0.84313,0.85215,0
0.60792,0.57372,0.77576,0.42833,0.47882,3
