@relation h-out_data_12-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute class {0,1,2}

@data
0.97019,0.10847,0.9631,0.35155,0.24322,0.083419,0.9788,1
0.97003,0.10842,0.96314,0.35123,0.2432,0.083844,0.97881,1
0.96985,0.10877,0.96309,0.35178,0.24304,0.083319,0.97899,1
0.37609,0.24271,0.78537,0.77954,1.0315,0.86802,0.99024,0
0.96988,0.1088,0.96309,0.35172,0.24308,0.083327,0.979,1
0.9701,0.10851,0.96323,0.35212,0.24304,0.083465,0.97857,1
0.96978,0.10805,0.96257,0.35227,0.24282,0.08373,0.97933,1
0.89581,0.81506,0.28098,0.14236,0.8968,0.35321,0.16153,0
0.96988,0.10879,0.96313,0.35175,0.24309,0.083417,0.97899,1
0.96982,0.10872,0.963,0.35166,0.24307,0.083365,0.97888,1
0.96982,0.10873,0.96299,0.35168,0.24304,0.083294,0.97909,1
0.96996,0.10898,0.96317,0.35263,0.24344,0.082781,0.97899,1
0.67102,0.59641,0.50917,0.62034,0.55522,0.49797,0.16883,2
0.96999,0.10888,0.96316,0.35182,0.24286,0.083504,0.97895,1
0.96956,0.1082,0.9628,0.35198,0.24297,0.082686,0.97912,1
0.97001,0.10839,0.96313,0.35111,0.24332,0.083626,0.9787,1
0.96994,0.10895,0.96298,0.35172,0.24313,0.083273,0.97916,1
0.23964,0.38915,0.022196,0.24811,0.2885,0.60144,0.66234,0
0.96997,0.10796,0.96293,0.35162,0.24379,0.083221,0.97927,1
0.96953,0.10858,0.96302,0.35172,0.24318,0.083259,0.97958,1
0.96977,0.10874,0.96305,0.35182,0.24327,0.083554,0.97906,1
0.49721,0.67861,0.96943,0.4414,0.56621,0.30411,0.88216,0
0.97037,0.10917,0.96312,0.35182,0.24323,0.083571,0.97883,1
0.44963,0.15199,0.43643,0.62813,0.47077,0.064969,0.070259,0
0.96966,0.10877,0.96246,0.35145,0.24276,0.083473,0.97905,1
0.60951,0.63451,1.1464,0.33025,0.92654,0.38216,0.55094,0
0.97066,0.10868,0.96263,0.35197,0.24263,0.083433,0.97874,1
0.96962,0.1086,0.96289,0.35212,0.24324,0.083033,0.97914,1
0.90901,0.32654,0.5851,0.29696,0.025056,0.10064,0.094971,0
0.97023,0.10882,0.96357,0.35234,0.24338,0.08322,0.97909,1
0.96996,0.10885,0.96307,0.35169,0.24305,0.083453,0.97936,1
0.96984,0.10883,0.96305,0.35183,0.24301,0.083345,0.979,1
0.67067,0.59854,0.50972,0.62084,0.55594,0.4979,0.16939,2
0.86113,0.94876,0.12455,0.34943,0.63299,0.15542,0.30764,0
0.96974,0.10864,0.96293,0.35188,0.24299,0.083354,0.979,1
0.96986,0.10877,0.96293,0.35191,0.24308,0.083939,0.979,1
0.96985,0.10877,0.96303,0.35177,0.24308,0.083354,0.97897,1
0.97049,0.10839,0.96328,0.35186,0.24291,0.083003,0.97916,1
0.96966,0.10892,0.96335,0.35172,0.24308,0.083305,0.97892,1
0.97004,0.10829,0.96312,0.35188,0.24334,0.083327,0.97889,1
0.96975,0.10901,0.96321,0.35185,0.24294,0.083353,0.97919,1
0.66595,0.75517,0.4669,0.68318,0.20891,0.32796,0.065787,0
0.96969,0.10796,0.96325,0.35181,0.24281,0.083544,0.97884,1
0.66946,0.83489,0.76716,0.96161,0.54194,0.99128,0.77205,0
0.52928,0.38422,0.18456,0.92745,0.68429,1.0499,0.048415,0
0.69417,0.10064,0.56267,0.61597,0.42286,0.051175,0.87809,0
0.97001,0.10892,0.96289,0.35216,0.24375,0.083421,0.97881,1
0.25956,0.41702,0.8569,0.71649,0.61337,0.77018,0.39389,0
0.67032,0.59746,0.50871,0.6175,0.55496,0.49764,0.16896,2
0.96983,0.10905,0.96307,0.35171,0.24301,0.083201,0.97898,1
0.67113,0.59703,0.50888,0.61998,0.55524,0.49743,0.16933,2
0.67189,0.59679,0.50888,0.62101,0.55494,0.49761,0.16852,2
0.96971,0.10863,0.96315,0.35188,0.24296,0.083256,0.97855,1
0.75576,0.34779,0.16412,0.76537,0.19927,0.26165,0.41337,0
0.96997,0.10846,0.96304,0.35149,0.24362,0.083296,0.97945,1
0.96977,0.10881,0.96319,0.35182,0.24313,0.083361,0.97898,1
0.97056,0.10883,0.96275,0.35191,0.2438,0.082898,0.97892,1
0.92964,0.047463,0.78505,0.1841,0.32022,0.5171,0.38923,0
0.67184,0.42471,0.21898,0.36871,0.052704,0.8562,0.11785,0
0.81174,0.90525,0.50635,0.97998,0.54235,0.54392,0.95652,0
0.96984,0.10879,0.96304,0.35181,0.24315,0.083316,0.97889,1
0.9696,0.10869,0.9626,0.35175,0.24284,0.083227,0.97901,1
0.97001,0.10874,0.96321,0.35185,0.24248,0.083364,0.97928,1
0.96989,0.10903,0.96256,0.35171,0.24394,0.083465,0.97905,1
0.97005,0.10873,0.96306,0.3518,0.243,0.083425,0.9789,1
0.96933,0.10887,0.96369,0.35155,0.24354,0.08347,0.97898,1
0.6718,0.59711,0.50826,0.62033,0.55481,0.49802,0.16847,2
0.9697,0.10895,0.96306,0.3518,0.24303,0.08328,0.97907,1
0.97044,0.10895,0.96295,0.35163,0.2435,0.083548,0.97889,1
0.16233,0.10561,0.8395,0.46507,0.032952,0.87527,0.78776,0
0.96969,0.10862,0.96315,0.35179,0.24314,0.083467,0.97867,1
0.67153,0.59686,0.50845,0.62,0.55648,0.49771,0.16838,2
0.56979,0.53768,0.09317,0.86563,0.61111,0.47392,0.2515,0
0.96968,0.10896,0.96293,0.35195,0.243,0.083356,0.97886,1
0.96957,0.10886,0.96257,0.35187,0.2432,0.083555,0.97889,1
0.97014,0.10867,0.96289,0.35156,0.24291,0.08315,0.979,1
0.4623,0.83427,1.1097,0.7628,1.0341,1.0345,0.51625,0
0.60364,0.066639,0.13571,1.1204,0.49719,0.31831,0.64692,0
0.67056,0.59783,0.50927,0.62039,0.55465,0.49688,0.16892,2
0.96972,0.10869,0.96315,0.35192,0.24325,0.083362,0.97889,1
0.24676,0.88156,0.42633,0.60703,0.92823,0.13431,0.53973,0
0.67148,0.59676,0.5096,0.62035,0.55502,0.49789,0.16785,2
0.8971,0.25129,0.10159,0.9184,0.92714,0.98805,0.85819,0
0.67167,0.59648,0.50849,0.62199,0.55605,0.49746,0.16879,2
0.96997,0.10902,0.96281,0.35168,0.24341,0.083502,0.97926,1
0.1414,0.3168,0.33543,0.15772,0.58688,0.79435,0.091002,0
0.96952,0.10836,0.96244,0.35214,0.24254,0.083185,0.9791,1
0.96979,0.10894,0.96301,0.35196,0.24313,0.083295,0.97892,1
0.96995,0.10842,0.96277,0.35192,0.24279,0.083609,0.97887,1
0.01328,0.35262,0.56707,0.81332,0.83675,0.70469,0.69728,0
0.67218,0.59613,0.5077,0.6204,0.55645,0.49764,0.1692,2
0.96935,0.10841,0.96251,0.35142,0.24332,0.083446,0.97863,1
0.96986,0.10861,0.96295,0.35213,0.24319,0.083232,0.97865,1
0.78931,0.94046,0.54462,0.8808,0.823,0.42862,0.41511,0
0.97,0.10914,0.96314,0.35175,0.24337,0.083301,0.9789,1
0.094514,1.0282,0.16273,0.51276,0.54271,0.4783,0.2148,0
0.70117,0.60407,0.39299,0.18566,0.5818,0.14593,0.39452,0
0.11086,0.66699,0.010083,0.3408,0.41667,0.88631,0.13374,0
0.96992,0.10829,0.96224,0.352,0.24315,0.082872,0.9785,1
0.67226,0.59548,0.50953,0.61997,0.55545,0.49811,0.16834,2
0.96976,0.10878,0.96327,0.3519,0.24334,0.083486,0.97896,1
0.96972,0.10898,0.96303,0.35177,0.24321,0.083337,0.97921,1
0.96976,0.10887,0.96214,0.35119,0.24314,0.083458,0.97907,1
0.51639,0.26275,0.2473,0.2693,0.10204,0.97178,0.52211,0
1.0541,0.91323,0.1181,0.60354,0.69072,0.58835,0.84473,0
0.96989,0.10881,0.96298,0.35181,0.24311,0.083387,0.97903,1
0.96977,0.10899,0.96309,0.35228,0.24227,0.082963,0.97881,1
0.44074,0.18856,0.15244,0.46757,0.83658,0.31492,0.72946,0
0.96989,0.10888,0.96269,0.35185,0.24316,0.083403,0.97886,1
0.96963,0.10884,0.96307,0.35174,0.24296,0.083486,0.97893,1
0.53258,0.57709,0.61569,0.59324,1.0481,0.71771,0.10258,0
0.96946,0.1085,0.96287,0.35222,0.24285,0.083439,0.97919,1
0.96989,0.10852,0.96312,0.35194,0.24302,0.0834,0.97905,1
0.9698,0.10881,0.96303,0.352,0.24309,0.083441,0.97902,1
0.96989,0.10878,0.96307,0.35174,0.243,0.083237,0.97907,1
0.96957,0.10905,0.96313,0.35208,0.24226,0.083659,0.97935,1
0.33356,0.35521,0.31168,0.64383,0.85321,0.033803,0.72815,0
0.94427,0.58303,0.60803,0.79945,0.09745,0.163,0.83839,0
0.96977,0.10865,0.96316,0.3517,0.24308,0.083392,0.97924,1
0.14593,0.67895,0.94421,0.7853,0.68494,0.58326,0.59088,0
0.45294,0.34434,0.26538,0.081314,0.40722,0.5354,0.29096,0
0.96992,0.10879,0.96309,0.35175,0.24304,0.083324,0.97898,1
0.49209,0.038635,0.61946,0.0081258,1.1467,0.25384,0.24437,0
0.97,0.10923,0.96287,0.3518,0.24293,0.083338,0.97901,1
0.89457,0.75747,0.36723,0.79731,0.49951,0.83243,0.60825,0
0.96988,0.10888,0.96305,0.35188,0.24307,0.083494,0.97886,1
0.96968,0.1088,0.96317,0.35183,0.24293,0.083241,0.97921,1
0.33173,0.861,0.70878,0.63715,0.72269,0.4376,0.83187,0
0.21557,0.80878,0.04571,0.88493,0.48387,0.71889,1.1016,0
0.96965,0.10864,0.96298,0.35177,0.2431,0.083331,0.97905,1
0.72533,0.41618,0.76325,1.0804,0.39882,0.38164,0.37108,0
0.67099,0.59664,0.50947,0.62073,0.55498,0.49799,0.16924,2
0.80063,0.55996,0.84221,0.20332,0.097971,0.31255,0.22395,0
0.38376,0.92149,0.33731,0.19717,0.98843,0.66863,0.22152,0
0.97,0.10897,0.96317,0.35171,0.24282,0.083178,0.97912,1
0.96937,0.10861,0.96244,0.35176,0.24268,0.083157,0.97907,1
0.9695,0.10884,0.96328,0.35179,0.24292,0.083518,0.97873,1
0.97002,0.10867,0.96353,0.3519,0.24318,0.083384,0.97953,1
0.39571,0.7806,0.92977,0.38916,0.67703,0.81721,0.35736,0
0.9698,0.10931,0.96303,0.35184,0.24273,0.082818,0.97879,1
0.96998,0.10887,0.96273,0.35236,0.24254,0.083058,0.97933,1
0.12597,0.57713,1.1153,0.63346,0.089917,0.46933,0.93684,0
0.72017,0.31977,0.2617,0.63804,0.80187,0.88027,0.48226,0
0.96986,0.1087,0.96289,0.35155,0.24298,0.083181,0.97891,1
0.90618,0.0095898,0.3516,0.18173,0.20263,1.0072,0.51331,0
0.37892,0.68845,0.69643,1.2041,0.60374,0.06964,0.80579,0
0.49866,0.59613,0.81298,0.68365,0.64082,1.095,0.49735,0
0.96975,0.10872,0.96292,0.35174,0.24312,0.083302,0.97896,1
0.96966,0.10847,0.96286,0.35204,0.24281,0.083084,0.97894,1
0.96998,0.10889,0.96299,0.35177,0.24271,0.083105,0.97899,1
0.97008,0.10828,0.96317,0.35199,0.2431,0.083521,0.97843,1
0.67054,0.59667,0.50996,0.62071,0.55476,0.49739,0.16882,2
0.96982,0.10841,0.96326,0.35175,0.24292,0.083312,0.97942,1
0.96975,0.10881,0.96302,0.35174,0.24284,0.083219,0.97907,1
0.96961,0.10889,0.96301,0.35181,0.24242,0.083702,0.97896,1
0.46921,0.14715,0.61569,0.32917,0.32137,0.68423,0.87429,0
0.27683,0.62296,0.30121,0.1286,0.35311,0.28829,0.78919,0
0.85383,0.93426,0.11499,0.16353,0.15656,0.088755,0.73294,0
0.67137,0.59678,0.50826,0.62143,0.55581,0.49799,0.16805,2
0.96958,0.1095,0.96353,0.35183,0.24298,0.084054,0.97885,1
0.96939,0.10967,0.9629,0.35177,0.2431,0.083584,0.97902,1
0.97007,0.10893,0.9634,0.35165,0.24295,0.083536,0.97874,1
0.67144,0.59704,0.50977,0.6203,0.55452,0.49783,0.16801,2
0.59426,0.71439,0.16856,0.22721,0.028208,0.44044,0.19274,0
0.96976,0.10856,0.96291,0.3518,0.2426,0.083174,0.97901,1
0.070918,0.09812,0.5864,0.015067,0.77955,0.49123,0.77473,0
0.6092,0.71353,0.0089901,0.57231,0.8559,0.3293,0.80279,0
0.96985,0.10878,0.96302,0.35179,0.24305,0.083346,0.97897,1
0.77968,0.31049,0.79515,0.95577,0.63313,0.38781,0.91838,0
0.22501,0.92377,0.33574,0.69875,0.33209,0.73418,0.59586,0
0.80268,0.43048,0.92576,0.44543,0.61139,0.92564,0.39777,0
0.67006,0.59745,0.50955,0.62025,0.55548,0.49838,0.16948,2
0.13642,0.66391,0.11513,0.75503,0.64757,0.71009,0.80041,0
0.54489,1.0845,0.9208,0.064806,0.79415,0.81238,0.62774,0
0.67103,0.59657,0.51062,0.62074,0.55511,0.49666,0.16947,2
0.4866,0.92141,0.090784,1.0119,0.61736,0.0073248,0.66311,0
0.58076,0.84072,0.75553,0.58234,0.43386,0.3196,0.52368,0
0.29809,0.098389,0.9958,0.34929,0.12414,0.33235,0.67317,0
0.96985,0.10882,0.96307,0.3519,0.24312,0.083386,0.97903,1
0.67095,0.59646,0.51031,0.62082,0.55563,0.49757,0.1697,2
0.96985,0.10859,0.96293,0.35147,0.24329,0.083429,0.97881,1
0.69308,0.52617,0.46692,0.60685,0.67992,0.54467,0.6539,0
0.67094,0.59798,0.50964,0.62023,0.55566,0.4977,0.16871,2
0.67181,0.5973,0.50985,0.6198,0.55523,0.49519,0.16925,2
0.67185,0.59657,0.51008,0.62007,0.55521,0.49703,0.16868,2
0.96985,0.10878,0.96301,0.35177,0.24307,0.083282,0.9791,1
0.96932,0.10892,0.96341,0.35155,0.24354,0.083338,0.97886,1
0.11935,0.081721,0.97413,0.49694,0.004909,0.75666,0.037224,0
0.96986,0.10893,0.96308,0.35184,0.243,0.083324,0.9789,1
0.96984,0.10879,0.96303,0.3518,0.24306,0.083336,0.97899,1
0.97033,0.10905,0.96304,0.3518,0.24272,0.082788,0.97859,1
1.0664,0.92183,0.54162,0.66378,0.46138,0.49625,0.75204,0
0.18181,0.11748,0.84621,0.84684,0.27837,0.02751,0.38718,0
0.96888,0.10927,0.96276,0.35171,0.24322,0.083448,0.9787,1
0.96979,0.10872,0.963,0.35181,0.24314,0.083303,0.97901,1
0.055491,0.56505,0.55899,0.81411,0.53237,0.69786,0.32331,0
0.96995,0.10831,0.96327,0.35181,0.2438,0.082976,0.9792,1
0.67044,0.59639,0.50946,0.62068,0.55503,0.49876,0.16866,2
0.96919,0.10826,0.96273,0.35135,0.24311,0.082908,0.97897,1
0.72421,0.63,0.63658,0.35821,0.13879,0.75897,0.36128,0
0.96969,0.10887,0.96334,0.3517,0.24322,0.083378,0.97935,1
0.67186,0.59663,0.50877,0.62096,0.55502,0.49744,0.1699,2
0.96986,0.10875,0.96304,0.35179,0.24302,0.083363,0.97898,1
0.97004,0.10884,0.96342,0.35184,0.24329,0.082823,0.97818,1
0.97001,0.10832,0.96297,0.35232,0.2427,0.083827,0.97928,1
0.67119,0.59723,0.50911,0.61966,0.55658,0.49785,0.16956,2
0.20642,0.056068,0.39849,0.23761,0.25885,0.13617,0.41292,0
0.11019,0.43699,0.41208,0.018666,0.82006,0.68932,0.86283,0
0.059183,0.73116,0.77382,0.99287,0.57433,0.019507,0.34331,0
0.67266,0.59721,0.5095,0.62171,0.55525,0.4977,0.16955,2
0.18763,0.28857,0.12165,0.39295,0.51695,0.53242,0.48766,0
0.97,0.10878,0.96297,0.35197,0.24318,0.083621,0.97885,1
0.27782,0.059822,0.11389,0.25765,0.42747,0.65774,0.75842,0
0.57113,0.83369,0.44083,0.10924,0.90466,0.20501,0.12088,0
0.96992,0.10891,0.96299,0.35186,0.24299,0.083364,0.97905,1
0.96974,0.10852,0.96311,0.35185,0.24304,0.083516,0.97869,1
0.67188,0.59732,0.50913,0.62085,0.55469,0.49812,0.16909,2
0.55216,0.028171,0.99255,0.82304,0.52712,0.36073,0.71877,0
0.96994,0.10869,0.96323,0.35157,0.24319,0.083122,0.97882,1
0.10391,0.090794,0.64343,0.38937,0.85399,0.093869,0.0074636,0
0.9701,0.10784,0.96317,0.35201,0.24307,0.083462,0.97851,1
0.67173,0.8059,0.05571,0.83244,0.30637,0.34887,0.45265,0
0.96993,0.10918,0.96313,0.35207,0.24298,0.08345,0.97937,1
0.9698,0.10869,0.96309,0.35187,0.24287,0.083201,0.97899,1
0.74054,0.89926,0.48806,0.36392,0.011824,0.43467,0.51176,0
0.5527,0.55453,0.50967,0.76376,0.8878,0.66011,0.84012,0
0.97041,0.10881,0.96338,0.35183,0.24303,0.083659,0.97869,1
0.96907,0.10863,0.96294,0.35156,0.24236,0.083606,0.97923,1
0.33344,0.92765,0.73544,0.47614,0.93755,0.50477,0.48638,0
0.6702,0.59726,0.50858,0.62138,0.55664,0.49771,0.16875,2
1.0089,0.29188,0.55778,0.37682,0.21351,0.47281,0.40736,0
0.86229,0.17391,0.62726,0.53862,0.41746,0.2706,0.0022423,0
0.009437,0.34122,0.24409,0.54171,0.25755,0.31625,0.22764,0
0.92426,0.57089,0.34677,0.83674,0.17819,0.73206,0.70342,0
0.52275,0.1136,0.27138,0.85834,0.82505,0.56579,0.16746,0
0.97003,0.1083,0.96333,0.35197,0.2433,0.082729,0.97852,1
0.96979,0.10882,0.96302,0.35189,0.24304,0.083082,0.97872,1
0.46405,0.3196,0.28944,0.3459,0.53476,0.68017,0.86242,0
0.33994,0.17963,0.20554,1.029,0.55436,0.68865,0.83005,0
0.97007,0.10853,0.9625,0.35154,0.24288,0.083299,0.97885,1
0.67132,0.59731,0.50931,0.62117,0.55516,0.49794,0.16818,2
0.51402,0.33979,0.92733,0.60304,0.81131,0.59114,0.14674,0
0.45139,0.53206,1.1509,0.3444,0.82117,0.4808,0.42741,0
0.96974,0.10871,0.9627,0.35149,0.24283,0.083368,0.97927,1
0.24106,0.24908,0.22885,0.05828,0.58999,0.7027,0.29912,0
0.96984,0.10857,0.96319,0.35191,0.24292,0.083291,0.97896,1
0.76235,0.68519,0.13826,0.1551,0.074726,0.082665,0.33584,0
0.6695,0.59739,0.50909,0.62084,0.55532,0.49787,0.16915,2
0.15344,0.692,0.008322,0.43229,0.97582,0.265,0.87291,0
0.96966,0.10836,0.96271,0.35235,0.24349,0.083235,0.97858,1
0.67098,0.59692,0.50928,0.62035,0.55565,0.49745,0.1686,2
0.97025,0.10887,0.96268,0.35202,0.24325,0.08314,0.97914,1
0.67146,0.59688,0.50814,0.62052,0.55551,0.4978,0.16984,2
0.85969,0.78854,0.52636,0.56153,0.19657,0.47814,0.17604,0
0.97008,0.10897,0.9628,0.35167,0.24311,0.082965,0.97889,1
0.13295,0.85031,0.88733,0.29707,0.11844,0.061411,0.20941,0
1.0752,0.064274,0.17302,0.49343,0.67299,0.14077,0.034789,0
0.97005,0.10893,0.96328,0.35194,0.24274,0.083415,0.97853,1
0.97,0.10887,0.96309,0.35182,0.24307,0.083486,0.97882,1
0.35625,0.86934,0.6354,0.29156,0.41919,0.76831,0.53614,0
0.35881,0.32069,0.87475,0.15667,0.59252,0.12922,0.14691,0
0.97057,0.10833,0.96311,0.35203,0.24351,0.083858,0.97922,1
0.071476,0.64924,0.73482,0.11321,0.73343,0.34036,0.87673,0
0.67068,0.59793,0.50874,0.62042,0.55595,0.49802,0.16952,2
0.67021,0.59693,0.50939,0.6203,0.5551,0.49767,0.16944,2
0.30379,0.47989,0.74083,0.53237,0.018183,0.75427,0.19402,0
0.60511,0.55715,0.36726,0.96269,0.24107,0.21312,0.5108,0
0.96987,0.10853,0.96253,0.3518,0.24303,0.083157,0.97914,1
0.96981,0.10884,0.96305,0.35183,0.24304,0.083372,0.97899,1
0.96981,0.10842,0.96269,0.35179,0.24314,0.083475,0.97832,1
0.30231,0.25549,0.45226,0.61445,0.063092,0.34242,0.15953,0
0.6714,0.59766,0.50985,0.62092,0.55582,0.49676,0.16906,2
0.67043,0.59681,0.50967,0.6213,0.5562,0.4976,0.16953,2
0.96916,0.1084,0.96335,0.35179,0.24275,0.083727,0.97912,1
0.67212,0.59785,0.50843,0.6201,0.5551,0.49842,0.16901,2
0.96933,0.10944,0.96309,0.35173,0.2427,0.083417,0.97941,1
0.050657,0.09143,0.83374,0.88508,0.55768,0.20856,0.32521,0
0.96984,0.10873,0.96283,0.35172,0.24306,0.08334,0.97888,1
0.96994,0.10871,0.96301,0.35173,0.2431,0.083431,0.97897,1
0.9696,0.10879,0.96296,0.35153,0.24312,0.083565,0.97895,1
0.97,0.10853,0.96251,0.35143,0.2427,0.082925,0.97833,1
0.96986,0.10878,0.96301,0.3518,0.24304,0.083353,0.97897,1
0.97004,0.1091,0.96301,0.35185,0.24311,0.082709,0.97873,1
0.97,0.10886,0.96337,0.35142,0.24291,0.082846,0.97884,1
0.10625,0.30999,0.086046,0.71657,0.91557,0.23525,0.25784,0
0.60964,0.6331,0.96527,0.84024,0.75221,0.45496,0.42822,0
