@relation h-out_data_14-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute class {0,1,2,3,4,5}

@data
0.74649,0.44315,0.10559,0.09314,0.68345,0.67737,0.723,0.9744,0.29327,0.61179,0.015346,0.45071,0.89271,0.44099,0.86462,0.77598,0.35987,0.17449,1
0.74716,0.44529,0.11042,0.093858,0.68002,0.67997,0.72338,0.97588,0.29493,0.61108,0.012236,0.45894,0.89578,0.43939,0.86812,0.7749,0.35894,0.17511,1
0.23488,0.72734,0.47846,0.74693,0.55446,0.011962,1.0281,0.60368,0.78486,0.53821,0.51312,0.64827,0.2662,0.068047,0.80192,0.3874,0.33722,0.54213,0
0.48255,0.0288,0.17031,0.8616,0.052503,0.65309,0.87908,0.53557,0.92153,0.011624,0.89199,0.023317,0.34605,0.90332,0.72016,0.79818,0.63933,0.52223,2
0.41421,0.86408,0.037583,0.30092,0.97748,0.58643,0.012789,0.53764,0.92092,0.36928,0.81227,0.33075,0.45267,0.29094,0.65468,0.44775,0.080899,0.27875,3
0.41132,0.87022,0.038732,0.3095,0.97182,0.58621,0.011363,0.53373,0.91925,0.37335,0.81039,0.33273,0.45526,0.29045,0.65217,0.45539,0.07989,0.28147,3
0.47305,0.74954,0.74343,0.76476,0.16918,0.037675,0.16601,0.33723,0.86643,0.80095,0.35514,0.36175,0.013218,0.80209,0.93757,0.82175,0.84333,0.33525,0
0.34175,0.045825,0.54904,0.31301,0.64479,0.7746,0.51081,0.1951,0.57836,0.67147,0.9206,0.030005,0.04914,0.61374,0.55559,0.84593,0.041469,0.46744,0
0.4822,0.025397,0.17616,0.86543,0.053332,0.6517,0.88003,0.53459,0.9178,0.0099106,0.89386,0.013038,0.34321,0.89998,0.72136,0.79422,0.63951,0.52139,2
0.47756,0.021128,0.17143,0.86488,0.05634,0.65683,0.87231,0.53955,0.91913,0.012883,0.89218,0.015122,0.34478,0.9063,0.72256,0.80293,0.642,0.51875,2
0.74572,0.44514,0.11142,0.091165,0.68241,0.67986,0.72073,0.97324,0.29353,0.61335,0.015341,0.45619,0.89228,0.44038,0.87002,0.78144,0.36157,0.17519,1
0.41062,0.86693,0.039076,0.30763,0.97127,0.58288,0.0097259,0.53362,0.92045,0.37259,0.81434,0.33212,0.45197,0.29533,0.65409,0.4528,0.080468,0.27965,3
0.12711,0.92225,0.45533,0.7224,0.043305,0.98879,0.64105,0.36149,0.49881,0.012059,0.17328,0.98131,0.59702,0.22568,0.85134,0.35875,0.43094,0.94159,0
0.48171,0.023047,0.17215,0.86602,0.053694,0.65475,0.87253,0.53817,0.92272,0.0097341,0.89575,0.0091756,0.34676,0.89736,0.72335,0.79684,0.6396,0.51216,2
0.41026,0.86295,0.040794,0.30844,0.97207,0.58615,0.011348,0.53373,0.91994,0.38013,0.80888,0.33381,0.45682,0.29552,0.65398,0.4554,0.082771,0.28128,3
0.41048,0.86193,0.044804,0.3104,0.97412,0.5926,0.012655,0.53541,0.921,0.37841,0.81476,0.33334,0.4452,0.29892,0.6555,0.45407,0.074544,0.28561,3
0.41528,0.86524,0.038144,0.30978,0.96762,0.59084,0.011059,0.53422,0.91969,0.36954,0.8122,0.33374,0.45658,0.28718,0.64428,0.44909,0.081055,0.27761,3
0.35075,0.32631,0.93879,0.13208,0.30011,0.79785,0.15233,0.11936,0.57766,0.36273,0.057574,0.14256,0.19306,0.8218,0.027028,0.50736,0.5051,0.54076,0
0.7475,0.44056,0.10841,0.094281,0.68297,0.68,0.71799,0.97259,0.2962,0.61602,0.017736,0.45523,0.88888,0.446,0.86808,0.77449,0.36257,0.17592,1
0.74736,0.44014,0.10862,0.091002,0.67949,0.68081,0.72144,0.97533,0.29043,0.61815,0.011376,0.45081,0.89249,0.43995,0.86434,0.775,0.3591,0.17553,1
0.48494,0.02886,0.17574,0.86484,0.05429,0.65608,0.88094,0.53461,0.92407,0.012231,0.89069,0.018339,0.34303,0.9057,0.72247,0.80378,0.64331,0.51513,2
0.48273,0.023686,0.17139,0.8696,0.053488,0.65142,0.87651,0.53503,0.92476,0.016978,0.8934,0.016661,0.3495,0.90745,0.72062,0.79992,0.63732,0.51797,2
0.41069,0.86967,0.035282,0.30299,0.96945,0.58548,0.015611,0.53222,0.91944,0.37425,0.81158,0.33388,0.45263,0.28766,0.65441,0.45036,0.08234,0.27491,3
0.7464,0.44236,0.10835,0.092746,0.68033,0.67935,0.7205,0.97186,0.29117,0.61315,0.014721,0.45448,0.89216,0.43956,0.86621,0.77301,0.35884,0.17437,1
0.74609,0.44005,0.10618,0.093091,0.67857,0.68178,0.71935,0.97281,0.29474,0.61427,0.015398,0.45466,0.89443,0.43879,0.86648,0.77205,0.3605,0.17536,1
0.74652,0.44406,0.11363,0.096667,0.68084,0.67857,0.7214,0.97564,0.28908,0.616,0.011211,0.45738,0.89121,0.43706,0.8676,0.77168,0.35901,0.1735,1
0.40968,0.86047,0.036739,0.30266,0.97373,0.58697,0.012222,0.53181,0.91742,0.37958,0.81818,0.33412,0.45028,0.29416,0.6604,0.45971,0.082814,0.28607,3
0.80338,0.85459,0.87095,0.83659,0.93405,0.13994,0.43119,0.33128,0.69386,0.18756,0.96937,0.10582,0.74597,0.99446,0.85439,0.62687,0.3128,0.30547,0
0.47898,0.028956,0.17109,0.8663,0.053921,0.65236,0.88287,0.53408,0.92043,0.014458,0.89287,0.016212,0.34247,0.89702,0.72864,0.80291,0.63836,0.51581,2
0.48178,0.027164,0.17288,0.86504,0.049293,0.6541,0.87705,0.53221,0.92035,0.014068,0.89466,0.014197,0.343,0.90248,0.72625,0.80279,0.63806,0.51414,2
0.74403,0.4372,0.1066,0.093288,0.67708,0.67945,0.71836,0.97466,0.29611,0.61749,0.016956,0.45716,0.88928,0.44138,0.87017,0.77178,0.35557,0.16747,1
0.74771,0.4385,0.10366,0.092431,0.67719,0.68569,0.72454,0.97116,0.29224,0.61835,0.012487,0.45361,0.895,0.44353,0.8667,0.77778,0.35657,0.17161,1
0.74797,0.44517,0.10593,0.093885,0.6778,0.68278,0.71762,0.97395,0.29584,0.61216,0.015375,0.45226,0.89439,0.44121,0.86527,0.77623,0.35607,0.17759,1
0.55217,0.88954,0.036164,0.22395,0.047152,0.27473,0.27238,0.45592,0.50279,0.59966,0.3346,0.85487,0.81983,0.73118,0.98577,0.050494,0.15277,0.82776,0
0.47864,0.025873,0.17199,0.86352,0.053543,0.65732,0.87756,0.53422,0.92161,0.014984,0.895,0.015238,0.34542,0.90744,0.71817,0.8018,0.63301,0.51587,2
0.48239,0.028694,0.17447,0.86667,0.051431,0.6515,0.87549,0.53702,0.92285,0.012111,0.89286,0.015197,0.34798,0.9042,0.72411,0.80283,0.64282,0.52247,2
0.41397,0.86752,0.037594,0.31197,0.97511,0.58476,0.013946,0.53191,0.91599,0.37141,0.82036,0.32962,0.46118,0.29387,0.65216,0.45727,0.07266,0.28358,3
0.48343,0.026518,0.17178,0.86758,0.052793,0.64947,0.87815,0.53352,0.91879,0.014178,0.89567,0.012524,0.34821,0.90453,0.7238,0.7992,0.63909,0.51884,2
0.48146,0.020445,0.17306,0.86739,0.051542,0.65609,0.87641,0.53678,0.92422,0.017007,0.89423,0.014125,0.34631,0.90514,0.7223,0.79756,0.64298,0.52018,2
0.1726,0.69865,0.90864,0.32046,0.32249,0.42706,0.63778,0.2923,0.26216,0.81094,0.57022,0.19592,0.93528,0.33255,0.22931,0.036443,0.53278,0.88912,4
0.48028,0.024638,0.17347,0.8648,0.047691,0.6528,0.87898,0.53756,0.92186,0.013269,0.89125,0.010666,0.35256,0.90008,0.72238,0.79894,0.63027,0.51635,2
0.47862,0.033571,0.17092,0.86789,0.054749,0.64803,0.87694,0.53607,0.9173,0.011404,0.89203,0.015408,0.34596,0.89523,0.71966,0.80354,0.64199,0.51683,2
0.40995,0.87162,0.040109,0.30666,0.97112,0.58368,0.011756,0.53515,0.92343,0.37006,0.80349,0.32655,0.45615,0.28997,0.65827,0.4546,0.079933,0.27659,3
