@relation h-out_data_15-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
0.78085,0.021018,0.34178,0.81915,0.325,10
0.45605,0.43405,0.82785,0.41815,0.6757,5
0.30796,0.87011,0.042089,0.5992,0.67964,8
0.802,0.14787,0.79749,0.96997,0.81887,1
0.80228,0.14774,0.7976,0.97008,0.81873,1
0.82427,0.26411,0.58253,0.33226,0.24234,0
0.21647,0.042526,0.37452,0.88333,0.66124,0
0.28291,0.24902,0.75975,0.080234,0.69669,9
0.91388,0.18967,0.33215,0.41125,0.66116,0
0.17313,0.1183,0.46845,0.23251,0.96176,7
0.3072,0.86928,0.04216,0.59882,0.67974,8
0.80215,0.14779,0.79744,0.97008,0.81873,1
0.28284,0.24913,0.75982,0.080566,0.69649,9
0.66143,0.62514,0.27866,0.078988,0.53949,0
0.30833,0.8694,0.042292,0.59968,0.67987,8
0.98712,0.83083,0.96647,0.89053,0.18571,2
0.80207,0.14786,0.79751,0.96999,0.81883,1
0.1671,0.94286,0.46238,0.1112,1.0385,0
0.73809,0.071305,0.57418,0.59361,0.041929,3
0.30781,0.86943,0.042229,0.59911,0.67967,8
0.73776,0.071404,0.57358,0.59559,0.043088,3
0.80188,0.1479,0.7976,0.97027,0.81888,1
0.28298,0.24925,0.75975,0.080378,0.69671,9
0.45457,0.43423,0.82712,0.41657,0.67495,5
0.52736,0.74203,0.30771,0.81428,0.26177,6
0.17311,0.11831,0.46864,0.23248,0.96177,7
0.45593,0.43491,0.82644,0.41823,0.67614,5
0.80209,0.14788,0.79745,0.97002,0.8188,1
0.80218,0.14775,0.79756,0.96997,0.81886,1
0.80231,0.14784,0.79742,0.97,0.8188,1
0.98332,0.48602,0.36998,0.64766,0.74108,0
0.73793,0.072321,0.57408,0.59508,0.041505,3
0.73885,0.072031,0.57319,0.59513,0.041854,3
0.78104,0.021168,0.34201,0.81933,0.32475,10
0.80204,0.14791,0.79758,0.97011,0.81884,1
0.90838,0.89205,0.28512,0.92551,0.46042,0
0.17352,0.11835,0.46834,0.23233,0.9618,7
0.51299,0.92054,0.023463,0.40947,0.1873,0
0.17326,0.1184,0.46848,0.23238,0.96186,7
0.307,0.86972,0.042672,0.60022,0.67959,8
0.45482,0.43405,0.82688,0.4186,0.67522,5
0.30728,0.87008,0.042602,0.59961,0.68031,8
0.98777,0.83065,0.96571,0.89063,0.18542,2
0.80216,0.1478,0.79753,0.97008,0.81878,1
0.28284,0.24906,0.76007,0.080302,0.69634,9
0.30778,0.87001,0.042486,0.59846,0.67977,8
0.30754,0.24956,0.79977,0.74218,0.68422,0
0.30797,0.86999,0.042127,0.59958,0.68079,8
0.17339,0.1185,0.46835,0.2324,0.96191,7
0.52806,0.74235,0.30777,0.81382,0.2612,6
0.17322,0.11845,0.46838,0.23253,0.96178,7
0.52845,0.74209,0.30806,0.8138,0.2622,6
0.80219,0.14776,0.79776,0.97019,0.819,1
0.73656,0.070777,0.57505,0.59483,0.042572,3
0.80207,0.14784,0.7975,0.96996,0.81887,1
0.28285,0.24921,0.75982,0.080232,0.69629,9
0.80233,0.14777,0.79751,0.96998,0.81889,1
0.52664,0.74333,0.30875,0.81538,0.26122,6
0.16196,0.093083,0.39172,0.44208,0.76431,0
0.80183,0.14785,0.79751,0.96997,0.81866,1
0.28285,0.24914,0.75969,0.080287,0.69637,9
0.73869,0.07201,0.57395,0.59489,0.042421,3
0.17339,0.11837,0.46849,0.23243,0.96178,7
0.80185,0.14786,0.79745,0.97,0.81896,1
0.28284,0.24937,0.75976,0.080237,0.69656,9
0.28286,0.24922,0.75998,0.080367,0.69662,9
0.80213,0.14782,0.79747,0.97,0.81885,1
0.78092,0.021238,0.34167,0.81888,0.32443,10
0.52731,0.74248,0.30831,0.81435,0.26177,6
0.8021,0.14774,0.79751,0.9702,0.81873,1
0.73723,0.072212,0.57363,0.59469,0.042341,3
0.80202,0.14783,0.7975,0.9701,0.81896,1
0.17316,0.11829,0.46843,0.23237,0.96187,7
0.28279,0.24926,0.75971,0.080211,0.69622,9
0.78104,0.020793,0.34144,0.81939,0.32494,10
0.74709,0.86933,0.81049,0.26149,0.78822,4
0.24981,0.59422,0.49196,0.47006,0.60174,0
0.45507,0.43502,0.82668,0.41806,0.67573,5
0.36327,0.59547,0.72005,0.79962,1.0937,0
0.17327,0.1183,0.46842,0.23256,0.96185,7
0.30787,0.86922,0.041564,0.59894,0.67986,8
0.93053,0.56912,0.68804,0.80534,0.76929,0
0.73789,0.072282,0.57355,0.59516,0.042339,3
0.73842,0.072166,0.57326,0.5943,0.042766,3
0.73764,0.07174,0.57382,0.59498,0.042224,3
0.17327,0.11824,0.46854,0.23233,0.96184,7
0.17335,0.11824,0.46836,0.23234,0.96188,7
0.28283,0.24921,0.75965,0.080473,0.6965,9
0.80202,0.14787,0.79776,0.97008,0.81888,1
0.40525,0.92602,0.85082,0.6671,0.88064,0
0.7811,0.021407,0.34151,0.81914,0.32475,10
0.17337,0.11839,0.46843,0.2325,0.96183,7
0.73793,0.071383,0.57411,0.59504,0.042464,3
0.45645,0.43375,0.82638,0.41785,0.67655,5
0.17348,0.11831,0.46837,0.23259,0.9619,7
0.73834,0.071743,0.5737,0.59525,0.042076,3
0.77896,1.0606,0.87866,0.27569,0.51136,0
0.74715,0.8694,0.81098,0.26085,0.78898,4
0.73899,0.072302,0.57433,0.59561,0.042142,3
0.8019,0.14774,0.79758,0.97003,0.81879,1
0.28287,0.24925,0.75997,0.080311,0.69649,9
0.17334,0.11832,0.46865,0.23249,0.9619,7
0.73781,0.071981,0.5739,0.59484,0.042204,3
0.92715,0.13878,0.12906,0.15567,0.17518,0
0.78116,0.02106,0.34152,0.8188,0.32433,10
0.17331,0.11836,0.46841,0.23244,0.96193,7
1.0248,0.71014,0.64405,0.67773,0.32718,0
0.747,0.86938,0.81062,0.26156,0.78833,4
0.52753,0.74295,0.30738,0.81401,0.26184,6
0.80215,0.148,0.79752,0.97013,0.81895,1
0.308,0.86906,0.041523,0.5995,0.68042,8
0.17338,0.11844,0.46858,0.23253,0.96191,7
0.74735,0.86946,0.8104,0.26128,0.78834,4
0.28302,0.2492,0.75989,0.08028,0.69649,9
0.17331,0.11825,0.46836,0.23226,0.96188,7
0.74574,0.87034,0.81127,0.26189,0.78907,4
0.84391,0.35354,0.69638,0.10644,0.44753,0
0.17332,0.1185,0.46855,0.23267,0.96181,7
0.7486,0.38984,0.19212,0.71422,0.91419,0
0.73786,0.072145,0.57398,0.59524,0.043429,3
0.5276,0.74265,0.30821,0.81421,0.26174,6
0.80206,0.14786,0.79754,0.97006,0.81878,1
0.1735,0.11846,0.46857,0.23249,0.96189,7
0.80203,0.14792,0.79764,0.97,0.81883,1
0.78088,0.02086,0.34172,0.8188,0.32444,10
0.25935,0.090255,0.4837,0.27315,0.83463,0
0.17333,0.11844,0.46847,0.23243,0.96183,7
0.80188,0.14772,0.7975,0.97012,0.81878,1
0.45751,0.4348,0.82636,0.41784,0.67597,5
0.30815,0.86945,0.04218,0.59944,0.68017,8
0.78086,0.020899,0.34192,0.81895,0.32501,10
0.17345,0.11835,0.4684,0.23246,0.96185,7
0.73824,0.071604,0.57391,0.59508,0.042183,3
0.73814,0.071288,0.57448,0.59466,0.04241,3
0.17342,0.11866,0.46854,0.23259,0.96182,7
0.80215,0.14776,0.79753,0.97008,0.81875,1
0.80209,0.14795,0.79742,0.96997,0.81872,1
0.74706,0.86924,0.81047,0.26154,0.78837,4
0.80212,0.14815,0.79747,0.97003,0.81879,1
0.28289,0.24917,0.75985,0.080397,0.69642,9
0.80225,0.14807,0.79764,0.97004,0.81877,1
0.73823,0.071862,0.5737,0.59506,0.042756,3
0.17333,0.11835,0.46865,0.23231,0.96186,7
0.30768,0.86943,0.042137,0.59855,0.68022,8
0.060986,1.0038,0.3558,0.0070971,0.82343,0
0.78092,0.020924,0.3416,0.81893,0.32453,10
0.17356,0.11856,0.46835,0.23237,0.9618,7
0.80216,0.14804,0.7975,0.97009,0.81891,1
0.78085,0.02085,0.34166,0.81913,0.32476,10
0.17333,0.11835,0.46857,0.23248,0.9621,7
0.73838,0.071549,0.57405,0.59519,0.042108,3
0.17322,0.11833,0.46841,0.23237,0.96192,7
0.73869,0.071667,0.57409,0.5952,0.043442,3
0.17338,0.11827,0.46835,0.23241,0.9618,7
0.28299,0.24921,0.75985,0.080291,0.69638,9
0.80203,0.14778,0.79753,0.97006,0.81879,1
0.80213,0.14785,0.79743,0.97023,0.81883,1
0.17321,0.11848,0.46838,0.23259,0.96194,7
0.73748,0.071837,0.57408,0.59537,0.04189,3
0.80214,0.14792,0.79746,0.97001,0.81894,1
0.78095,0.021447,0.342,0.81881,0.32464,10
0.28287,0.2493,0.76001,0.080299,0.69653,9
0.2829,0.24917,0.76003,0.080394,0.69653,9
0.28287,0.24918,0.75989,0.08034,0.69656,9
0.035633,0.50307,0.51573,0.012636,0.82076,0
0.17328,0.11839,0.46848,0.2323,0.9618,7
0.80206,0.1478,0.79757,0.97003,0.81901,1
0.38764,0.54212,1.0343,0.16468,1.329,0
0.80211,0.14771,0.79744,0.97002,0.81881,1
0.7812,0.021068,0.34166,0.81916,0.32476,10
0.1735,0.11844,0.4686,0.23236,0.9618,7
0.17321,0.11833,0.46835,0.23239,0.96184,7
0.17337,0.11851,0.46836,0.23233,0.96185,7
0.73811,0.071401,0.57357,0.59521,0.042371,3
0.73854,0.071347,0.57368,0.59521,0.042256,3
0.74721,0.86964,0.81069,0.26171,0.78816,4
0.94047,0.82733,0.63558,0.81661,0.017807,0
0.30764,0.86935,0.042507,0.59889,0.68022,8
0.17356,0.11833,0.46857,0.23238,0.96177,7
0.1735,0.11834,0.46836,0.23235,0.9618,7
0.30758,0.86946,0.042302,0.59896,0.67982,8
0.45463,0.43432,0.8272,0.4179,0.67489,5
0.98643,0.83155,0.96671,0.89069,0.18544,2
0.73873,0.070631,0.57351,0.59494,0.042663,3
0.80202,0.14776,0.79745,0.97003,0.81875,1
0.28288,0.2491,0.75976,0.080259,0.69648,9
0.17321,0.1184,0.46845,0.2324,0.96175,7
0.80214,0.148,0.79753,0.97008,0.81885,1
0.78103,0.021237,0.34187,0.81919,0.32477,10
0.30873,0.86959,0.042267,0.59911,0.67962,8
0.17343,0.11835,0.46848,0.23262,0.96183,7
0.98721,0.83153,0.96664,0.89035,0.18616,2
0.45664,0.43517,0.82801,0.41646,0.67546,5
0.28288,0.24922,0.75994,0.080316,0.69648,9
0.17325,0.11828,0.46853,0.23231,0.9618,7
0.74742,0.87082,0.81106,0.26212,0.78904,4
0.73817,0.071708,0.57401,0.59557,0.041985,3
0.73828,0.072488,0.57407,0.59425,0.042909,3
1.0054,0.43618,0.46419,0.61136,0.62409,0
0.74574,0.8696,0.81053,0.26217,0.78896,4
0.45581,0.4347,0.82662,0.41778,0.67513,5
0.74792,0.86909,0.80987,0.26144,0.78833,4
0.78073,0.020851,0.34149,0.8191,0.32436,10
0.73895,0.072545,0.57417,0.59489,0.043245,3
0.17344,0.11828,0.4684,0.23259,0.96179,7
0.30781,0.86962,0.042224,0.59917,0.67978,8
0.52766,0.74265,0.30818,0.81436,0.26157,6
0.28285,0.24913,0.75966,0.080303,0.69651,9
0.17318,0.11829,0.46857,0.23228,0.9619,7
0.80236,0.14785,0.79751,0.96999,0.8188,1
0.78102,0.021214,0.34194,0.81924,0.32452,10
0.45614,0.43409,0.82841,0.41721,0.676,5
0.28293,0.24913,0.7601,0.08022,0.69624,9
0.45629,0.435,0.82722,0.41741,0.67666,5
0.4553,0.43611,0.82601,0.41781,0.67655,5
0.2829,0.2492,0.75971,0.080269,0.69643,9
0.80211,0.14781,0.79751,0.97,0.81886,1
0.74703,0.86959,0.81062,0.26148,0.78861,4
0.28283,0.24906,0.75966,0.080362,0.69635,9
0.45569,0.43361,0.82628,0.41854,0.6754,5
0.30852,0.87078,0.041787,0.59951,0.67919,8
0.80206,0.14797,0.7975,0.96999,0.81882,1
0.72458,0.023802,0.46354,0.23261,0.010473,0
0.73834,0.071469,0.57345,0.59497,0.042285,3
0.28284,0.24913,0.76009,0.080248,0.69644,9
0.026166,0.88841,0.51475,0.47665,0.20446,0
0.1733,0.11838,0.46836,0.23239,0.96191,7
0.78089,0.021103,0.34147,0.81889,0.32465,10
0.78119,0.021201,0.34142,0.81902,0.32465,10
0.28283,0.24927,0.75979,0.080307,0.69631,9
0.17334,0.11827,0.46838,0.23258,0.96181,7
0.2828,0.2493,0.75996,0.080234,0.69643,9
0.7808,0.021379,0.34176,0.8188,0.32484,10
0.28284,0.24924,0.75985,0.0803,0.69636,9
0.45712,0.43546,0.82834,0.41857,0.6748,5
0.83598,1.0148,0.45413,0.40691,0.62766,0
0.17319,0.11845,0.46852,0.23231,0.96178,7
0.85202,0.52998,0.68146,0.44602,0.50964,0
0.28283,0.24903,0.75982,0.080422,0.69641,9
0.73756,0.072206,0.57433,0.5957,0.041104,3
0.80208,0.14773,0.79751,0.97001,0.8189,1
0.80198,0.14793,0.79742,0.97001,0.81896,1
0.80207,0.14798,0.79749,0.97001,0.8189,1
0.78068,0.021226,0.34143,0.81887,0.32473,10
0.52797,0.7432,0.30892,0.81413,0.26206,6
0.17326,0.11829,0.46849,0.23233,0.96187,7
0.28285,0.24912,0.76006,0.080333,0.69638,9
0.21625,0.86833,0.73756,0.39155,0.28469,0
0.17332,0.11842,0.46843,0.23242,0.96186,7
0.17344,0.11845,0.46846,0.23248,0.96187,7
0.17338,0.11833,0.46852,0.23227,0.96184,7
0.45602,0.43538,0.82803,0.41722,0.67619,5
0.17357,0.11859,0.46838,0.23257,0.96193,7
0.74686,0.87012,0.81105,0.26118,0.78824,4
0.80191,0.14779,0.79752,0.97014,0.81876,1
0.30771,0.86964,0.042162,0.59904,0.67991,8
0.30753,0.8701,0.041618,0.59931,0.67946,8
0.73889,0.071424,0.57421,0.59431,0.042104,3
0.3077,0.86923,0.041998,0.59958,0.68042,8
0.17335,0.11866,0.46844,0.23234,0.96185,7
0.30789,0.86927,0.04282,0.59914,0.67976,8
0.62871,0.78088,0.21437,0.72015,0.52191,0
0.78125,0.021045,0.34179,0.81906,0.32462,10
0.73806,0.071576,0.57416,0.59511,0.041804,3
0.28284,0.24919,0.75994,0.080269,0.69659,9
0.30834,0.86881,0.041786,0.59896,0.67995,8
0.28287,0.24928,0.76,0.080223,0.69642,9
0.80208,0.14786,0.79752,0.97007,0.81887,1
0.17334,0.11835,0.46835,0.23255,0.96187,7
0.80221,0.14783,0.79757,0.9702,0.81891,1
0.80206,0.14794,0.79751,0.96997,0.81878,1
0.28282,0.24904,0.75963,0.080396,0.69662,9
0.28285,0.24927,0.75979,0.080335,0.6964,9
0.99111,0.18424,0.3647,0.068676,0.7149,0
0.30728,0.86979,0.042149,0.59896,0.68029,8
0.30731,0.86931,0.041911,0.59889,0.67961,8
0.74779,0.8703,0.81041,0.26113,0.78803,4
0.76545,0.042807,0.64832,0.32012,0.19588,0
0.17332,0.11821,0.46864,0.23233,0.96181,7
0.73839,0.071737,0.57362,0.59482,0.042158,3
0.28295,0.24936,0.75992,0.080294,0.69634,9
0.28281,0.24914,0.75971,0.080225,0.69638,9
0.74707,0.8696,0.81031,0.26171,0.78855,4
0.80209,0.14779,0.79754,0.97001,0.8188,1
0.73833,0.071549,0.57422,0.59486,0.041984,3
0.73886,0.071769,0.57415,0.59476,0.04235,3
0.30752,0.86977,0.042199,0.59886,0.67989,8
0.28282,0.24935,0.75976,0.080295,0.69644,9
0.30787,0.86968,0.042005,0.59868,0.67987,8
0.74705,0.86902,0.8109,0.26157,0.78827,4
0.52628,0.74256,0.30844,0.81336,0.26206,6
0.90813,0.66123,0.52911,0.71835,0.63894,0
0.28297,0.24912,0.75996,0.080397,0.69635,9
0.58665,0.2534,0.59371,0.71204,0.38523,0
0.75856,0.52862,0.20723,0.59731,0.78611,0
0.73794,0.071499,0.57411,0.5944,0.0421,3
0.28283,0.24986,0.75971,0.080357,0.69625,9
0.89486,0.28522,0.55234,0.45363,0.49808,0
0.30703,0.86842,0.042143,0.59896,0.67874,8
0.78107,0.021227,0.34169,0.8191,0.32468,10
0.28287,0.24911,0.76,0.080344,0.69643,9
0.2829,0.2492,0.76001,0.080341,0.69642,9
0.30766,0.86959,0.04199,0.59908,0.68013,8
0.78115,0.021254,0.3417,0.81882,0.32454,10
0.17324,0.11849,0.46845,0.23246,0.96189,7
0.73776,0.07249,0.57439,0.59471,0.042278,3
0.73855,0.072313,0.57379,0.59481,0.041959,3
0.98705,0.83091,0.96646,0.89047,0.18567,2
0.80209,0.14775,0.79757,0.97012,0.81872,1
0.17341,0.11832,0.46843,0.23241,0.96178,7
0.1733,0.1185,0.46853,0.2324,0.96193,7
0.78104,0.020976,0.3419,0.81919,0.32504,10
0.7388,0.071719,0.57328,0.59414,0.042058,3
0.45595,0.43499,0.82635,0.41708,0.67574,5
0.78101,0.020766,0.34175,0.81904,0.32493,10
0.74705,0.8695,0.8106,0.26163,0.78841,4
0.30781,0.86938,0.04224,0.59909,0.67992,8
1.0557,0.32666,0.47544,0.53227,0.97203,0
0.66023,0.62994,0.89592,0.85975,0.62757,0
0.80249,0.14804,0.79741,0.96997,0.81891,1
0.62344,0.77361,0.26147,0.44282,0.0043013,0
0.90905,0.038426,0.6319,0.62819,0.258,0
0.80187,0.14774,0.79755,0.96998,0.81898,1
0.92923,0.80004,0.37358,0.9379,0.028747,0
0.80216,0.14784,0.79752,0.97004,0.81873,1
0.78089,0.020812,0.342,0.81908,0.32476,10
0.28283,0.24927,0.75986,0.08027,0.69647,9
0.28286,0.24938,0.75994,0.080407,0.69645,9
0.74612,0.87017,0.81133,0.26114,0.78861,4
