@relation h-out_data_16-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute class {0,1,2,3,4,5}

@data
0.72255,0.68363,0.71804,0.91873,0.13249,1
0.14416,0.45636,0.36803,0.060474,0.11893,4
0.20527,0.68813,0.35878,0.32875,0.021399,3
0.13724,0.10297,0.5214,0.84599,0.58999,5
0.20485,0.6881,0.35888,0.32887,0.021441,3
0.1354,0.10381,0.52122,0.84629,0.59151,5
0.13728,0.10272,0.52097,0.84598,0.58976,5
0.13742,0.10273,0.52071,0.84662,0.59008,5
0.13679,0.10258,0.5213,0.84652,0.58931,5
0.13639,0.10197,0.52122,0.84569,0.59037,5
0.13606,0.1037,0.5211,0.84613,0.58929,5
0.20517,0.68773,0.35901,0.32922,0.020878,3
0.20493,0.6882,0.35899,0.32851,0.021734,3
0.47875,0.32542,0.59344,0.13204,0.77578,0
0.14364,0.45674,0.3684,0.065494,0.12035,4
0.13692,0.10254,0.52147,0.84642,0.58978,5
0.13763,0.1037,0.5225,0.84666,0.5889,5
0.13772,0.10377,0.52189,0.8474,0.59035,5
0.096152,0.60928,0.44085,0.32658,0.43042,0
0.20547,0.68839,0.35912,0.32863,0.021251,3
0.4534,0.80888,0.44383,0.30696,0.2172,0
0.72228,0.68377,0.71816,0.91875,0.13243,1
0.20499,0.68796,0.35907,0.32896,0.02108,3
0.1375,0.10282,0.5216,0.84553,0.59026,5
0.13698,0.10205,0.52156,0.84583,0.58949,5
0.20472,0.68851,0.35884,0.32899,0.021426,3
0.57915,0.072097,0.32973,0.34002,0.52832,0
0.1367,0.10252,0.52138,0.84616,0.58975,5
0.2054,0.68819,0.35899,0.32883,0.02117,3
0.72259,0.68369,0.71782,0.91891,0.13272,1
0.41908,0.22502,0.87697,0.047039,0.63191,0
0.13768,0.10327,0.5213,0.8467,0.59026,5
0.20477,0.68773,0.35886,0.32867,0.021737,3
0.13677,0.10264,0.52144,0.84602,0.58971,5
0.13668,0.10241,0.52148,0.84586,0.58973,5
0.46104,0.55514,0.84715,0.056107,0.3585,0
0.20488,0.68809,0.35902,0.32918,0.021549,3
0.14559,0.4575,0.36739,0.059828,0.11967,4
0.6482,0.36413,0.82777,0.356,0.86688,0
0.20516,0.68803,0.35863,0.32892,0.021423,3
0.13624,0.10248,0.52168,0.84627,0.58992,5
0.13723,0.10251,0.52189,0.84583,0.58942,5
0.7223,0.68373,0.71784,0.91875,0.13244,1
0.18941,0.57696,0.28495,0.081039,0.68052,0
0.72246,0.68361,0.7178,0.91837,0.13165,1
0.7222,0.68366,0.71799,0.91881,0.13245,1
0.14633,0.45816,0.37285,0.064439,0.11881,4
0.13679,0.10241,0.52149,0.84604,0.58972,5
0.7223,0.68367,0.71779,0.91882,0.13278,1
0.070215,0.50652,0.76813,0.16637,0.83084,0
0.98173,0.65589,0.28829,0.49683,0.84948,0
0.20505,0.68787,0.35876,0.32877,0.021477,3
0.1368,0.10257,0.52134,0.84614,0.58974,5
0.78156,0.020709,0.73638,0.23349,0.39003,2
0.20501,0.68788,0.35888,0.32902,0.021013,3
0.20476,0.68813,0.35872,0.32877,0.02122,3
0.72226,0.68362,0.71787,0.91877,0.13258,1
0.15308,0.46091,0.36772,0.063444,0.11419,4
0.13503,0.10232,0.52258,0.84712,0.59001,5
0.13698,0.10344,0.52157,0.84609,0.58984,5
0.20517,0.68829,0.3589,0.3286,0.021027,3
0.14374,0.45771,0.36719,0.06238,0.1257,4
0.13677,0.10267,0.52164,0.84587,0.58978,5
0.1447,0.45725,0.3685,0.059616,0.11939,4
0.13676,0.10253,0.52126,0.84588,0.5898,5
0.72364,0.68508,0.71907,0.91926,0.13396,1
0.14669,0.46758,0.36062,0.052573,0.12387,4
0.40255,0.53002,0.011179,0.96754,0.75723,0
0.20512,0.68793,0.35856,0.32926,0.02134,3
0.20507,0.688,0.35889,0.32911,0.021102,3
0.13672,0.10229,0.52124,0.84605,0.58989,5
0.50495,0.76682,0.74597,0.77375,0.64456,0
0.13645,0.10276,0.52113,0.8462,0.59013,5
0.72247,0.68351,0.71798,0.91884,0.1325,1
