@relation h-out_data_18-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute class {0,1,2,3,4,5,6}

@data
0.48503,0.59239,0.17479,0.051118,1
0.48512,0.59235,0.17486,0.051163,1
0.84755,0.80997,0.41709,0.8282,0
0.18972,0.72964,0.33832,0.86659,4
0.18994,0.72937,0.33837,0.86669,4
0.25751,0.9437,0.97048,0.80697,6
0.18966,0.72989,0.33807,0.86586,4
0.25747,0.94385,0.97022,0.80676,6
0.1896,0.72952,0.33851,0.86639,4
0.086684,0.042147,0.47096,0.28564,0
0.36432,0.16266,0.20667,0.54831,0
0.35999,0.71789,0.13902,0.91417,0
0.68032,0.43099,0.68142,0.95368,3
0.67982,0.43068,0.68149,0.95369,3
0.67984,0.43066,0.68149,0.95375,3
0.67968,0.43067,0.68163,0.95383,3
0.036646,0.73579,0.18658,0.75794,0
0.064059,0.67625,0.4914,0.87638,2
0.78188,0.73015,0.17355,1.1191,0
0.96044,0.75638,0.32296,0.73391,0
0.25757,0.94358,0.97002,0.80691,6
0.48491,0.59241,0.17487,0.051216,1
0.25686,0.94389,0.97055,0.80736,6
0.095749,0.12252,0.73916,0.23721,0
0.064264,0.67674,0.49161,0.87638,2
0.49723,0.12892,0.89996,0.68365,0
0.067144,0.85855,0.10632,0.02667,0
0.52446,0.84564,0.026149,0.18539,0
0.25748,0.94407,0.96985,0.80684,6
0.67983,0.43068,0.68172,0.95378,3
0.19003,0.7296,0.33829,0.86659,4
0.14448,0.42618,0.464,0.30702,0
0.18936,0.72988,0.33807,0.86606,4
0.26536,0.20431,0.80797,0.31753,0
0.1898,0.72955,0.33835,0.86656,4
0.18979,0.72957,0.33825,0.86671,4
0.67965,0.43067,0.68158,0.95359,3
0.6799,0.43079,0.6814,0.95364,3
0.69497,0.53375,0.97607,0.6236,0
0.95955,0.2467,0.62518,0.44067,0
0.25677,0.94467,0.971,0.80658,6
0.18899,0.7282,0.33903,0.86784,4
0.67399,0.33034,0.55461,0.41787,0
0.18916,0.72926,0.33887,0.86654,4
0.25676,0.94369,0.97013,0.80516,6
0.064156,0.67619,0.49159,0.87598,2
0.8238,0.35639,0.16407,0.35133,0
0.25739,0.94379,0.97013,0.80692,6
0.12078,0.73033,0.11192,0.22339,0
0.34884,0.42287,0.68954,0.62368,0
0.42161,0.70115,0.63478,0.42619,0
0.67983,0.43064,0.68155,0.95369,3
0.18996,0.72965,0.3379,0.86655,4
0.18967,0.72934,0.33809,0.86688,4
0.85484,0.69996,0.33442,0.69182,0
0.18979,0.7296,0.33898,0.86683,4
0.25756,0.94377,0.9703,0.80675,6
0.89262,0.7294,0.51987,0.095776,5
0.48523,0.59242,0.17497,0.051239,1
0.18966,0.7296,0.33874,0.86605,4
0.18985,0.72959,0.33838,0.86667,4
