@relation h-out_data_19-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute class {0,1,2,3,4,5,6}

@data
0.71826,0.63568,0.54175,0.46668,0.9486,0.71354,0.84429,0.36034,0.36095,4
0.30947,0.85161,0.18052,0.57248,0.88604,0.21099,0.11367,0.77277,0.9612,6
0.83065,0.27172,0.5397,0.88723,0.28414,0.83749,0.90113,0.72008,0.98785,0
0.44282,0.96124,0.6933,0.31825,0.06015,0.92682,0.67451,0.53785,0.24265,3
0.30958,0.85123,0.18072,0.57247,0.8861,0.2117,0.11367,0.7729,0.9611,6
0.37656,0.19628,0.05482,0.87107,0.9018,0.11002,0.99238,0.34922,0.95309,1
0.37623,0.19654,0.054987,0.87061,0.90158,0.10993,0.99202,0.34908,0.9533,1
0.52076,0.023446,0.38048,0.65558,0.60511,0.23955,1.018,0.17442,0.6278,0
0.33907,0.51997,0.30709,0.86011,0.0086302,0.44882,0.46499,0.23544,0.62621,0
0.71645,0.63568,0.53965,0.46967,0.94724,0.71483,0.84415,0.36082,0.36169,4
0.44308,0.96101,0.69425,0.31765,0.058812,0.92541,0.67442,0.53734,0.24315,3
0.37693,0.19586,0.054778,0.8705,0.90176,0.10963,0.99205,0.34894,0.95297,1
0.37628,0.1962,0.054986,0.87062,0.90207,0.11009,0.9918,0.34916,0.95318,1
0.12191,0.89695,0.37514,0.14416,0.12027,0.95495,0.48044,0.57223,0.54423,0
0.44284,0.96057,0.69278,0.31713,0.058388,0.92524,0.67563,0.53725,0.24279,3
0.44314,0.96097,0.69426,0.31761,0.058811,0.92554,0.6744,0.53731,0.24314,3
0.37643,0.19582,0.054865,0.87088,0.90194,0.10986,0.99188,0.34911,0.95309,1
0.30924,0.85185,0.17975,0.57303,0.88609,0.21146,0.11352,0.77272,0.96111,6
0.16827,0.82754,0.47444,0.019329,0.11743,0.76119,0.47791,0.38045,0.082622,2
0.30954,0.85196,0.1805,0.57274,0.88598,0.21154,0.11393,0.77245,0.96118,6
0.71888,0.63565,0.54113,0.4661,0.94931,0.71375,0.84438,0.36058,0.36079,4
0.71862,0.63572,0.54115,0.46656,0.94858,0.71335,0.84406,0.3606,0.3609,4
0.44308,0.96098,0.69427,0.31765,0.058808,0.92547,0.6744,0.53732,0.24311,3
0.37669,0.19596,0.054796,0.87066,0.90162,0.10983,0.99212,0.34901,0.95295,1
0.3765,0.1958,0.054717,0.87041,0.90219,0.10988,0.99188,0.34908,0.95309,1
0.16869,0.82746,0.47441,0.019944,0.11763,0.76048,0.47807,0.38037,0.08231,2
0.29335,0.78828,0.59965,0.27241,0.25038,0.59645,0.38381,0.38873,0.8285,0
0.16841,0.82754,0.47423,0.019531,0.1177,0.76086,0.47803,0.38038,0.082391,2
0.44272,0.96077,0.69469,0.31767,0.058804,0.92586,0.67454,0.53748,0.24254,3
0.06171,0.57025,0.21226,0.36411,0.15719,0.3686,0.20302,1.0121,0.58857,0
0.6001,0.074234,0.2548,0.30953,0.9532,0.76872,0.79958,0.58826,0.69815,5
0.37645,0.19613,0.05482,0.87079,0.90189,0.1097,0.9921,0.34885,0.95262,1
0.37661,0.19629,0.055102,0.87099,0.90165,0.10951,0.9921,0.34974,0.95298,1
0.63236,0.32124,0.10208,0.02133,0.032635,0.30293,0.52459,0.62805,0.38532,0
0.44338,0.96064,0.69456,0.31672,0.059179,0.92513,0.674,0.53658,0.24334,3
0.37639,0.19564,0.054957,0.87049,0.90189,0.1102,0.99219,0.34918,0.95302,1
0.30902,0.85134,0.18042,0.5724,0.88598,0.2115,0.11395,0.77291,0.96085,6
0.44315,0.96096,0.69429,0.31738,0.059113,0.92606,0.67387,0.53779,0.24292,3
0.55779,0.65355,0.85802,0.7836,0.18856,0.69202,0.23586,0.16012,0.095196,0
0.16893,0.82726,0.47445,0.019636,0.11756,0.76078,0.47836,0.37981,0.082031,2
0.37658,0.19564,0.054866,0.87047,0.90186,0.1095,0.99218,0.3491,0.95307,1
0.71862,0.63559,0.5412,0.46651,0.9485,0.71341,0.84406,0.36057,0.36089,4
0.60002,0.074615,0.25525,0.31007,0.95301,0.7686,0.79995,0.58814,0.6986,5
0.70461,0.35381,0.48176,0.35351,0.010526,0.40235,0.38022,0.044715,0.39411,0
0.16869,0.82753,0.47473,0.019835,0.11748,0.76096,0.47844,0.3805,0.082692,2
0.44355,0.96118,0.69353,0.31664,0.059057,0.92545,0.67395,0.53825,0.24246,3
0.71847,0.63535,0.54117,0.46701,0.94863,0.71344,0.84455,0.36069,0.36099,4
0.84547,0.48709,0.22937,0.38887,0.93191,0.32605,0.84722,0.83969,0.37114,0
0.30931,0.85145,0.18013,0.57266,0.88582,0.21175,0.11386,0.77227,0.96109,6
0.092341,0.36825,0.38473,0.93667,0.056411,0.74924,0.17052,0.85762,0.67736,0
0.71905,0.63516,0.54102,0.46649,0.94924,0.71337,0.843,0.36079,0.36106,4
0.019115,0.6838,0.13452,0.36987,0.67564,0.75655,0.97911,0.5823,0.088201,0
0.30929,0.85148,0.18016,0.57307,0.88584,0.21137,0.11339,0.77297,0.9611,6
0.30927,0.85192,0.18013,0.57317,0.88595,0.2116,0.11389,0.77244,0.96136,6
0.71982,0.63519,0.54142,0.46708,0.94799,0.71283,0.84479,0.35988,0.36059,4
0.37647,0.19593,0.05497,0.87042,0.90136,0.10995,0.99251,0.34924,0.95301,1
0.30921,0.85193,0.18001,0.5726,0.88604,0.21122,0.11368,0.77304,0.96089,6
0.71839,0.6356,0.54099,0.46655,0.94852,0.71343,0.84392,0.36082,0.36091,4
0.37645,0.19584,0.054673,0.87015,0.90147,0.1096,0.99215,0.34886,0.95278,1
0.44364,0.96153,0.69472,0.31681,0.059929,0.92754,0.67511,0.53784,0.2436,3
1.0117,0.45582,0.43203,0.21602,0.011712,0.12012,0.48331,0.64491,0.30755,0
0.67669,0.5989,0.36122,0.78758,0.8134,0.86279,0.92321,0.53723,0.21633,0
0.11118,0.79863,0.67518,0.37216,0.51558,0.080241,0.11077,0.069797,0.13469,0
0.5999,0.074435,0.25485,0.3096,0.95287,0.76853,0.79973,0.58786,0.69763,5
0.057239,0.55526,0.406,0.13506,0.78069,0.69975,0.31483,1.0042,0.83355,0
0.44291,0.96059,0.69459,0.3167,0.058679,0.92627,0.67499,0.53752,0.24337,3
0.71901,0.63521,0.54199,0.46646,0.94866,0.71337,0.84371,0.36062,0.36057,4
0.30944,0.85161,0.17996,0.57268,0.88586,0.21119,0.11367,0.77312,0.96125,6
0.30931,0.85174,0.18023,0.57283,0.88612,0.21166,0.11387,0.77257,0.96093,6
0.44275,0.96145,0.69424,0.31717,0.058946,0.92541,0.6746,0.53733,0.24313,3
0.46826,0.62873,0.31435,0.51761,0.20083,0.5716,0.48692,0.82815,0.30392,0
0.16876,0.82709,0.47468,0.019632,0.11751,0.76069,0.47818,0.38029,0.082005,2
0.30941,0.85137,0.17979,0.57277,0.88576,0.2118,0.11382,0.77234,0.961,6
0.37661,0.19628,0.055104,0.87046,0.90147,0.10954,0.99232,0.34894,0.95308,1
0.43987,0.62001,0.10321,1.0159,0.085461,0.50401,1.0795,0.62974,0.58768,0
0.30974,0.85145,0.17997,0.57272,0.88624,0.21175,0.11347,0.77282,0.96088,6
0.3094,0.85138,0.1801,0.57254,0.88639,0.21163,0.11344,0.7728,0.961,6
0.44179,0.96193,0.6945,0.31842,0.060139,0.92403,0.67358,0.5355,0.2429,3
0.37673,0.1962,0.05494,0.8706,0.90217,0.10991,0.9922,0.34906,0.95318,1
0.30899,0.85119,0.18063,0.57281,0.88602,0.21153,0.11365,0.77297,0.96095,6
0.71899,0.6355,0.54144,0.46682,0.94844,0.71333,0.84406,0.36065,0.36094,4
0.93617,0.3744,0.56933,0.2536,0.75327,0.75268,0.84809,0.70702,0.27656,0
0.30927,0.85162,0.17976,0.57246,0.88621,0.21143,0.11384,0.77268,0.96148,6
0.97541,0.013692,0.18493,0.099759,0.3451,0.59803,0.21906,0.63739,0.92656,0
0.56589,0.78431,0.073332,0.14729,0.59674,0.61176,0.11935,0.090003,0.49184,0
0.83142,0.1974,0.75018,0.66433,0.036252,0.87211,0.02976,0.76029,0.15209,0
0.50266,0.35897,0.54101,0.51921,0.58506,0.99147,0.46357,0.39071,0.87403,0
0.16902,0.82718,0.47515,0.019728,0.11783,0.76056,0.47815,0.37991,0.081843,2
0.7185,0.63575,0.53984,0.46679,0.94843,0.71304,0.84553,0.35926,0.36093,4
0.4429,0.96106,0.6941,0.31757,0.058949,0.92534,0.67516,0.53734,0.24347,3
0.16849,0.82774,0.47499,0.019691,0.11747,0.76134,0.47805,0.3805,0.082149,2
0.44325,0.96112,0.6938,0.31802,0.058696,0.92554,0.6747,0.53738,0.24297,3
0.44335,0.96156,0.69499,0.31762,0.058964,0.92506,0.67408,0.53697,0.2429,3
0.44273,0.96175,0.6955,0.31731,0.05879,0.92564,0.67373,0.5369,0.24423,3
0.27873,0.59297,0.90432,0.077601,1.027,0.64536,0.52397,0.11012,0.46523,0
0.71804,0.63578,0.54112,0.46642,0.94853,0.71314,0.84402,0.36057,0.36099,4
0.71884,0.63569,0.54111,0.46686,0.94874,0.71389,0.84445,0.36075,0.36082,4
0.20051,0.19446,0.51628,0.64775,1.0282,0.74214,0.96483,0.30197,1.0198,0
0.71866,0.6356,0.54128,0.46655,0.94864,0.71338,0.84404,0.3606,0.36086,4
