@relation h-out_data_20-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute class {0,1,2,3}

@data
0.52697,0.23623,0.91362,0.79527,0.73209,0.46247,0.45293,0.47407,0.043368,0.20511,0.81643,0.8163,0.93439,0.64549,0.33401,0.70966,0.075712,0.36599,1
0.52729,0.23647,0.91379,0.79591,0.7322,0.46337,0.45139,0.47412,0.043549,0.20421,0.81734,0.81574,0.93419,0.64564,0.33216,0.71086,0.074318,0.36693,1
0.25868,0.48429,0.31526,0.21426,0.76387,1.0418,0.64249,0.062454,0.53082,0.40145,0.65889,0.36549,0.44437,0.463,0.16669,0.82463,0.69978,0.80927,0
0.52827,0.23652,0.9132,0.79536,0.73208,0.46278,0.4513,0.47261,0.042217,0.20395,0.81636,0.81602,0.93471,0.64495,0.33219,0.71056,0.074905,0.36569,1
0.69031,0.035601,0.81074,0.4062,0.87471,0.19264,0.95657,0.54407,0.73877,0.075891,0.60268,0.31525,0.067336,0.01707,0.59614,0.56726,0.10586,0.25983,2
0.2989,0.80008,1.1148,0.089671,0.47408,0.25346,0.50009,0.47494,0.084553,0.1478,0.49367,0.20011,0.96469,0.59291,0.98242,0.46456,0.94821,0.058427,0
0.69148,0.029199,0.806,0.40045,0.8804,0.19687,0.96349,0.55083,0.72487,0.078277,0.59991,0.31317,0.063418,0.024949,0.59525,0.57349,0.11037,0.25969,2
0.76032,0.93226,0.010877,0.84561,0.70264,0.30956,0.35265,0.39205,0.16079,0.46918,0.17849,0.52615,0.89731,0.18695,0.2233,0.13694,0.4547,0.37082,0
0.68911,0.031845,0.80897,0.41167,0.8829,0.19427,0.95771,0.54768,0.73333,0.073474,0.6022,0.31269,0.061412,0.018597,0.59386,0.57292,0.10903,0.26111,2
0.52844,0.23679,0.91194,0.79498,0.73278,0.46273,0.45121,0.4727,0.043463,0.20461,0.81773,0.81591,0.93488,0.64662,0.33308,0.71074,0.074623,0.36555,1
0.68662,0.031963,0.80188,0.40815,0.88043,0.18934,0.95793,0.54491,0.73061,0.078211,0.60419,0.31166,0.061825,0.018002,0.59268,0.56709,0.10962,0.2536,2
0.69074,0.033492,0.80619,0.4118,0.88046,0.19532,0.95636,0.54694,0.73083,0.074096,0.60422,0.30883,0.065025,0.017304,0.59592,0.57061,0.10972,0.25676,2
0.52672,0.23735,0.91281,0.79459,0.73316,0.46247,0.45292,0.47412,0.042714,0.20504,0.8168,0.81619,0.93479,0.64661,0.3328,0.70977,0.075634,0.36649,1
0.68655,0.031003,0.80953,0.40879,0.88208,0.19048,0.96065,0.5458,0.73154,0.073931,0.60148,0.31551,0.068022,0.021269,0.59192,0.56912,0.10434,0.25485,2
0.69034,0.038085,0.80992,0.41317,0.88044,0.19375,0.96168,0.54966,0.73475,0.076423,0.59894,0.30976,0.067676,0.02423,0.59166,0.56759,0.10576,0.25788,2
0.68699,0.034943,0.80496,0.40607,0.8806,0.20337,0.95863,0.54542,0.73503,0.073211,0.60292,0.31191,0.065151,0.022692,0.59104,0.56805,0.1093,0.26011,2
0.69024,0.035288,0.80449,0.41081,0.87655,0.19109,0.95545,0.54904,0.73118,0.076379,0.59815,0.30791,0.068227,0.022506,0.58846,0.56825,0.10325,0.25228,2
0.52795,0.2357,0.91181,0.79596,0.73292,0.46275,0.45164,0.47259,0.043953,0.205,0.81646,0.81715,0.93476,0.6452,0.33231,0.7112,0.075123,0.36681,1
0.68818,0.028838,0.80829,0.41053,0.88225,0.20171,0.957,0.54931,0.73333,0.075578,0.59803,0.31504,0.067124,0.016659,0.59271,0.57306,0.10249,0.25625,2
0.52704,0.23652,0.91245,0.79473,0.73246,0.46335,0.45205,0.47348,0.043283,0.20451,0.81658,0.81582,0.93403,0.64666,0.33359,0.71073,0.075107,0.36566,1
0.6897,0.027195,0.80739,0.40816,0.88137,0.19489,0.95634,0.54814,0.73451,0.074708,0.60004,0.31162,0.063914,0.018861,0.59368,0.57167,0.10412,0.2544,2
0.68733,0.032374,0.80821,0.41064,0.87734,0.19277,0.96132,0.55104,0.73152,0.076292,0.60315,0.31405,0.064816,0.022937,0.59284,0.5702,0.11262,0.25931,2
0.52775,0.2371,0.91234,0.79556,0.73318,0.46312,0.45284,0.47418,0.043283,0.20428,0.81733,0.81652,0.93425,0.64506,0.33238,0.70948,0.075346,0.36671,1
0.52805,0.23677,0.91242,0.7946,0.73315,0.46316,0.45118,0.47415,0.042202,0.20387,0.81599,0.81675,0.93406,0.64515,0.33231,0.7093,0.075069,0.36547,1
0.086861,1.053,0.22038,0.11589,0.80225,0.65993,0.083173,0.55303,0.88044,0.39104,0.090291,0.18709,0.28355,0.65244,0.28317,0.79474,0.43995,0.7714,0
0.19571,0.026788,0.1825,0.71328,0.96242,0.84872,0.42285,0.092387,0.57892,0.62644,0.01163,0.82467,0.45704,0.2882,0.77538,0.20673,0.26619,0.30989,3
0.10672,0.83348,0.11953,0.10167,0.29395,0.13718,0.04133,0.68838,0.18455,0.7706,0.077333,0.10983,0.6241,0.23646,1.0634,0.58814,0.98534,0.39246,0
0.69242,0.034516,0.80718,0.4065,0.88299,0.1926,0.96097,0.548,0.73324,0.072314,0.60383,0.31458,0.065392,0.02183,0.59496,0.56917,0.10706,0.25609,2
0.69273,0.031809,0.81157,0.4089,0.88197,0.19372,0.95851,0.55264,0.73492,0.075717,0.60173,0.31084,0.066271,0.025872,0.59299,0.57048,0.11039,0.26295,2
0.69313,0.028502,0.80356,0.40568,0.88183,0.19766,0.95741,0.54982,0.72933,0.07487,0.60305,0.31128,0.063214,0.020467,0.59486,0.5707,0.11119,0.25639,2
0.52728,0.23688,0.91215,0.7951,0.73302,0.46228,0.45167,0.47421,0.044023,0.20376,0.81677,0.8166,0.93483,0.64658,0.33346,0.71043,0.074235,0.36529,1
0.52662,0.23758,0.91304,0.79521,0.73201,0.46202,0.4524,0.47407,0.042723,0.20371,0.81717,0.8168,0.93488,0.64503,0.3338,0.71047,0.074463,0.36656,1
0.69375,0.031439,0.80692,0.40557,0.87901,0.19264,0.95568,0.54607,0.73311,0.076472,0.60092,0.31326,0.066479,0.018683,0.59257,0.56924,0.10676,0.25814,2
0.76366,0.74437,0.4631,0.25595,0.69549,0.12099,0.28271,0.73839,0.76878,0.39195,0.31376,0.75754,0.28826,0.23555,0.78493,0.92206,0.064181,0.24056,0
0.68472,0.0395,0.80584,0.41493,0.88002,0.19161,0.95909,0.55062,0.7301,0.07586,0.5959,0.31492,0.065352,0.018575,0.59384,0.56918,0.11004,0.25492,2
