@relation h-out_data_3-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute class {0,1,2}

@data
0.017452,0.40036,0.87732,0.87072,0.83696,0.8086,0.96912,0.35169,0.7995,0.34655,0.57922,0.96565,0.25021,0.65464,0.79748,0.69431,0.78109,0.76883,2
0.019821,0.40846,0.88628,0.86663,0.83895,0.80632,0.96028,0.36045,0.81339,0.34569,0.58972,0.97904,0.25896,0.6555,0.7876,0.68753,0.78674,0.7497,2
0.020308,0.39685,0.87783,0.86919,0.8268,0.81356,0.96099,0.34844,0.80301,0.34133,0.58147,0.97027,0.25695,0.65683,0.79464,0.69469,0.7828,0.76107,2
0.025203,0.40795,0.86645,0.87961,0.83054,0.80864,0.97602,0.35906,0.79967,0.33898,0.59034,0.97558,0.26435,0.65518,0.7892,0.69717,0.77975,0.75056,2
0.22837,0.46083,0.14328,0.69754,0.95103,0.9346,0.59031,0.20275,0.28318,0.28707,0.9119,0.49,0.36359,0.84876,0.41902,0.43927,0.64553,0.69584,1
0.22457,0.45777,0.15019,0.69814,0.95508,0.93481,0.58522,0.20292,0.28695,0.28163,0.91492,0.48877,0.36442,0.84066,0.42417,0.44154,0.64997,0.69657,1
0.91042,0.15057,1.0214,0.019885,0.18645,0.84428,0.45847,0.92851,0.5406,0.30551,0.57344,0.31412,0.54502,1.0214,0.47516,0.66186,0.028527,0.89161,0
0.55839,0.58411,0.8898,0.71643,0.69794,0.17505,0.079861,0.67627,0.62819,0.54877,0.47986,0.89985,0.55947,0.46725,0.13881,0.61671,0.69232,0.29376,0
0.23051,0.46028,0.13482,0.69869,0.95039,0.93431,0.59048,0.20583,0.28029,0.28344,0.90525,0.49365,0.36148,0.85342,0.42598,0.43303,0.64669,0.68875,1
0.015515,0.40219,0.82889,0.86112,0.83205,0.79945,0.9794,0.37939,0.731,0.36441,0.65577,0.95565,0.29286,0.6468,0.81792,0.71363,0.79494,0.78344,2
0.60727,0.080565,0.55878,0.66231,0.84084,0.74848,0.56022,0.83921,0.45329,0.24179,0.79829,0.38229,0.23098,1.0443,0.59588,1.0478,0.53542,0.495,0
0.2301,0.45614,0.14585,0.69621,0.94938,0.93548,0.59243,0.20967,0.28512,0.28093,0.91194,0.48658,0.3578,0.83836,0.41815,0.44132,0.65096,0.68738,1
0.33257,0.70986,0.17969,0.42171,0.65966,0.043418,0.52832,0.090166,0.44045,1.072,0.38669,0.49454,0.74156,0.63265,0.14272,0.37024,0.42782,0.31047,0
0.23212,0.45841,0.14348,0.69477,0.95424,0.94089,0.58862,0.20258,0.28624,0.28988,0.91672,0.49257,0.36202,0.84329,0.42216,0.43863,0.64842,0.69822,1
0.22642,0.46048,0.14868,0.69851,0.95214,0.93638,0.58435,0.20501,0.28351,0.28464,0.91656,0.49243,0.35949,0.84424,0.41703,0.44626,0.64572,0.69982,1
0.22352,0.4631,0.14855,0.69207,0.95796,0.93453,0.58809,0.21009,0.29096,0.28047,0.91891,0.49862,0.35751,0.84814,0.43498,0.43948,0.64553,0.70365,1
0.2234,0.46354,0.14904,0.69841,0.94671,0.94483,0.59769,0.20955,0.27689,0.29188,0.91779,0.48666,0.35577,0.83884,0.41967,0.43607,0.64871,0.69934,1
0.71766,0.16518,0.73976,0.88257,0.035958,0.029631,0.11787,0.3657,0.52573,0.78496,0.080643,0.039178,0.19152,0.54963,0.6783,0.41919,0.048751,0.7877,0
0.23341,0.46147,0.14975,0.69123,0.95127,0.93364,0.58656,0.20753,0.28616,0.27828,0.91265,0.49376,0.36556,0.84911,0.41872,0.44094,0.64722,0.69724,1
0.22904,0.4603,0.14677,0.69394,0.94862,0.92934,0.58819,0.20719,0.28704,0.28411,0.91282,0.48879,0.36286,0.84374,0.42346,0.44221,0.64846,0.69704,1
0.22406,0.45822,0.14717,0.69807,0.94965,0.93717,0.59216,0.20289,0.2838,0.27377,0.91649,0.49,0.3698,0.84019,0.42198,0.44901,0.65514,0.68974,1
0.22172,0.45618,0.14579,0.69806,0.95246,0.93456,0.5829,0.20628,0.28375,0.28889,0.91429,0.49375,0.36182,0.84864,0.42291,0.44171,0.64973,0.69545,1
0.010272,0.39925,0.90021,0.85162,0.82083,0.80808,0.95159,0.35167,0.80401,0.34236,0.5912,0.97387,0.26856,0.64483,0.79612,0.71425,0.78088,0.76218,2
