@relation h-out_data_4-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
0.62998,0.65159,0.39964,0.81967,0.54722,0.5104,0.058865,0.37119,0.30406,0.88948,0.044949,0.49672,0.28099,0.65986,8
0.081776,0.88198,0.18485,0.71095,0.08898,0.97867,0.60763,0.22947,0.8963,0.037029,0.2815,0.17763,0.42187,0.47442,1
0.28201,0.75573,0.84521,0.71842,0.89616,0.14819,0.34805,0.21489,0.37016,0.99313,0.34825,0.74128,0.1703,0.34094,3
0.60656,0.40778,0.87351,0.54741,0.34844,0.87514,0.85343,0.089588,0.11873,0.75614,0.22267,0.27419,0.1703,0.073974,9
0.28266,0.2635,0.057122,0.97861,0.98311,0.31632,0.35819,0.42282,0.1651,0.054502,0.2106,0.46954,0.4784,0.37055,0
0.80023,0.0071312,0.54817,0.39317,0.74077,0.42948,0.7706,0.5551,0.77027,0.95568,0.31144,0.051374,0.59898,0.11109,5
0.58002,0.33687,0.80544,0.46553,0.76653,0.95056,0.96345,0.08513,0.98674,0.44654,0.40271,0.044734,0.20845,0.97676,2
0.60741,0.40726,0.87417,0.54788,0.34812,0.87424,0.85201,0.088811,0.11851,0.75545,0.22234,0.27405,0.17031,0.074089,9
0.28194,0.75565,0.84459,0.71828,0.89613,0.14846,0.34822,0.21505,0.37019,0.99278,0.34839,0.74115,0.17011,0.34087,3
0.27913,0.4502,0.12369,0.19377,0.34927,0.17602,0.74631,0.40922,0.43491,0.76784,0.59584,0.37832,0.11397,0.63897,0
