@relation h-out_data_5-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
0.77468,0.47109,0.73671,0.4817,0.67097,0.35773,0.73257,0.51758,0.75878,0.95502,0.036686,0.0030593,0.67661,0.96696,0.10512,0.75036,0.69481,0.97378,0.088943,0.62837,3
0.27132,0.31283,0.29938,0.8467,0.38844,0.6794,0.54744,0.047625,0.8725,0.48599,0.16658,0.032766,0.56509,0.84983,0.08721,0.58002,0.50467,0.29488,0.77643,0.43391,2
0.27702,0.32519,0.30024,0.84804,0.38894,0.67654,0.5551,0.03582,0.88302,0.504,0.16799,0.03005,0.56435,0.84134,0.078246,0.57063,0.48312,0.30422,0.77807,0.42556,2
0.73207,0.099526,0.92426,0.1186,0.6898,0.6554,0.13152,0.90721,0.097628,0.33143,0.65433,0.078241,0.15922,0.21565,0.08545,0.53488,0.92216,0.34268,0.96118,0.58915,0
0.65246,0.52928,0.69813,0.18222,0.2746,0.044974,0.20735,0.52391,0.77794,1.0115,0.92602,0.66403,0.96609,1.0464,0.69306,0.65602,0.90915,0.53929,0.31964,0.41643,0
0.050832,0.038743,0.6544,0.038491,0.21807,0.56305,0.06433,0.61502,0.39805,0.37222,0.81918,0.83268,0.23181,0.25609,0.088895,0.11609,0.7057,0.52605,0.29516,0.5123,5
0.95155,0.6189,0.51508,0.18273,0.01247,0.96248,0.72941,0.038835,0.3612,0.88544,0.44856,0.81868,0.89838,0.31908,0.20424,0.70606,0.89887,0.14225,0.69633,0.29608,1
0.25537,0.67757,0.62672,0.60457,0.70201,0.31674,0.5494,0.84565,0.050186,0.75737,0.46187,0.139,0.34234,0.88099,0.43659,0.66758,0.34755,0.053298,0.16421,0.81855,6
0.77288,0.47623,0.73341,0.48774,0.66926,0.35881,0.72818,0.51624,0.75418,0.94906,0.042841,0.0092795,0.67723,0.97335,0.11779,0.75442,0.69178,0.97529,0.091731,0.62692,3
0.49862,0.96725,0.14284,0.63019,0.44662,0.2403,0.25889,0.19133,0.4983,0.24076,0.9501,0.64183,0.079404,0.93151,0.22899,0.61519,0.96092,0.02453,0.81698,0.57553,4
0.051473,0.039068,0.65363,0.03773,0.21835,0.5635,0.065128,0.61624,0.39792,0.37226,0.81969,0.83372,0.23122,0.25505,0.088284,0.1157,0.70626,0.52535,0.29661,0.5126,5
0.66796,0.2868,0.55887,0.12942,0.69198,0.83316,0.01235,0.23858,0.73288,0.75407,0.61668,0.87254,0.73357,0.67283,0.39806,0.013477,0.16441,0.51494,0.79516,0.27373,0
0.94928,0.6176,0.51058,0.18026,0.015111,0.95823,0.73386,0.03873,0.36285,0.88341,0.44754,0.81956,0.899,0.32292,0.20108,0.70454,0.89546,0.14256,0.69148,0.29574,1
0.95034,0.92574,0.25685,0.10239,0.45907,0.86995,0.25195,0.69304,0.10898,0.93865,0.95482,0.027778,0.50598,0.41013,0.556,0.43863,0.21153,0.92101,0.2934,0.46256,7
