@relation h-out_data_6-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute class {0,1,2}

@data
0.5742,0.39278,0.50137,0.83138,0.72088,0.6758,0.43763,0.47051,0.1156,2
0.57691,0.39147,0.49973,0.82876,0.72046,0.67658,0.44131,0.47321,0.11712,2
0.57642,0.39156,0.49995,0.82909,0.72081,0.67587,0.44129,0.47291,0.11719,2
0.9372,0.47672,0.99345,0.52816,0.053307,0.59603,0.018305,0.94495,0.43741,1
0.93664,0.47714,0.99609,0.52647,0.054509,0.59407,0.019514,0.94626,0.43629,1
0.57838,0.39156,0.50029,0.83131,0.72186,0.6758,0.44007,0.47257,0.11746,2
0.57714,0.39102,0.50236,0.83087,0.72123,0.67436,0.43888,0.47301,0.11657,2
0.5765,0.39156,0.49989,0.82937,0.72105,0.67581,0.44114,0.47315,0.11702,2
0.93623,0.47827,0.99669,0.52882,0.05265,0.59524,0.019823,0.94474,0.43544,1
0.575,0.38964,0.50067,0.82989,0.72238,0.67638,0.44349,0.47388,0.11863,2
0.574,0.38935,0.50272,0.82912,0.72265,0.67865,0.43747,0.47391,0.11764,2
0.54002,0.20849,0.25564,0.702,0.2748,0.4831,0.3378,1.0113,0.86158,0
0.57427,0.39071,0.50373,0.83246,0.71639,0.67883,0.44046,0.47229,0.11902,2
0.57645,0.39198,0.50139,0.82831,0.72144,0.67622,0.44097,0.47313,0.11767,2
0.57727,0.39258,0.49829,0.82751,0.7188,0.67527,0.44156,0.47393,0.11576,2
0.37734,0.046134,0.32781,0.25177,0.91985,0.3287,0.55797,0.9953,0.089612,0
0.9367,0.47739,0.99555,0.52764,0.054336,0.59512,0.018672,0.94541,0.4375,1
0.5772,0.39125,0.49842,0.82988,0.72109,0.67616,0.44239,0.47236,0.11563,2
0.93545,0.47499,0.99554,0.52696,0.054346,0.59447,0.017283,0.94601,0.43759,1
0.9368,0.47684,0.9937,0.52903,0.055317,0.59594,0.020063,0.94533,0.43532,1
0.91083,0.55314,0.39901,0.83753,0.20218,0.97491,0.95349,0.6685,0.60906,0
0.935,0.47697,0.99455,0.52909,0.053393,0.59301,0.018113,0.94647,0.43756,1
0.22792,0.80108,0.98069,0.4136,0.40617,0.093315,0.43718,0.04924,0.21692,0
0.57635,0.39303,0.50094,0.82807,0.72918,0.67573,0.4427,0.46857,0.12364,2
0.41213,0.19763,0.93803,0.27689,0.66899,0.69018,0.35531,0.041865,0.86708,0
0.0050616,1.1597,0.7538,0.34054,0.84783,0.94553,0.46277,0.70593,0.41046,0
