@relation m-out_data_1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
0.21789,0.1543,0.64247,0.43277,0.48936,0.72808,0.61196,0.64089,0.51863,0.34135,0.27763,0.85382,0.70008,0.55013,0.9779,0.93633,0.49461,0.85679,0.36717,0.093469,0.067132,0.85635,0.43498,0.03136,0.18598,0.61574,0.18569,0.42427,0.2752,0.48765,6
0.63113,0.60796,0.059612,0.034506,0.21787,0.69058,0.59709,0.14012,0.69884,0.72414,0.88037,0.26369,0.82297,0.87827,0.66712,0.78503,0.23885,0.33541,0.78424,0.78563,0.4577,0.30323,0.87774,0.39829,0.69556,0.30392,0.094007,0.29836,0.090251,0.9769,3
0.39727,0.1865,0.78982,0.0632,0.85175,0.55351,0.093668,0.67251,0.16156,0.54644,0.76354,0.91383,0.095942,0.58901,0.15587,0.065935,0.42897,0.85673,0.70016,0.85094,0.75747,0.73258,0.85379,0.94076,0.98094,0.39781,0.8208,0.97048,0.18375,0.034005,4
0.21872,0.15609,0.63843,0.43744,0.49489,0.72872,0.60889,0.64268,0.51634,0.33935,0.2757,0.85265,0.70074,0.54903,0.97678,0.93638,0.48812,0.85639,0.36597,0.092584,0.066362,0.85174,0.43038,0.031953,0.18811,0.61337,0.18497,0.42364,0.27558,0.48686,6
0.63433,0.60018,0.059454,0.02895,0.21597,0.69413,0.60193,0.14923,0.70149,0.73275,0.88924,0.27435,0.81819,0.87883,0.66808,0.78595,0.24432,0.32984,0.7931,0.78881,0.44766,0.30243,0.88271,0.39809,0.68476,0.29797,0.094478,0.31144,0.091648,0.97294,3
0.08332,0.47624,0.90356,0.11926,0.79379,0.29852,0.70867,0.092979,0.20518,0.066216,0.27567,0.20695,0.66689,0.74161,0.51341,0.6985,0.030012,0.23721,0.90777,0.30287,0.94778,0.90881,0.79773,0.94232,0.28871,0.35642,0.33072,0.12087,0.36739,0.30261,5
0.21269,0.15331,0.64033,0.43711,0.4982,0.72761,0.60742,0.64765,0.51652,0.33615,0.27591,0.85485,0.70056,0.55314,0.97733,0.93892,0.4924,0.85622,0.36533,0.092354,0.068259,0.85431,0.43573,0.033379,0.18443,0.61568,0.18871,0.42432,0.27819,0.48855,6
0.60587,0.092655,0.39407,0.24399,0.46263,0.36959,0.45918,0.79938,0.4572,0.045514,0.36559,0.97136,0.97234,0.21711,0.54576,0.54733,0.4323,0.46497,0.15885,0.33972,0.21586,0.51938,0.582,0.57783,0.857,0.12826,0.82161,0.12669,0.36688,0.91235,2
0.60693,0.094208,0.39373,0.24606,0.46269,0.37075,0.45852,0.79659,0.45529,0.035774,0.36628,0.97424,0.97323,0.21817,0.55103,0.54575,0.43263,0.46217,0.16122,0.33713,0.21895,0.51628,0.58336,0.57826,0.85826,0.12823,0.82447,0.1263,0.36622,0.91192,2
0.6072,0.092204,0.39572,0.24746,0.46174,0.37083,0.46258,0.7957,0.45577,0.038003,0.3671,0.97266,0.97057,0.21806,0.54466,0.54552,0.43105,0.46818,0.16129,0.33838,0.21633,0.51778,0.58046,0.57686,0.85724,0.12555,0.82187,0.12822,0.36932,0.91719,2
0.60549,0.093436,0.39499,0.24786,0.4635,0.37093,0.46079,0.79479,0.45608,0.035531,0.36588,0.97298,0.97188,0.21744,0.54467,0.54803,0.4332,0.46308,0.15666,0.34077,0.21706,0.51632,0.58317,0.58155,0.85868,0.12971,0.82884,0.13039,0.37355,0.91394,2
0.6056,0.094642,0.39522,0.24574,0.46667,0.37426,0.46072,0.80274,0.45512,0.035315,0.36614,0.97219,0.97205,0.21685,0.54547,0.54646,0.43348,0.45926,0.15738,0.34113,0.21743,0.51748,0.58244,0.57973,0.85863,0.12432,0.82916,0.12387,0.37053,0.91378,2
