@relation m-out_data_10-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
0.096836,0.72395,0.95162,0.093169,0.6812,0.73738,0.82991,0.17361,0.5981,0.66123,0.94482,0.078072,0.95463,0.32515,0.96752,0.083121,3
0.60976,0.83347,0.20142,0.519,0.72928,0.72638,0.10121,0.80251,0.27887,0.54861,0.67192,0.96021,0.84433,0.64779,0.82681,0.66254,0
0.45248,0.57695,0.36143,0.54783,0.57449,0.89506,0.56363,0.65166,0.27541,0.73065,0.34763,0.53102,0.87674,0.55955,0.30244,0.30483,6
0.45314,0.57691,0.36235,0.54709,0.57585,0.89292,0.56493,0.65272,0.27472,0.72819,0.34811,0.53118,0.87725,0.55929,0.30156,0.30247,6
0.96981,0.19248,0.48588,0.85867,0.076974,0.48594,0.66979,0.30459,0.69695,0.66643,0.028765,0.075494,0.5169,0.59956,0.70994,0.015354,4
0.45128,0.5786,0.36272,0.54691,0.57666,0.89448,0.56329,0.65074,0.27301,0.72945,0.34843,0.53308,0.8762,0.56148,0.30278,0.30246,6
0.45161,0.57572,0.36361,0.54756,0.57372,0.89494,0.56301,0.64982,0.27458,0.72906,0.34857,0.53169,0.87678,0.56061,0.302,0.30136,6
0.97404,0.19386,0.47998,0.85663,0.076795,0.49378,0.66434,0.30529,0.69733,0.66249,0.02911,0.073562,0.51517,0.60472,0.70652,0.012157,4
0.077546,0.16854,0.63574,0.55744,0.89075,0.077564,0.54309,0.66546,0.25392,0.41085,0.37941,0.81868,0.047428,0.10901,0.062185,0.46758,5
0.51128,0.33073,0.014203,0.21487,0.57121,0.55832,0.041118,0.7257,0.98751,0.26798,0.035151,0.40956,0.023211,0.6019,0.76909,0.22726,9
0.7163,0.97239,1.0071,0.072664,0.015888,0.69062,0.75195,0.9362,0.60849,0.21567,0.37525,0.5544,1.099,0.94931,0.30187,0.29406,0
0.5018,0.63874,0.84534,0.406,0.016741,0.90957,0.72841,0.91225,0.14935,0.25659,0.68177,0.84642,0.7259,0.18466,0.24564,0.55874,7
0.074527,0.16442,0.63428,0.56332,0.89384,0.077626,0.54777,0.66428,0.25944,0.41071,0.37656,0.8161,0.043993,0.1049,0.062234,0.46691,5
0.51264,0.33465,0.0082863,0.1996,0.57612,0.5666,0.057468,0.72849,0.97958,0.26532,0.029023,0.4023,0.02187,0.59128,0.74536,0.23793,9
0.74253,0.66867,0.74452,0.41587,0.62647,0.74544,0.6266,0.65228,0.36488,0.18355,0.63964,0.85965,0.17821,0.98273,0.83777,0.53767,2
0.50448,0.63346,0.84351,0.40527,0.014065,0.90692,0.72766,0.91264,0.15278,0.26067,0.68415,0.85117,0.72985,0.18427,0.24377,0.55806,7
0.89161,0.93234,0.14137,0.71385,0.78112,0.75394,0.74363,0.74025,1.0066,0.26013,0.20141,0.12786,0.46734,0.54768,0.062965,0.16517,0
0.49902,0.63309,0.84548,0.40688,0.017698,0.90632,0.72745,0.9087,0.14999,0.25331,0.68444,0.84743,0.72504,0.17872,0.24151,0.56344,7
0.76104,0.65355,0.72796,0.40409,0.64714,0.73481,0.6366,0.64308,0.34795,0.18512,0.64259,0.85965,0.17192,0.97078,0.83237,0.51932,2
0.97618,0.20349,0.48059,0.8578,0.077253,0.4981,0.6676,0.29262,0.70602,0.67252,0.028682,0.078639,0.51954,0.60641,0.71299,0.010223,4
0.72623,0.52785,0.43885,0.62075,0.27309,0.18053,0.3184,0.46873,0.16633,0.96946,0.95331,0.045554,0.045151,0.84716,0.90923,0.24098,8
0.49832,0.63663,0.84509,0.40942,0.016368,0.9065,0.72793,0.90629,0.14871,0.25579,0.68638,0.85232,0.73057,0.18063,0.24005,0.55924,7
0.72756,0.50767,0.23695,0.37335,0.62211,0.61092,0.61014,0.47028,0.5667,0.86281,0.4524,0.25487,0.10076,0.47559,0.75393,0.16839,0
0.97716,0.19402,0.49113,0.8525,0.058085,0.48398,0.66786,0.29803,0.70366,0.67521,0.041777,0.073556,0.50707,0.6045,0.71367,0.015602,4
