@relation m-out_data_12-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute class {0,1,2,3,4,5}

@data
0.42975,0.68715,0.94091,0.56899,0.78629,0.76455,0.78363,0.37251,0.43176,0.13779,0.020091,0.39155,5
0.29516,0.67111,0.60788,0.411,0.58897,0.71069,0.5684,0.97853,0.64779,0.86082,0.056653,0.31326,2
0.37236,0.099399,0.70443,0.60819,0.35218,0.95998,0.88303,0.33288,0.33265,0.84355,0.41122,0.8226,1
0.079825,0.94131,0.86112,0.57145,0.64512,0.4513,0.35238,0.04143,0.37576,0.098395,0.65037,0.84132,3
0.37394,0.099244,0.7053,0.60749,0.35127,0.95873,0.88313,0.33336,0.33351,0.84483,0.41203,0.82238,1
0.43025,0.68784,0.94069,0.5674,0.78518,0.76532,0.78467,0.37341,0.43231,0.13783,0.019412,0.39219,5
0.43029,0.68753,0.93903,0.56918,0.78461,0.76537,0.78474,0.37342,0.43191,0.1384,0.020168,0.39342,5
0.22545,0.4468,0.069679,0.091631,0.92549,0.25583,0.5813,0.10043,0.46174,0.53006,0.10308,0.1674,0
0.37322,0.099263,0.70433,0.60851,0.35211,0.95812,0.88286,0.33255,0.33295,0.84455,0.41175,0.82388,1
0.37359,0.097846,0.70429,0.60754,0.35143,0.95914,0.88317,0.33495,0.33337,0.84471,0.41089,0.82248,1
0.08392,0.94164,0.86795,0.56459,0.64703,0.44246,0.35362,0.037083,0.37424,0.1001,0.65207,0.83109,3
0.29207,0.67004,0.61152,0.41035,0.5903,0.7088,0.56533,0.98202,0.6465,0.86259,0.056652,0.31406,2
0.42988,0.68751,0.93971,0.56841,0.78542,0.7654,0.78496,0.37257,0.4317,0.13702,0.019867,0.39271,5
0.080466,0.94086,0.85939,0.56948,0.64915,0.44866,0.3528,0.037126,0.37092,0.097926,0.6465,0.84019,3
0.37273,0.098697,0.70521,0.60848,0.35217,0.95863,0.88322,0.33393,0.33292,0.84437,0.4132,0.82319,1
0.084111,0.93906,0.8609,0.57229,0.6424,0.45053,0.35583,0.033533,0.37339,0.09568,0.64701,0.84759,3
0.12574,0.18533,0.71041,0.62107,0.56813,0.84187,0.44973,0.38137,0.20112,0.62624,0.87991,0.271,0
0.37397,0.098238,0.70331,0.60915,0.35274,0.95877,0.88294,0.33373,0.33203,0.8442,0.41187,0.82275,1
0.37375,0.098017,0.70507,0.60733,0.35214,0.95845,0.88314,0.33313,0.33128,0.84425,0.4121,0.82426,1
0.22881,0.56321,0.51727,0.15482,0.44893,0.875,0.56445,0.017227,0.080846,0.17099,0.31072,0.71592,0
0.374,0.097599,0.70574,0.60756,0.35205,0.95951,0.88243,0.33415,0.33291,0.84397,0.41202,0.82398,1
0.45181,0.077654,0.2753,0.19513,0.52854,0.4702,0.64739,0.097502,0.62613,0.29386,0.62575,0.11727,4
0.37444,0.099166,0.70384,0.60792,0.3517,0.95817,0.88365,0.33412,0.33146,0.84445,0.41199,0.82291,1
0.37375,0.097825,0.70442,0.60825,0.35296,0.95923,0.8834,0.33316,0.33304,0.84468,0.41171,0.82321,1
0.37457,0.098556,0.70522,0.60825,0.35114,0.95855,0.88426,0.33299,0.33272,0.84435,0.41148,0.82396,1
0.29214,0.67256,0.61144,0.41193,0.58851,0.70765,0.56849,0.98147,0.64856,0.86506,0.056325,0.31261,2
0.37343,0.098307,0.7033,0.60701,0.35261,0.95842,0.88274,0.33394,0.33232,0.84408,0.41251,0.82387,1
0.6128,0.4416,0.44137,0.80609,0.43811,0.10436,0.29048,0.89397,0.43509,0.22751,0.22824,0.057907,0
0.37296,0.097587,0.70403,0.60834,0.35103,0.95825,0.88376,0.33393,0.3328,0.84417,0.41247,0.82393,1
0.078439,0.94085,0.86188,0.56875,0.64919,0.45045,0.35265,0.038282,0.37253,0.098174,0.64854,0.84158,3
0.4309,0.68623,0.93901,0.56987,0.78513,0.76581,0.78369,0.37387,0.43141,0.13742,0.020701,0.39265,5
0.37342,0.097252,0.70414,0.60762,0.35141,0.95935,0.88309,0.33354,0.33231,0.84366,0.4126,0.82358,1
0.37427,0.09827,0.70493,0.60893,0.3517,0.95841,0.88329,0.33363,0.3315,0.84421,0.41189,0.82345,1
0.077716,0.94045,0.8536,0.56483,0.64883,0.44718,0.35197,0.033424,0.38074,0.095247,0.64824,0.84475,3
0.37451,0.097841,0.70465,0.6079,0.35066,0.9601,0.88292,0.33431,0.33158,0.84428,0.4111,0.82305,1
0.29577,0.67217,0.60907,0.41127,0.58763,0.70849,0.56549,0.97807,0.64692,0.8632,0.055814,0.31322,2
0.37439,0.097555,0.70324,0.60884,0.35094,0.95868,0.88273,0.33333,0.33143,0.8456,0.41308,0.82424,1
0.43153,0.68787,0.9416,0.56842,0.78413,0.76551,0.78497,0.37308,0.43122,0.13783,0.019415,0.39318,5
0.37384,0.097482,0.7052,0.6084,0.35111,0.95877,0.88193,0.33479,0.33234,0.84353,0.41183,0.82396,1
0.43051,0.68684,0.94112,0.56835,0.78597,0.7664,0.78333,0.37266,0.43264,0.1379,0.019892,0.39281,5
0.43087,0.68808,0.93975,0.56863,0.78522,0.76491,0.78464,0.37219,0.43207,0.13682,0.019816,0.39255,5
0.45182,0.078282,0.27465,0.19577,0.52794,0.47,0.64758,0.098143,0.62702,0.29375,0.62498,0.1175,4
0.43208,0.68682,0.94132,0.56843,0.78502,0.76444,0.78456,0.37287,0.4322,0.13685,0.019576,0.39194,5
