@relation m-out_data_14-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute class {0,1,2,3}

@data
0.15939,0.35814,0.82857,0.66419,0.011423,0.95225,0.45693,0.49238,0.56666,0.063036,2
0.16056,0.35912,0.83038,0.66597,0.011787,0.95169,0.45763,0.49058,0.56618,0.06228,2
0.11194,0.50731,0.25957,0.74351,0.54387,0.79147,0.75492,0.53181,0.27321,0.48326,3
0.16143,0.35901,0.82755,0.66503,0.013358,0.95207,0.45626,0.49467,0.56635,0.062256,2
0.11251,0.50697,0.25943,0.74358,0.5441,0.79087,0.75448,0.53063,0.27217,0.48299,3
0.16097,0.35797,0.8273,0.6624,0.011395,0.95084,0.4583,0.49209,0.56715,0.062719,2
0.56745,0.86466,0.072099,0.78926,0.21,0.78043,0.82715,0.023474,0.80073,0.31954,1
0.16013,0.35965,0.82808,0.6652,0.010554,0.9512,0.45645,0.49366,0.56804,0.0628,2
0.15987,0.35845,0.82765,0.665,0.013032,0.95426,0.45711,0.49225,0.56609,0.061116,2
0.75995,0.74395,0.72889,0.64707,0.51919,0.83841,0.44443,0.14215,0.78879,0.6775,0
0.15908,0.35938,0.83054,0.6624,0.012081,0.95344,0.45655,0.49321,0.56615,0.061096,2
0.16192,0.35871,0.82996,0.66375,0.014329,0.95429,0.45619,0.49221,0.56605,0.062418,2
0.16173,0.35842,0.82667,0.66462,0.011256,0.95229,0.45677,0.4947,0.56672,0.060702,2
0.11174,0.50794,0.25938,0.74332,0.54364,0.79127,0.75515,0.53039,0.27347,0.48244,3
0.56723,0.86189,0.072677,0.79297,0.20956,0.77597,0.82624,0.026297,0.8021,0.322,1
0.15994,0.35755,0.82884,0.66611,0.011185,0.95298,0.45646,0.49314,0.56573,0.062072,2
0.15956,0.35687,0.82777,0.66454,0.013679,0.95052,0.45802,0.49383,0.56927,0.061566,2
0.15986,0.36027,0.8266,0.66322,0.012172,0.95381,0.45856,0.49363,0.56805,0.06356,2
0.11151,0.50733,0.25992,0.74344,0.54429,0.79176,0.75552,0.53046,0.27321,0.48209,3
0.16068,0.35763,0.82864,0.66253,0.012421,0.95159,0.45769,0.4931,0.56872,0.06161,2
0.11191,0.50712,0.25964,0.74301,0.54388,0.79093,0.75428,0.53026,0.27258,0.48223,3
0.15992,0.35972,0.82905,0.66475,0.013612,0.95304,0.45683,0.49118,0.56794,0.061422,2
0.1593,0.35863,0.82813,0.66552,0.011892,0.95245,0.4585,0.49291,0.56753,0.061183,2
0.15886,0.35846,0.82922,0.66347,0.012629,0.95258,0.45607,0.49155,0.56795,0.060395,2
0.11216,0.50729,0.25937,0.74324,0.5438,0.79179,0.75448,0.53105,0.27216,0.48244,3
0.15955,0.3581,0.82871,0.66456,0.012553,0.9518,0.45707,0.49161,0.56734,0.062785,2
0.56881,0.86523,0.072514,0.79264,0.21071,0.77596,0.82819,0.023134,0.80243,0.31859,1
0.15987,0.35933,0.82776,0.66589,0.012466,0.9539,0.45855,0.49134,0.56834,0.061982,2
0.1115,0.50729,0.25948,0.74314,0.5441,0.79111,0.75478,0.53074,0.27248,0.4816,3
0.57038,0.8632,0.076535,0.78966,0.21054,0.78164,0.82615,0.02459,0.80469,0.31771,1
0.15877,0.36099,0.82706,0.66478,0.012789,0.95159,0.45523,0.49277,0.56811,0.060818,2
0.16031,0.3597,0.82874,0.6659,0.011107,0.95311,0.45834,0.49345,0.56652,0.061523,2
0.11228,0.50803,0.25939,0.7427,0.54416,0.79163,0.75496,0.53054,0.27324,0.48212,3
0.15994,0.3575,0.82633,0.66492,0.01108,0.95081,0.4559,0.4945,0.56539,0.060459,2
0.32254,0.48934,0.52526,0.011178,0.11472,0.98949,0.62144,1.0438,0.61738,0.66301,0
0.15917,0.35983,0.82844,0.66467,0.010281,0.95211,0.45688,0.49237,0.56742,0.061635,2
0.16166,0.35981,0.82652,0.66551,0.012081,0.95088,0.45718,0.49255,0.56714,0.061376,2
0.1609,0.35894,0.82807,0.66481,0.013933,0.95204,0.45602,0.49301,0.56804,0.062293,2
0.16095,0.357,0.82668,0.66489,0.011669,0.95245,0.45637,0.49377,0.56752,0.06095,2
0.57008,0.86563,0.072637,0.78876,0.209,0.77836,0.82405,0.024447,0.80177,0.32009,1
