@relation m-out_data_15-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute class {0,1,2,3,4,5}

@data
0.075573,0.51135,0.27982,0.86818,0.081177,0.78573,0.060968,0.56719,0.92002,0.15493,0.60721,0.035954,0.51111,0.39213,0.058006,0.27465,0.85978,2
0.25498,0.82304,0.80346,0.49025,0.098143,0.84233,0.078832,0.45109,0.96,0.41293,0.98001,0.74459,0.23568,0.4312,0.58836,0.15657,0.66662,3
0.076578,0.51198,0.27476,0.8645,0.077734,0.78151,0.060715,0.57023,0.92368,0.15796,0.60651,0.040181,0.50711,0.39495,0.059437,0.27126,0.86488,2
0.25441,0.82244,0.8034,0.49078,0.098382,0.84266,0.078498,0.45162,0.96015,0.41209,0.97958,0.74434,0.23523,0.43184,0.58895,0.15725,0.66709,3
0.074849,0.51063,0.27404,0.86925,0.08062,0.78725,0.060679,0.567,0.92387,0.15883,0.60512,0.04196,0.51176,0.3952,0.060018,0.27259,0.86435,2
0.25502,0.82238,0.80311,0.49034,0.09856,0.84279,0.078274,0.45144,0.95984,0.41219,0.97941,0.74489,0.23574,0.43129,0.58821,0.15705,0.66654,3
0.754,0.22446,0.58254,0.98902,0.43244,0.19479,0.4748,0.006136,0.95258,0.31345,0.96917,0.61703,0.52863,0.86488,0.36411,0.86973,0.047422,4
0.75106,0.2176,0.56939,0.97649,0.41789,0.18197,0.4705,0.021596,0.97421,0.30723,0.97947,0.59982,0.51397,0.86331,0.36005,0.87641,0.049747,4
0.25501,0.82334,0.80366,0.48995,0.098564,0.84286,0.077999,0.45114,0.95939,0.4123,0.9792,0.74521,0.23482,0.43127,0.58804,0.15724,0.6673,3
0.25468,0.82247,0.80333,0.49055,0.098588,0.84296,0.077839,0.45121,0.96017,0.41227,0.9796,0.74438,0.2358,0.43204,0.58886,0.15693,0.66682,3
0.66537,0.58825,0.66631,0.68654,0.72554,0.098416,0.23511,0.039372,0.90208,0.058786,0.47049,0.6474,0.17629,0.27497,0.47117,0.059145,0.23553,5
0.25446,0.8231,0.80304,0.49023,0.097863,0.84253,0.078558,0.4512,0.95949,0.41238,0.9794,0.74469,0.23535,0.43174,0.58798,0.15717,0.66689,3
0.76903,0.21746,0.56862,0.97012,0.42927,0.19288,0.4829,-0.0018635,0.9417,0.31461,0.98071,0.60248,0.52453,0.86984,0.38143,0.88583,0.04976,4
0.25429,0.82275,0.80349,0.4905,0.098263,0.84301,0.078855,0.45147,0.95991,0.41267,0.97958,0.74505,0.23466,0.43214,0.58848,0.15733,0.66687,3
0.25452,0.82295,0.80323,0.49049,0.09817,0.84272,0.078062,0.45185,0.9597,0.41298,0.97922,0.74453,0.23517,0.43157,0.58816,0.15691,0.66713,3
0.76415,0.84399,0.2934,0.80555,0.15677,0.078445,0.58957,0.23557,0.80288,0.70607,0.51025,0.7647,0.64667,0.76519,0.60777,0.2938,0.62768,1
0.077733,0.51372,0.27547,0.86444,0.078342,0.78399,0.05994,0.56928,0.92271,0.15813,0.61044,0.040108,0.50818,0.3925,0.060774,0.27665,0.86299,2
0.6657,0.58816,0.66646,0.6872,0.72561,0.097978,0.2358,0.038917,0.90199,0.059123,0.47076,0.64743,0.17595,0.27447,0.47092,0.058739,0.2352,5
0.6657,0.5883,0.66655,0.68638,0.7253,0.097377,0.23481,0.039148,0.90203,0.058777,0.47078,0.64762,0.17657,0.27459,0.47114,0.058895,0.23509,5
0.74777,0.21716,0.56912,0.97882,0.43153,0.17788,0.47191,0.020252,0.96023,0.31138,0.97803,0.61162,0.51004,0.86609,0.37607,0.88844,0.05974,4
0.14774,0.65525,0.5749,0.16631,0.7846,0.66583,0.1682,0.45589,0.59328,0.24932,0.10773,0.042042,0.9209,0.4058,0.94296,0.41263,0.87645,0
0.081202,0.50991,0.27382,0.86983,0.079118,0.7842,0.057175,0.57003,0.92429,0.15728,0.60621,0.036339,0.50793,0.39263,0.060968,0.27528,0.86243,2
0.25469,0.82301,0.80328,0.49019,0.097496,0.84327,0.078546,0.45141,0.95991,0.41194,0.97993,0.74448,0.23563,0.43147,0.58772,0.15684,0.66667,3
0.66573,0.58752,0.66631,0.6869,0.72523,0.097664,0.23555,0.03954,0.90186,0.05912,0.47121,0.64808,0.17578,0.27447,0.47114,0.058939,0.23541,5
0.66584,0.58803,0.66645,0.68624,0.72526,0.097811,0.23577,0.039724,0.90213,0.059209,0.47086,0.64744,0.17612,0.27469,0.4711,0.058966,0.23526,5
0.25439,0.82314,0.80347,0.4905,0.098086,0.84292,0.078709,0.45127,0.96031,0.41232,0.97938,0.74452,0.23514,0.43094,0.58805,0.15679,0.66716,3
0.07872,0.51021,0.27605,0.86739,0.076419,0.78301,0.059759,0.56651,0.92208,0.15737,0.6092,0.041322,0.51167,0.39177,0.058364,0.27351,0.86212,2
