@relation m-out_data_18-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
0.83428,0.61035,0.80449,0.2508,0.35932,0.94522,0.028749,0.74988,0.91487,0.75067,0.86239,0.19597,0.33215,0.47163,0.72475,0.22134,0.44303,0.13783,0.4191,0.082591,0.69075,0.6384,3
0.41494,0.49893,0.083058,0.47353,0.029368,0.91917,0.72076,0.38931,0.1655,0.77673,0.41527,0.2776,0.33226,0.58317,0.11027,0.88958,0.33106,0.80492,0.69419,0.72096,0.97358,0.10958,5
0.83122,0.61015,0.80386,0.25043,0.36086,0.94456,0.029013,0.75108,0.91692,0.74945,0.86089,0.19425,0.33299,0.47187,0.72392,0.22159,0.44449,0.13732,0.41804,0.083092,0.69301,0.63974,3
0.39265,0.30181,0.58916,0.91635,0.023536,0.44241,0.63745,0.085823,0.86716,0.96632,0.41914,0.14185,0.89668,0.54901,0.14113,0.74818,0.35739,0.7538,0.30176,0.97011,0.39117,0.16071,4
0.83311,0.60893,0.80723,0.25059,0.36157,0.94319,0.027917,0.75192,0.9143,0.74968,0.86237,0.19375,0.3328,0.4712,0.72231,0.22285,0.44508,0.14046,0.41782,0.082013,0.69367,0.63836,3
0.15699,0.61154,0.23037,0.80938,0.3961,0.99412,0.57671,0.30733,0.58597,0.74647,0.80701,0.37692,0.24629,0.66701,0.72516,0.34125,0.77281,0.14687,0.37689,0.58476,0.40175,0.15465,6
0.83296,0.61093,0.80559,0.25098,0.36059,0.94342,0.026082,0.7513,0.91623,0.74843,0.8621,0.19417,0.33362,0.47179,0.72183,0.2215,0.44405,0.13976,0.4162,0.082371,0.69079,0.63968,3
0.39269,0.30234,0.5885,0.90758,0.031339,0.44035,0.63748,0.085573,0.85331,0.97684,0.41875,0.13719,0.87816,0.55778,0.13176,0.75609,0.35756,0.74515,0.30793,0.97717,0.39291,0.17251,4
0.14173,0.59021,0.21373,0.50331,0.42418,0.17159,0.42242,0.47653,0.97134,0.52354,0.16324,0.80332,0.44975,0.029891,0.82857,0.68806,0.36508,0.92525,0.10882,0.27422,0.92178,0.91257,2
0.4152,0.49891,0.083259,0.47282,0.026362,0.91912,0.72122,0.38875,0.1654,0.77857,0.41642,0.27801,0.33368,0.5833,0.11209,0.88886,0.33435,0.80784,0.69341,0.71838,0.9731,0.11198,5
0.029761,0.082764,0.85854,0.80476,0.86016,0.94442,0.97374,0.33555,0.91833,0.80647,0.19279,0.11133,0.50226,0.89065,0.27677,0.91567,0.41756,0.19282,0.61104,0.94153,0.10808,0.88639,7
0.83222,0.61182,0.80545,0.24792,0.36072,0.94374,0.028634,0.74911,0.91423,0.74902,0.86199,0.19573,0.332,0.47049,0.72451,0.22332,0.44435,0.13923,0.41657,0.082098,0.69323,0.63878,3
0.030952,0.082783,0.8554,0.80673,0.8558,0.94482,0.97391,0.3349,0.91649,0.80173,0.19604,0.11773,0.50421,0.88675,0.28583,0.914,0.42062,0.19506,0.61695,0.94287,0.1106,0.88426,7
0.41533,0.50056,0.084738,0.47086,0.02856,0.9163,0.72194,0.38863,0.16797,0.7763,0.41772,0.27925,0.3329,0.58321,0.11133,0.8907,0.33294,0.80711,0.69506,0.7208,0.97244,0.11161,5
0.38553,0.30258,0.58202,0.91014,0.032496,0.44309,0.63986,0.087237,0.85336,0.9773,0.41174,0.13211,0.89831,0.55224,0.13306,0.75727,0.35715,0.75643,0.30256,0.97634,0.39163,0.17009,4
0.54539,0.28526,1.1635,0.17812,0.3571,0.7291,0.81967,0.16058,0.36125,0.25026,0.20642,0.25142,0.63952,0.9365,0.45739,0.29351,0.79692,0.63325,0.88157,0.34625,0.89417,0.3748,0
0.41586,0.49967,0.084856,0.47029,0.026998,0.91878,0.72169,0.38879,0.16507,0.7757,0.41762,0.278,0.33511,0.58288,0.1105,0.8894,0.33306,0.80614,0.69422,0.71917,0.97162,0.11003,5
0.83113,0.61182,0.80696,0.24893,0.36241,0.94471,0.029089,0.75212,0.91605,0.75109,0.86168,0.19467,0.33417,0.47023,0.72375,0.22246,0.44325,0.13982,0.41923,0.082276,0.69222,0.63974,3
0.81996,0.93354,0.50839,0.12579,0.68939,0.8472,0.84534,0.83018,0.55693,0.69627,0.40522,0.12677,0.38895,0.69395,0.62375,0.44912,0.7621,0.83631,0.41672,0.85,0.59366,0.42693,0
0.41808,0.50066,0.083783,0.47118,0.028618,0.91819,0.71888,0.39014,0.1675,0.77827,0.41636,0.27746,0.33214,0.58304,0.11105,0.88988,0.33197,0.80633,0.69354,0.71882,0.97138,0.11179,5
0.19528,0.59523,0.23956,0.86464,0.40433,0.97195,0.60953,0.36223,0.54227,0.75449,0.82458,0.29383,0.2975,0.75491,0.7012,0.36505,0.81735,0.16217,0.46495,0.58909,0.44127,0.23401,6
0.16808,0.58574,0.2061,0.7929,0.33718,0.94725,0.54111,0.29709,0.5535,0.72143,0.80711,0.32841,0.21662,0.67284,0.70383,0.36276,0.78925,0.12179,0.35001,0.57399,0.38993,0.18599,6
0.83375,0.61045,0.80711,0.24845,0.35947,0.94324,0.026855,0.75,0.91572,0.74902,0.8602,0.19579,0.33192,0.47251,0.72311,0.223,0.44507,0.13898,0.4192,0.083936,0.69164,0.63814,3
0.13552,0.58331,0.22433,0.49479,0.41214,0.17179,0.4156,0.47588,0.97456,0.52427,0.16358,0.7953,0.44777,0.023335,0.83833,0.68703,0.36721,0.91776,0.11517,0.28291,0.91475,0.91943,2
0.3868,0.2992,0.58835,0.92041,0.024843,0.44961,0.64784,0.078498,0.8625,0.96891,0.41789,0.14274,0.88516,0.55907,0.14157,0.75687,0.35823,0.75375,0.30241,0.97655,0.39219,0.17509,4
0.13572,0.58952,0.21748,0.50076,0.41946,0.16267,0.41669,0.47798,0.96021,0.52453,0.17083,0.79231,0.44187,0.021943,0.83604,0.69065,0.36569,0.91821,0.11351,0.26655,0.9223,0.91747,2
0.027811,0.074765,0.85131,0.80998,0.86515,0.95882,0.96952,0.33071,0.91522,0.81067,0.19926,0.10656,0.49044,0.88537,0.26572,0.92095,0.42314,0.19056,0.61456,0.96106,0.11752,0.88229,7
0.41622,0.50183,0.083663,0.4709,0.029183,0.91878,0.71914,0.38925,0.1649,0.77619,0.41516,0.2791,0.33315,0.58137,0.11007,0.88919,0.334,0.80524,0.69523,0.71881,0.9734,0.11023,5
0.83331,0.61188,0.80455,0.24953,0.35916,0.94467,0.028161,0.75009,0.91705,0.75036,0.86338,0.19604,0.33407,0.47303,0.72454,0.22323,0.44486,0.13893,0.41659,0.083271,0.69407,0.64109,3
0.83367,0.60992,0.80525,0.24968,0.36127,0.9446,0.027332,0.74952,0.91546,0.75036,0.86227,0.19512,0.33365,0.47086,0.72481,0.2229,0.44375,0.13991,0.41899,0.083437,0.69178,0.64116,3
0.41742,0.50044,0.082526,0.47223,0.028109,0.91849,0.72009,0.38805,0.16533,0.7784,0.41511,0.27765,0.33346,0.5827,0.10979,0.89134,0.33188,0.8054,0.69212,0.71995,0.97354,0.10998,5
0.39271,0.30249,0.58832,0.90813,0.02204,0.44787,0.64737,0.077036,0.85317,0.96743,0.4105,0.13467,0.88557,0.55774,0.14169,0.74971,0.35154,0.74775,0.30016,0.96981,0.39297,0.16151,4
0.83393,0.611,0.80701,0.25106,0.35916,0.9458,0.027898,0.75048,0.9159,0.74986,0.86083,0.19441,0.33178,0.47318,0.72206,0.22082,0.44394,0.14038,0.41935,0.082932,0.69136,0.63862,3
0.13343,0.59376,0.21827,0.50479,0.41037,0.16918,0.42419,0.47593,0.97019,0.52144,0.1698,0.7929,0.44824,0.021245,0.82708,0.70144,0.36254,0.9288,0.10867,0.28257,0.92323,0.91732,2
0.41762,0.50211,0.084236,0.47039,0.028152,0.9162,0.7197,0.39029,0.16636,0.77604,0.41581,0.27724,0.33253,0.58343,0.1098,0.88897,0.33377,0.80686,0.6939,0.7207,0.97118,0.11244,5
0.154,0.56517,0.15566,0.7658,0.32318,0.92522,0.57576,0.35781,0.59407,0.70989,0.7457,0.30919,0.23573,0.69789,0.67221,0.43293,0.7571,0.15263,0.3272,0.62304,0.33472,0.12244,6
0.14113,0.59244,0.21786,0.49149,0.42001,0.15977,0.41631,0.47052,0.97245,0.52525,0.16258,0.79665,0.44209,0.031679,0.82843,0.69202,0.36395,0.92784,0.1152,0.28477,0.91675,0.9122,2
0.076842,0.27286,0.79289,0.3139,0.17086,0.17661,0.11031,0.14887,0.22015,0.29616,0.93587,0.48983,0.62794,0.53382,0.37055,0.52102,0.66478,0.70232,0.72234,0.83419,0.58054,0.46394,1
0.13556,0.58462,0.21665,0.49552,0.41135,0.16446,0.42638,0.4666,0.97188,0.52275,0.16973,0.79412,0.44879,0.032461,0.82654,0.70098,0.36289,0.9196,0.10878,0.2798,0.91673,0.91137,2
0.83293,0.60986,0.80603,0.25088,0.36219,0.94319,0.028328,0.7517,0.91687,0.7493,0.86032,0.19459,0.33218,0.47294,0.72231,0.2212,0.44254,0.14052,0.41899,0.084056,0.69217,0.63841,3
0.83222,0.61034,0.80443,0.2488,0.35919,0.94325,0.027271,0.74984,0.91478,0.74807,0.86179,0.19579,0.33352,0.47188,0.72282,0.22163,0.44522,0.13766,0.41734,0.082435,0.69224,0.63861,3
0.83159,0.60872,0.80613,0.24916,0.36049,0.94604,0.026177,0.74973,0.91701,0.74958,0.86149,0.19524,0.33164,0.47185,0.72456,0.22317,0.44385,0.13929,0.41838,0.082301,0.69171,0.6411,3
