@relation m-out_data_3-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute class {0,1,2,3,4,5}

@data
0.95064,0.30799,0.95155,0.42957,0.9783,0.83334,0.023088,0.28436,0.97498,0.28575,0.85413,0.97689,0.71227,0.26134,0.26108,0.85725,0.42784,0.14143,0.16684,0.1916,3
0.45146,0.073387,0.21394,0.83222,0.69138,0.37987,0.52279,0.18758,0.95988,0.31058,0.5474,0.098581,0.6419,0.95229,0.85588,0.45504,0.23965,0.73611,0.11664,0.044299,5
0.88144,0.71518,0.3092,0.23903,0.26254,0.45311,0.54534,0.88362,0.78697,0.97878,0.73684,0.87992,0.16512,0.90542,0.42954,0.35645,0.66232,0.88179,0.26229,0.093762,2
0.4499,0.068084,0.21607,0.84555,0.69226,0.37563,0.52852,0.19256,0.94701,0.31741,0.55479,0.095392,0.6495,0.94244,0.85001,0.45649,0.25106,0.73235,0.11543,0.046473,5
0.44297,0.077196,0.21811,0.83612,0.67846,0.38643,0.52364,0.18845,0.94447,0.31238,0.55152,0.095132,0.6488,0.96282,0.8652,0.46116,0.23282,0.72279,0.11946,0.049998,5
0.45386,0.078475,0.21671,0.83538,0.68911,0.38309,0.51468,0.18858,0.95532,0.31043,0.54699,0.095174,0.64417,0.95105,0.85727,0.45318,0.24111,0.73705,0.11876,0.047533,5
0.88065,0.7145,0.30845,0.2404,0.26221,0.45409,0.54497,0.88323,0.7852,0.97742,0.73735,0.87979,0.16631,0.90308,0.42872,0.35626,0.66406,0.88129,0.26105,0.094176,2
0.50215,0.43138,0.95479,0.59308,0.37924,0.54444,0.47641,0.16714,0.3571,0.50184,0.88013,0.85632,0.97644,0.66799,0.11903,0.40398,0.16656,0.14286,0.6921,0.50186,4
0.95054,0.31048,0.95102,0.42869,0.97755,0.8346,0.023292,0.2842,0.97756,0.28497,0.85566,0.97732,0.71428,0.26118,0.26111,0.85513,0.42991,0.14468,0.1659,0.19043,3
0.28401,0.24324,0.59777,0.43933,0.77857,0.38114,0.7388,0.63846,0.17717,0.84736,0.98667,0.38359,0.40171,0.29703,0.18753,0.40948,1.2292,0.80545,0.90012,0.74175,0
0.40012,0.16963,0.98426,0.95687,1.0101,0.042635,0.55797,0.77163,0.27679,0.02635,0.27647,0.32412,0.062938,0.5619,0.1013,0.8247,0.27077,0.23196,0.049853,0.70594,0
0.45641,0.071009,0.2224,0.82943,0.68926,0.37368,0.52176,0.1908,0.93861,0.30599,0.54266,0.094923,0.63822,0.95179,0.85522,0.44596,0.24561,0.74465,0.12031,0.043372,5
0.87854,0.716,0.31033,0.23916,0.26217,0.4531,0.54551,0.88126,0.78555,0.98084,0.73817,0.88004,0.16881,0.90449,0.42848,0.35644,0.66423,0.88187,0.26277,0.095833,2
0.503,0.43025,0.95517,0.59583,0.3826,0.54482,0.47741,0.16634,0.35863,0.50178,0.88008,0.85716,0.97408,0.66706,0.11837,0.40119,0.16512,0.1411,0.69153,0.4997,4
0.9503,0.30728,0.95082,0.43057,0.97622,0.83559,0.024454,0.28554,0.97678,0.28599,0.85544,0.97715,0.71363,0.26078,0.26079,0.85619,0.43077,0.14156,0.16711,0.19136,3
0.45414,0.071359,0.21529,0.8337,0.6917,0.38194,0.52422,0.19075,0.95386,0.30975,0.54829,0.095527,0.64315,0.95277,0.85546,0.45176,0.23851,0.73728,0.11933,0.048971,5
0.88137,0.71489,0.30956,0.23939,0.26237,0.45174,0.54558,0.88238,0.78799,0.97844,0.73594,0.87776,0.16538,0.90242,0.42945,0.35668,0.66461,0.88154,0.26277,0.094667,2
0.49961,0.43289,0.95567,0.59272,0.38186,0.5472,0.47766,0.16742,0.35918,0.49931,0.88037,0.858,0.97298,0.66712,0.11782,0.40306,0.16845,0.14114,0.69173,0.5016,4
0.44261,0.068416,0.20847,0.83178,0.69216,0.38,0.5214,0.2035,0.96176,0.31309,0.54719,0.10466,0.63902,0.94999,0.83562,0.45499,0.24683,0.72887,0.11946,0.048242,5
0.46023,0.059806,0.20227,0.82465,0.6912,0.38307,0.52571,0.19408,0.96013,0.31745,0.54221,0.098915,0.64667,0.95467,0.85115,0.45676,0.24125,0.72632,0.10963,0.036427,5
0.87457,0.56877,0.16676,0.64691,0.66572,0.30632,0.098584,0.43066,0.66476,0.094878,0.90003,0.43026,0.80712,0.2384,0.80886,0.8326,0.3808,0.069991,0.19133,0.92541,1
0.8799,0.71489,0.30913,0.23795,0.26209,0.45088,0.54657,0.88287,0.78662,0.97965,0.73561,0.87904,0.1676,0.90436,0.42736,0.35574,0.66375,0.87955,0.26126,0.094053,2
0.50138,0.43151,0.95505,0.59408,0.38093,0.54419,0.47773,0.16642,0.35706,0.50011,0.87959,0.85714,0.97426,0.66674,0.11827,0.40273,0.16713,0.14137,0.691,0.50365,4
0.074795,0.25296,0.64994,0.4592,0.4703,0.66347,0.029081,0.15853,0.76792,0.8015,0.81141,0.11802,0.95431,0.25593,0.34776,0.90641,0.59086,0.39199,0.86106,0.094772,0
0.44691,0.074888,0.21434,0.82645,0.68107,0.37864,0.52987,0.19461,0.95455,0.31069,0.53615,0.10518,0.62913,0.95175,0.85606,0.45166,0.23201,0.75311,0.11625,0.048471,5
0.50302,0.4287,0.95264,0.59608,0.38012,0.54424,0.47817,0.16587,0.35805,0.50021,0.88176,0.85701,0.97344,0.66971,0.12044,0.40241,0.16567,0.14132,0.68983,0.50294,4
0.87971,0.569,0.1681,0.64329,0.66528,0.31192,0.09883,0.42937,0.66525,0.097063,0.90148,0.42814,0.81177,0.23863,0.80893,0.83789,0.37969,0.07077,0.19032,0.92659,1
0.50069,0.4297,0.95294,0.59385,0.3811,0.54661,0.47575,0.16805,0.35988,0.5012,0.88149,0.85723,0.9746,0.66533,0.11928,0.40206,0.16508,0.1421,0.69056,0.50202,4
0.69638,0.78204,0.63848,0.25018,0.20622,0.6273,0.96688,0.47338,0.28867,0.71169,0.27221,0.52059,0.68442,0.37471,0.34759,0.59819,0.28919,0.052141,0.52157,0.8513,0
