@relation m-out_data_4-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
0.18941,0.13103,0.83852,0.042758,0.13253,0.018586,0.74765,0.71196,0.98582,0.23272,6
0.95989,0.57768,0.83987,0.70651,0.43384,0.84252,0.20433,0.33614,0.37649,0.20123,3
0.11555,0.92859,0.65228,0.74604,0.42432,0.47286,0.24572,0.89914,0.40372,0.091344,7
0.30512,0.4201,0.82997,0.90834,0.96277,0.41532,0.39565,0.67316,0.38861,0.32378,0
0.5491,0.40778,0.41838,0.43707,0.18995,0.81278,0.8423,0.85605,0.50852,0.39456,1
0.31409,0.014401,0.11425,0.8624,0.95253,0.58329,0.48022,0.60021,0.83796,0.49707,0
0.11073,0.92109,0.65521,0.73097,0.42378,0.46398,0.24079,0.88506,0.40753,0.086834,7
0.95598,0.5814,0.83954,0.71225,0.4365,0.83779,0.20409,0.33277,0.37905,0.20141,3
0.9216,0.12393,0.24242,0.88653,0.31752,0.34233,0.98537,0.69806,0.46996,0.3081,2
0.84643,0.79029,0.36761,0.066438,0.023226,0.9705,0.038339,0.53306,0.58417,0.52668,5
0.19287,0.13148,0.83428,0.046171,0.12789,0.012055,0.74653,0.70938,0.98435,0.23848,6
0.82978,0.77451,0.35523,0.053817,0.0065631,0.97535,0.03277,0.51991,0.56655,0.52326,5
0.55197,0.40408,0.41767,0.43592,0.18666,0.81303,0.84361,0.85844,0.50873,0.38881,1
0.18432,0.13201,0.83199,0.036435,0.14287,0.017938,0.75435,0.70694,0.97427,0.23233,6
0.83682,0.78039,0.36401,0.054657,0.0078357,0.97138,0.026547,0.5235,0.58005,0.51644,5
0.030888,0.082604,1.0039,0.43491,0.12928,0.51411,0.877,0.10776,0.49557,0.78197,0
0.18661,0.13461,0.83705,0.04397,0.1315,0.011775,0.75199,0.71198,0.98876,0.23309,6
0.54921,0.40521,0.41779,0.43602,0.1897,0.81269,0.83778,0.85864,0.50833,0.3888,1
0.19013,0.12915,0.8381,0.04078,0.13075,-0.00090278,0.74967,0.70678,0.98314,0.22914,6
0.67564,0.19532,0.42158,0.79919,0.59114,0.71353,0.84609,0.81801,0.74072,0.14306,0
0.32948,0.33804,0.47379,0.89566,0.46012,0.32255,0.60719,0.45877,0.40726,0.45984,0
0.95867,0.58063,0.84246,0.71081,0.43304,0.83898,0.20176,0.33187,0.37339,0.20483,3
0.83615,0.78269,0.35889,0.052484,0.018448,0.96917,0.01848,0.51847,0.573,0.52008,5
0.63083,0.72852,0.98303,0.096046,0.82507,0.81941,0.19282,0.35297,0.16805,0.87652,0
0.83285,0.77857,0.35752,0.064809,0.027207,0.9773,0.032618,0.51094,0.58,0.52307,5
0.1888,0.12775,0.83839,0.04301,0.13149,0.015464,0.75293,0.70849,0.99061,0.23196,6
0.11021,0.92727,0.6558,0.74604,0.42269,0.46515,0.24565,0.87882,0.40272,0.083852,7
0.1822,0.1266,0.84623,0.034951,0.12823,0.031924,0.75284,0.72223,0.97928,0.23185,6
0.18841,0.13014,0.83997,0.04278,0.13028,0.015155,0.75234,0.71,0.98571,0.23132,6
0.93826,0.11167,0.2415,0.87394,0.30306,0.32829,0.9722,0.69424,0.47667,0.30404,2
0.27809,0.39234,0.72318,0.66673,0.28975,0.825,0.56195,0.39431,0.29036,0.1603,4
0.5522,0.40455,0.42068,0.4326,0.18584,0.80874,0.84212,0.8553,0.50468,0.39214,1
0.12532,0.9206,0.64412,0.73949,0.40349,0.46668,0.25466,0.87422,0.40121,0.081397,7
0.96048,0.57834,0.84207,0.71038,0.43811,0.83795,0.20429,0.33219,0.37883,0.202,3
0.83924,0.78293,0.36468,0.056462,0.0059217,0.96621,0.031082,0.52056,0.58201,0.52175,5
0.18903,0.13039,0.83947,0.043396,0.12997,0.014387,0.75253,0.71113,0.98495,0.23168,6
0.19468,0.1234,0.83888,0.034939,0.10959,0.017733,0.75143,0.7214,0.98562,0.22459,6
0.10554,0.92081,0.63816,0.73324,0.41604,0.45502,0.24314,0.87201,0.40013,0.074094,7
0.85018,0.79549,0.37367,0.062812,0.013196,0.97634,0.039125,0.53069,0.58604,0.52905,5
0.8366,0.78802,0.35811,0.057499,0.013131,0.96952,0.022143,0.51235,0.57469,0.51828,5
0.55214,0.40802,0.41814,0.43285,0.19177,0.81508,0.84195,0.85833,0.50947,0.39004,1
0.1175,0.92142,0.64104,0.73313,0.41236,0.47151,0.23734,0.88261,0.4054,0.093714,7
0.54674,0.4043,0.42062,0.4351,0.18443,0.81438,0.83834,0.85823,0.50933,0.38932,1
0.55274,0.40488,0.42053,0.43533,0.18987,0.8079,0.83883,0.85828,0.50881,0.39368,1
0.84993,0.78561,0.36512,0.06,0.019279,0.97799,0.027221,0.52501,0.57885,0.52729,5
0.11917,0.92446,0.65463,0.74561,0.42559,0.45918,0.24229,0.88443,0.40909,0.086197,7
0.27538,0.39062,0.72788,0.66561,0.28951,0.82437,0.56486,0.389,0.29018,0.16199,4
0.11743,0.94661,0.65204,0.75241,0.4314,0.46618,0.24341,0.8779,0.40754,0.094986,7
0.93027,0.11405,0.25062,0.89713,0.30316,0.33526,0.96522,0.69397,0.45743,0.30343,2
0.95912,0.58119,0.83833,0.70805,0.43434,0.84149,0.20151,0.33172,0.37752,0.2008,3
0.18156,0.13536,0.84313,0.03523,0.12535,0.017229,0.74882,0.70762,0.98376,0.22928,6
0.6692,0.054408,0.70959,0.22186,1.1526,0.53151,0.2557,0.89725,0.21543,0.41683,0
0.84581,0.78742,0.36028,0.057151,0.015374,0.97413,0.032751,0.52114,0.58346,0.52605,5
0.12608,0.92179,0.63722,0.73805,0.41193,0.46034,0.24337,0.88418,0.393,0.07171,7
0.84536,0.78719,0.36329,0.066053,0.017753,0.97315,0.029452,0.52948,0.58098,0.53437,5
0.1138,0.93036,0.65674,0.74166,0.41991,0.46308,0.25498,0.8851,0.40644,0.091058,7
0.54945,0.40355,0.41518,0.43232,0.19015,0.81471,0.83819,0.85533,0.50826,0.39312,1
0.11024,0.92062,0.64454,0.72866,0.42185,0.45666,0.24288,0.88614,0.4047,0.077157,7
0.83923,0.79304,0.36814,0.06345,0.017429,0.9731,0.027543,0.52735,0.57367,0.52374,5
0.95943,0.58259,0.84328,0.70703,0.43741,0.83892,0.19905,0.33552,0.37658,0.1999,3
0.27296,0.39045,0.72421,0.66627,0.29287,0.82596,0.56321,0.39253,0.28852,0.15886,4
0.11329,0.93509,0.64873,0.74198,0.42209,0.46628,0.25126,0.88403,0.41381,0.086868,7
0.18963,0.12585,0.8399,0.050379,0.12963,0.016207,0.74899,0.71099,0.98506,0.23239,6
0.95633,0.58092,0.83975,0.71123,0.43757,0.84262,0.20497,0.33054,0.37755,0.20428,3
0.84433,0.78682,0.35982,0.058939,0.01547,0.97247,0.032796,0.52347,0.58605,0.52517,5
0.92267,0.12059,0.24913,0.87887,0.30881,0.3316,0.97596,0.68932,0.46363,0.3097,2
0.12315,0.92836,0.65326,0.74026,0.42205,0.45809,0.24706,0.88609,0.40524,0.084627,7
0.5489,0.40496,0.42197,0.43269,0.19225,0.81509,0.84397,0.85581,0.50863,0.39254,1
0.10051,0.93403,0.65567,0.7303,0.43185,0.47988,0.23391,0.88976,0.38978,0.068897,7
0.18771,0.13336,0.84373,0.040886,0.12975,0.013675,0.75074,0.71213,0.98398,0.23309,6
0.18795,0.12554,0.83863,0.040897,0.12982,0.011896,0.75078,0.7099,0.98557,0.23005,6
0.11315,0.93062,0.64468,0.74086,0.41174,0.45879,0.24361,0.88469,0.40521,0.087194,7
0.18953,0.13178,0.84081,0.044016,0.12732,0.014751,0.75094,0.70861,0.98466,0.23209,6
0.18865,0.13024,0.84018,0.043548,0.12995,0.014442,0.75212,0.71029,0.98526,0.23131,6
0.84587,0.784,0.3635,0.062337,0.020197,0.97821,0.031249,0.52545,0.57638,0.52154,5
0.85233,0.77888,0.36628,0.056046,0.027913,0.9717,0.026088,0.52328,0.5868,0.52178,5
0.18946,0.13045,0.8396,0.043294,0.12992,0.014285,0.75289,0.71086,0.98452,0.23204,6
0.84136,0.77642,0.36306,0.051907,0.0068387,0.97841,0.019106,0.50782,0.58268,0.51796,5
0.95856,0.57854,0.83815,0.71051,0.43729,0.84159,0.20147,0.33853,0.37661,0.20526,3
0.11908,0.929,0.65019,0.74576,0.42369,0.4579,0.24539,0.88308,0.40799,0.094624,7
0.55288,0.40448,0.41763,0.43265,0.19194,0.81014,0.84356,0.85901,0.50519,0.39255,1
0.18865,0.13175,0.83829,0.047638,0.13218,0.0084988,0.75568,0.72371,0.9819,0.22792,6
0.18887,0.12522,0.84011,0.038762,0.12191,0.010675,0.75604,0.70222,0.98874,0.22846,6
0.95579,0.5768,0.84277,0.70718,0.43275,0.84147,0.20517,0.33229,0.37452,0.20552,3
0.84029,0.78196,0.37579,0.058663,0.013907,0.97222,0.03052,0.52466,0.58124,0.51684,5
0.92678,0.11438,0.24438,0.88241,0.30767,0.32995,0.97147,0.69686,0.46273,0.30401,2
0.96018,0.5784,0.84326,0.7068,0.43764,0.83849,0.20123,0.33269,0.37781,0.20184,3
0.11993,0.92816,0.65515,0.75091,0.43531,0.46493,0.2468,0.89716,0.41016,0.096528,7
0.85701,0.84511,0.75422,0.76228,0.33254,0.52881,0.47268,0.84371,0.88181,0.82792,0
0.11304,0.92917,0.65047,0.74491,0.4264,0.46298,0.24912,0.88737,0.40814,0.086167,7
0.55183,0.408,0.4206,0.43312,0.18618,0.81248,0.83882,0.85808,0.50989,0.39555,1
0.11712,0.92648,0.65071,0.73853,0.42163,0.46895,0.24683,0.88441,0.39074,0.086222,7
0.11184,0.93283,0.65142,0.73443,0.41995,0.46498,0.25019,0.88054,0.40788,0.095187,7
0.54875,0.40511,0.4211,0.4364,0.1872,0.81011,0.84434,0.85525,0.50597,0.38869,1
0.83652,0.78324,0.36732,0.066351,0.019694,0.97168,0.03135,0.52992,0.57644,0.53179,5
0.9587,0.57716,0.84347,0.70842,0.4331,0.83839,0.20007,0.33525,0.37835,0.20168,3
0.19337,0.14383,0.84422,0.049717,0.13144,0.018926,0.75541,0.70782,0.97851,0.21432,6
0.83473,0.77563,0.35738,0.062528,0.020078,0.97587,0.028262,0.52176,0.57248,0.52038,5
0.18612,0.13149,0.83529,0.037617,0.12479,0.013281,0.74991,0.7144,0.99088,0.21863,6
0.54952,0.40524,0.41674,0.43029,0.18764,0.8096,0.84459,0.85609,0.50882,0.39283,1
0.9586,0.57823,0.83942,0.70601,0.43403,0.83908,0.2038,0.33481,0.3739,0.20464,3
0.92842,0.11933,0.24652,0.88409,0.3025,0.33357,0.98144,0.70297,0.47442,0.30047,2
0.55336,0.40428,0.4179,0.43677,0.18699,0.81245,0.83965,0.85611,0.50615,0.38982,1
