@relation m-out_data_5-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute class {0,1,2}

@data
0.61762,0.90616,0.086268,0.10878,0.41261,0.74021,0.47617,0.16321,0.024338,0.90208,0.56916,0.54115,0.65413,0.67952,0.93475,0.88101,0.75698,0.90418,0.57201,0.27962,0.73354,0.98133,0.29591,0
0.064913,0.77726,0.82257,0.37875,0.31066,0.28867,0.70969,0.97958,0.5564,0.84502,0.15473,0.97918,0.37752,0.88934,0.17929,0.62577,0.2671,0.33494,0.065827,0.088932,0.66484,0.31085,0.75481,1
0.086487,0.21637,0.05369,0.29753,0.17526,0.83963,0.62196,0.31372,0.22382,0.60145,0.056349,0.42878,0.74295,0.39334,0.48516,0.34067,0.39492,0.70807,0.2884,0.1821,0.55961,0.32789,0.37598,2
0.066671,0.77756,0.82394,0.37941,0.30968,0.28727,0.70911,0.98124,0.55792,0.84563,0.15426,0.97941,0.37925,0.88956,0.17896,0.62531,0.26696,0.33439,0.067071,0.089554,0.66591,0.31066,0.75536,1
0.12531,0.22094,0.082065,0.29196,0.19529,0.85139,0.62716,0.34098,0.22602,0.60893,0.05315,0.43229,0.76085,0.40031,0.48045,0.34367,0.39113,0.75146,0.289,0.15001,0.56745,0.34252,0.40363,2
0.066527,0.778,0.82246,0.378,0.30944,0.28785,0.71245,0.9815,0.55474,0.84502,0.15585,0.97949,0.37691,0.88681,0.17726,0.624,0.26639,0.33559,0.066534,0.088818,0.66782,0.31106,0.75471,1
0.06627,0.77746,0.82241,0.37651,0.31051,0.28899,0.70975,0.9824,0.55585,0.84426,0.15726,0.97696,0.37753,0.88895,0.17731,0.62324,0.26658,0.33301,0.067144,0.087475,0.66632,0.31025,0.75621,1
0.13386,0.23469,0.10484,0.30681,0.14116,0.89273,0.63957,0.35155,0.24696,0.64489,0.064017,0.42275,0.7885,0.40003,0.46945,0.34856,0.38401,0.75897,0.31904,0.15043,0.59413,0.40899,0.36616,2
0.065798,0.77471,0.82443,0.37701,0.3114,0.28734,0.7122,0.9823,0.55512,0.8441,0.15565,0.97813,0.37926,0.89001,0.17722,0.6238,0.2659,0.33427,0.06754,0.087524,0.6682,0.31159,0.75686,1
0.098365,0.2077,0.054593,0.29858,0.19607,0.83107,0.61135,0.31208,0.23993,0.61102,0.012782,0.41101,0.759,0.39043,0.486,0.3356,0.3824,0.72208,0.24652,0.16595,0.56014,0.31655,0.38197,2
