@relation m-out_data_6-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
0.59203,0.2813,0.75058,0.23582,0.76854,0.077794,0.40534,0.030089,0.26102,0.35388,0.30833,0.8984,0.18007,0.12685,0.47782,0.88386,0.87918,0.2505,0.74789,0.30206,0.35834,0.27959,0.61035,0.81688,0.53434,4
0.43285,0.023535,0.042669,0.66459,0.51007,0.71534,0.57087,0.68543,0.79912,0.32438,0.48291,0.93757,0.16278,0.82106,0.75052,0.72488,0.12698,0.87437,0.71241,0.22805,0.80013,0.81993,0.97933,0.36384,0.40852,2
0.97386,0.94512,0.69096,0.66592,0.742,0.79548,0.28023,0.36059,0.61268,0.412,0.9514,0.18019,0.5865,0.12986,0.97026,0.59201,0.46108,0.69441,0.18027,0.12948,0.25496,0.82288,0.024654,0.2064,0.40789,7
0.69174,0.77278,0.85797,0.28693,0.87321,0.70238,0.63584,0.69417,0.83279,0.077174,0.49091,0.98811,0.26576,0.28959,0.70323,0.028135,0.40471,1.0585,0.44484,0.63238,0.77083,0.83525,0.021463,1.0233,0.80951,0
0.59145,0.27751,0.73896,0.23158,0.76184,0.077849,0.40493,0.029358,0.25129,0.35694,0.3087,0.89804,0.17725,0.13501,0.48984,0.87563,0.87624,0.26418,0.74027,0.30541,0.35596,0.28024,0.61366,0.82066,0.53313,4
0.69139,0.77019,0.4881,0.18086,0.53872,0.58895,0.41324,0.10477,0.71806,0.2297,0.049973,0.5372,0.22913,0.825,0.12999,0.53742,0.078347,0.63854,0.97308,0.56483,0.82294,0.53985,0.74323,0.027341,0.79325,3
0.97387,0.94825,0.69101,0.66808,0.74273,0.7923,0.28288,0.36117,0.61646,0.4099,0.9506,0.18034,0.58988,0.12985,0.97372,0.59276,0.4597,0.69426,0.18309,0.12939,0.25462,0.82295,0.027445,0.2036,0.41053,7
0.69561,0.76695,0.48504,0.17806,0.54023,0.58956,0.407,0.10142,0.71518,0.22937,0.048265,0.53935,0.22952,0.82069,0.12941,0.53844,0.078114,0.64142,0.97541,0.5623,0.82218,0.5377,0.74406,0.027191,0.79793,3
0.85575,0.052236,0.59146,0.56551,0.021187,0.45966,0.97291,0.46389,0.35181,0.74247,0.15928,0.89838,0.027204,0.31102,0.059302,0.41575,0.89618,0.95071,0.8775,0.97807,0.3591,0.10017,0.28176,0.33694,0.80576,6
0.38301,0.25772,0.078324,0.61605,0.23226,0.30879,0.35709,0.46039,0.027564,0.56289,0.40973,0.40797,0.10512,0.38613,0.76876,0.8484,0.92322,0.28,0.10594,0.15188,0.38264,0.53996,0.66534,0.71616,0.10365,1
