@relation m-out_data_7-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute class {0,1,2,3,4,5,6}

@data
0.62407,0.89626,0.36705,0.30121,0.50498,0.67776,0.044874,0.6027,0.86525,0.529,4
0.6239,0.89649,0.36637,0.3012,0.50751,0.67827,0.044621,0.60217,0.86404,0.52986,4
0.62548,0.89508,0.36699,0.302,0.50755,0.67946,0.047182,0.60284,0.86405,0.52975,4
0.53142,0.85144,0.55205,0.75569,0.82921,0.85954,0.34662,0.58455,0.33505,0.72209,6
0.53005,0.8506,0.55225,0.75488,0.82837,0.85934,0.34594,0.58184,0.33567,0.7223,6
0.62448,0.89573,0.36627,0.30218,0.50631,0.67824,0.045844,0.60281,0.86369,0.52827,4
0.49466,0.66709,0.77464,0.93527,0.053776,0.2256,0.69896,0.9464,0.54849,0.90301,5
0.13002,0.5697,0.30138,0.15076,0.65553,0.98858,0.50449,0.57076,0.72069,0.36633,1
0.45408,0.04292,0.36793,0.36954,0.87218,0.12577,0.15566,0.54388,0.11078,0.2416,0
0.49461,0.66689,0.77416,0.93536,0.053733,0.22586,0.69938,0.94662,0.54861,0.90308,5
0.95997,0.63736,0.68043,0.74169,0.89593,0.73397,0.74107,0.10929,0.59439,0.49776,2
0.78414,0.29334,1.0437,0.34861,0.97744,0.48714,0.12206,0.13508,0.94493,0.35053,0
0.33036,0.12651,0.55944,0.030453,0.28498,0.39346,0.49438,0.69626,0.25046,0.6266,0
0.32258,0.58074,0.72059,0.064492,0.64526,0.53703,0.70968,0.35498,0.79538,0.93546,3
0.62503,0.8976,0.36703,0.30191,0.50622,0.67907,0.046161,0.60233,0.86545,0.52909,4
0.62373,0.8966,0.36654,0.30291,0.50789,0.6778,0.043905,0.60261,0.86364,0.52941,4
0.4947,0.66705,0.77464,0.93494,0.053834,0.22574,0.6994,0.94645,0.54839,0.90308,5
0.62403,0.89558,0.36793,0.30312,0.50505,0.67893,0.044944,0.60265,0.86381,0.53085,4
0.1288,0.5701,0.30095,0.15023,0.65564,0.98915,0.50427,0.56989,0.72137,0.36676,1
0.62482,0.89594,0.36809,0.30383,0.50584,0.67776,0.045172,0.60198,0.86341,0.52983,4
0.32252,0.58081,0.72051,0.064564,0.64536,0.53715,0.70942,0.35456,0.79564,0.9352,3
0.86555,1.0986,0.68435,0.011465,0.76253,1.0312,0.61828,0.41813,0.54449,0.79281,0
0.96179,0.63662,0.67841,0.74163,0.89511,0.73375,0.74174,0.11081,0.59493,0.49785,2
0.62491,0.89589,0.36662,0.30174,0.50533,0.67802,0.046002,0.60293,0.86443,0.52875,4
0.62505,0.89581,0.36677,0.30198,0.50579,0.67864,0.045471,0.60255,0.86413,0.53096,4
0.85529,0.44319,0.12653,0.69321,0.66391,0.47463,0.46001,0.020794,0.70223,0.12122,0
0.19229,0.16039,0.89919,0.063556,0.88246,0.76471,0.56487,0.4886,0.43822,0.41518,0
0.62523,0.89612,0.36722,0.30173,0.50529,0.67896,0.046198,0.60287,0.86325,0.53135,4
0.12914,0.5697,0.30108,0.15037,0.6559,0.9891,0.5052,0.57008,0.72038,0.36555,1
0.12927,0.56987,0.30112,0.15021,0.65627,0.98908,0.50507,0.57029,0.72067,0.36564,1
0.12856,0.56872,0.30173,0.15102,0.65455,0.98901,0.50633,0.56988,0.72041,0.36585,1
0.62497,0.89631,0.3675,0.30286,0.50657,0.67839,0.044466,0.60247,0.86404,0.53005,4
0.49476,0.66688,0.77458,0.93501,0.053918,0.22557,0.69913,0.94646,0.54833,0.90323,5
0.53165,0.85053,0.55272,0.75618,0.82973,0.85932,0.34672,0.58181,0.33559,0.72234,6
0.12915,0.56943,0.30077,0.15041,0.65581,0.98906,0.50537,0.57009,0.72043,0.36549,1
0.12901,0.56967,0.30101,0.15084,0.65581,0.98911,0.50518,0.56989,0.72024,0.36563,1
0.95842,0.63583,0.67952,0.74177,0.89439,0.73264,0.7418,0.10964,0.59542,0.49787,2
0.62451,0.8985,0.36796,0.30275,0.50633,0.6798,0.045236,0.60227,0.86434,0.52965,4
0.62398,0.8958,0.36642,0.3022,0.50564,0.67871,0.046688,0.60216,0.86406,0.53005,4
0.62381,0.89596,0.36742,0.30137,0.50586,0.67788,0.045207,0.6025,0.86418,0.52954,4
0.53225,0.85083,0.55285,0.75451,0.83008,0.85966,0.34571,0.58258,0.33514,0.72199,6
0.32276,0.58104,0.7203,0.064426,0.64556,0.53733,0.70949,0.35489,0.79577,0.93552,3
0.13027,0.56847,0.30057,0.15017,0.65664,0.98903,0.50456,0.57032,0.72066,0.36673,1
0.13009,0.56997,0.30035,0.15009,0.65667,0.98997,0.50487,0.57019,0.7199,0.36485,1
0.5296,0.85044,0.55417,0.75519,0.83127,0.85996,0.34773,0.5821,0.33562,0.72293,6
0.62459,0.89549,0.36616,0.30223,0.5062,0.67816,0.045258,0.60351,0.86382,0.52874,4
0.92649,0.7507,0.92884,0.87901,0.12727,0.58442,0.35365,1.0292,1.0059,0.33776,0
0.12891,0.56969,0.30154,0.15182,0.65584,0.98852,0.50635,0.57017,0.72078,0.36519,1
0.12883,0.57,0.30108,0.15094,0.65542,0.98953,0.50476,0.56945,0.72072,0.36525,1
0.12893,0.56956,0.30133,0.15041,0.65574,0.98946,0.50488,0.57024,0.72064,0.36606,1
0.12879,0.56994,0.30066,0.15077,0.65534,0.98946,0.5052,0.57115,0.72074,0.36589,1
0.53059,0.85099,0.55208,0.75298,0.82919,0.85932,0.3463,0.58432,0.33492,0.72341,6
0.32275,0.58086,0.72052,0.064419,0.64516,0.5374,0.70969,0.35483,0.79585,0.93548,3
0.12833,0.56927,0.30181,0.14981,0.65568,0.98811,0.50562,0.56962,0.72109,0.36631,1
0.12921,0.56965,0.30116,0.15068,0.65586,0.98892,0.50527,0.57014,0.72055,0.36541,1
0.32254,0.58105,0.72037,0.064355,0.64532,0.53737,0.70938,0.35474,0.79553,0.93556,3
0.52966,0.85145,0.55182,0.75536,0.82884,0.85914,0.34636,0.58388,0.33439,0.72352,6
0.07186,0.49332,0.46134,0.38516,0.34834,0.75097,0.07157,0.060448,0.78743,0.91768,0
0.32274,0.58116,0.72074,0.064425,0.64559,0.53695,0.7093,0.35473,0.79585,0.93532,3
0.52942,0.85053,0.55178,0.75358,0.82952,0.85924,0.3478,0.58276,0.33622,0.7222,6
0.53213,0.85121,0.55328,0.75453,0.83099,0.85888,0.347,0.58199,0.33477,0.72162,6
0.32282,0.58076,0.72057,0.064236,0.64542,0.53715,0.70944,0.35454,0.79542,0.93563,3
0.32249,0.5812,0.72073,0.064649,0.64549,0.53695,0.70932,0.35452,0.79565,0.93563,3
0.62463,0.89635,0.36755,0.30186,0.50734,0.68062,0.044368,0.60263,0.86328,0.52932,4
0.62555,0.89549,0.3679,0.30331,0.50556,0.67847,0.046718,0.60278,0.86318,0.52873,4
0.62502,0.89591,0.36625,0.30226,0.50633,0.6786,0.044066,0.60245,0.86338,0.53125,4
0.12902,0.56969,0.30103,0.15066,0.65612,0.98921,0.50457,0.57041,0.72051,0.36514,1
0.62412,0.89635,0.36683,0.30145,0.50641,0.67766,0.047032,0.60223,0.86334,0.53053,4
0.1289,0.56997,0.30146,0.14986,0.65593,0.98902,0.50491,0.57007,0.7207,0.36531,1
0.32251,0.58082,0.7204,0.064532,0.64525,0.53705,0.70935,0.35474,0.79536,0.93556,3
0.3229,0.58082,0.72065,0.064328,0.6453,0.53727,0.70933,0.3548,0.7956,0.93526,3
0.76795,0.47144,0.67022,0.76385,0.63815,0.79182,0.11349,0.82455,0.11127,0.4882,0
0.12872,0.56954,0.30231,0.15091,0.6557,0.98902,0.50582,0.56956,0.72129,0.36527,1
0.62553,0.89662,0.36722,0.30205,0.50647,0.67864,0.045295,0.60257,0.86404,0.53121,4
0.12936,0.56958,0.3008,0.14998,0.65559,0.98937,0.50569,0.57014,0.72038,0.3657,1
0.12972,0.56953,0.30079,0.14997,0.65531,0.98853,0.5054,0.57055,0.72001,0.36586,1
0.32253,0.58102,0.72062,0.064397,0.6453,0.53707,0.7094,0.3547,0.79555,0.93562,3
0.49472,0.66675,0.77436,0.93496,0.05356,0.22582,0.69914,0.94688,0.54833,0.9031,5
0.32265,0.58107,0.72039,0.064542,0.64512,0.53724,0.70952,0.35459,0.79585,0.93531,3
0.32275,0.58107,0.72073,0.064732,0.6455,0.53705,0.70923,0.35465,0.79582,0.93549,3
