@relation m-out_data_8-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute class {0,1,2,3,4,5}

@data
0.30283,0.90641,0.30812,0.93502,0.32672,0.43795,0.83397,0.2624,0.63003,0.94477,0.66291,0.13121,0.071941,0.93075,0.96357,0.72423,0.42685,0.53849,0.9337,2
0.85831,0.039758,0.97117,0.46151,0.35605,0.38936,0.91236,0.30629,0.33167,0.89532,0.50877,0.66137,0.68432,0.30379,0.61536,0.18291,0.29841,0.2803,0.28543,1
0.83954,0.034375,0.97269,0.46296,0.37927,0.3943,0.93641,0.2783,0.32674,0.90392,0.46508,0.66129,0.66632,0.33282,0.60484,0.19753,0.26228,0.27058,0.27192,1
0.16826,0.89931,0.49559,0.13203,0.3683,0.56156,0.43405,0.89696,0.77101,0.6373,0.73306,0.934,0.29745,0.49862,0.37201,0.89848,0.66732,0.90242,0.76504,5
0.29139,0.90674,0.29303,0.9277,0.33975,0.42361,0.8448,0.26086,0.63804,0.93597,0.66283,0.14002,0.062067,0.9454,0.97317,0.72033,0.43725,0.53908,0.93283,2
0.15961,0.89546,0.49811,0.13711,0.36782,0.56301,0.43168,0.90278,0.76727,0.63674,0.72367,0.92987,0.29391,0.50041,0.36985,0.89938,0.66473,0.90195,0.76631,5
0.83412,0.032381,0.9676,0.46507,0.3704,0.39265,0.93134,0.26673,0.33171,0.89656,0.4698,0.66967,0.66666,0.33599,0.60282,0.20849,0.26717,0.26848,0.26014,1
0.29142,0.90639,0.30981,0.9342,0.34041,0.43577,0.83245,0.27332,0.62774,0.93513,0.6578,0.13155,0.071444,0.943,0.96327,0.73416,0.43982,0.53631,0.94453,2
0.83526,0.039463,0.97894,0.46209,0.36776,0.41084,0.9204,0.26527,0.33551,0.8927,0.46623,0.67232,0.65631,0.33168,0.60951,0.19503,0.26274,0.27653,0.26773,1
0.30417,0.90727,0.30488,0.92718,0.32866,0.43515,0.83327,0.27367,0.6286,0.94747,0.66121,0.13066,0.063375,0.92575,0.98025,0.73747,0.43626,0.52621,0.94545,2
