@relation m-out_data_9-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
0.57165,0.27068,0.26128,0.16743,0.48422,0.9094,0.9494,0.25001,0.84585,0.30254,0.063271,6
0.56693,0.85975,0.20849,0.28014,0.69934,0.054473,0.79015,0.92734,0.80745,0.050613,0.34858,5
0.32888,0.41177,0.81397,0.36437,0.31776,0.80612,0.95882,0.40901,0.048316,0.6052,0.57418,3
0.59805,0.036707,0.19204,0.4772,0.80936,0.50596,0.3503,0.093131,0.71742,0.7656,0.22291,0
0.56954,0.30732,0.26086,0.17079,0.46728,0.91023,0.9356,0.25347,0.8275,0.31704,0.075658,6
0.56554,0.85256,0.21916,0.27739,0.69833,0.054101,0.79535,0.92738,0.81245,0.059243,0.34909,5
0.56228,0.85475,0.22093,0.27583,0.69601,0.058181,0.79348,0.9208,0.81225,0.061019,0.34705,5
0.58754,0.31232,0.26206,0.18202,0.47304,0.92689,0.9397,0.26297,0.84333,0.33423,0.081178,6
0.35533,0.26507,0.78222,0.89936,0.16079,0.75691,0.62361,0.61436,0.36421,0.65582,0.28998,10
0.87757,0.65366,0.65094,0.23294,0.17797,0.75287,0.031691,0.81135,0.32229,0.58666,0.51189,8
0.585,0.30886,0.26365,0.17081,0.4729,0.90638,0.94032,0.25073,0.84245,0.32112,0.086771,6
0.32,0.4213,0.81047,0.36206,0.31724,0.78781,0.97089,0.42458,0.040019,0.61261,0.54974,3
0.59488,0.1883,0.48084,0.72283,0.083375,0.17848,0.11608,0.83832,0.47816,0.78164,0.17105,9
0.59415,0.31234,0.28994,0.16675,0.48017,0.91323,0.95482,0.25148,0.83913,0.31765,0.045594,6
0.59284,0.18802,0.47783,0.72654,0.085266,0.1738,0.11858,0.84034,0.47778,0.78281,0.17451,9
0.59383,0.18779,0.47925,0.72932,0.087226,0.17517,0.11858,0.83788,0.47786,0.7802,0.17519,9
0.34995,0.26308,0.78306,0.9005,0.16246,0.75406,0.62373,0.61432,0.36359,0.65745,0.28977,10
0.56046,0.85399,0.21,0.27243,0.69252,0.057112,0.79671,0.92808,0.80761,0.058782,0.34087,5
0.8624,0.91829,0.86705,0.11837,0.69099,0.17655,0.46007,0.94289,0.94818,0.64318,0.6729,4
0.32439,0.41372,0.81083,0.36003,0.30479,0.76836,0.96888,0.41783,0.053398,0.60982,0.54411,3
0.31802,0.4225,0.81409,0.36191,0.31835,0.78378,0.96785,0.42081,0.041948,0.61228,0.55405,3
0.58494,0.29069,0.25184,0.17889,0.46657,0.90963,0.93586,0.26259,0.83421,0.31435,0.068006,6
0.56398,0.85388,0.21824,0.27612,0.69393,0.06473,0.79257,0.9194,0.8172,0.054394,0.34454,5
0.32828,0.40886,0.82135,0.36754,0.33151,0.78318,0.96983,0.42084,0.044727,0.60824,0.55438,3
0.046155,0.060188,0.13387,0.56448,0.20738,0.47938,0.090576,0.72431,0.49264,0.50899,0.5743,0
0.56692,0.85664,0.22147,0.28107,0.69529,0.0603,0.79526,0.925,0.8115,0.061921,0.34699,5
0.27581,0.83981,0.24745,0.30436,0.79549,0.24588,0.71388,0.6811,0.18765,0.10066,0.33431,7
0.57858,0.85354,0.19663,0.29186,0.69056,0.070773,0.77347,0.92409,0.82548,0.062997,0.35186,5
0.58949,0.1882,0.47976,0.72851,0.086202,0.17207,0.11376,0.83538,0.47745,0.78571,0.17493,9
0.71132,0.79774,0.53531,0.26407,0.26732,0.58494,0.63679,0.35401,0.98813,0.52357,0.24817,2
0.35282,0.26349,0.78313,0.89855,0.16228,0.75537,0.62325,0.61357,0.36517,0.65518,0.29047,10
0.48899,0.56226,0.5962,0.83331,0.20497,1.0424,0.75592,0.59698,0.60206,0.6394,0.44588,0
0.71129,0.79853,0.53472,0.26337,0.26417,0.58238,0.63711,0.35195,0.98743,0.52407,0.24865,2
0.59907,0.18567,0.48361,0.72593,0.087649,0.17473,0.1153,0.84275,0.47569,0.78481,0.1714,9
0.27702,0.83878,0.24385,0.30517,0.79725,0.24578,0.70893,0.68144,0.19269,0.10426,0.33203,7
0.87313,0.90542,0.86281,0.11605,0.68755,0.17025,0.45668,0.93614,0.94292,0.64183,0.67065,4
