@relation moving_data_1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute class {0,1,2,3,4}

@data
0.83416,0.97734,0.93016,0.024875,3
0.17499,0.63531,0.86191,0.031195,0
0.83391,0.97669,0.93045,0.026354,3
0.26368,0.66913,0.54835,0.83725,1
0.2653,0.66966,0.54835,0.83822,1
0.26464,0.66912,0.54912,0.83802,1
0.79068,0.67597,0.49406,0.91312,4
0.83483,0.97723,0.92993,0.025757,3
0.26345,0.66954,0.54948,0.83887,1
0.83369,0.97706,0.9311,0.025994,3
0.21715,0.61843,0.8634,0.30934,2
0.26447,0.66806,0.54963,0.83985,1
0.26338,0.6695,0.54898,0.8381,1
0.26409,0.66805,0.54863,0.83709,1
0.83402,0.97742,0.93098,0.027323,3
0.21488,0.62543,0.85887,0.30971,2
0.26378,0.67019,0.549,0.83846,1
0.20979,0.62595,0.86543,0.30677,2
0.9749,0.27599,0.79281,0.8062,0
0.21664,0.62431,0.86106,0.31296,2
0.78408,0.64925,0.5062,0.91114,4
0.8339,0.97702,0.9314,0.025028,3
0.83423,0.97677,0.93073,0.02513,3
0.26412,0.66786,0.54881,0.83648,1
0.21077,0.62715,0.85767,0.30974,2
0.26387,0.66898,0.54946,0.83675,1
0.83439,0.97705,0.93121,0.024037,3
0.26383,0.66861,0.54958,0.83671,1
0.79044,0.66168,0.50932,0.91634,4
0.83382,0.97667,0.93092,0.025264,3
0.26315,0.66841,0.54952,0.83714,1
0.22711,0.79956,0.38964,1.0198,0
0.26392,0.6686,0.54859,0.83843,1
0.26349,0.66766,0.54874,0.83714,1
0.26354,0.66852,0.54886,0.83643,1
0.21356,0.62688,0.86599,0.31371,2
0.78939,0.6725,0.501,0.90836,4
0.2157,0.61986,0.86032,0.3073,2
0.26353,0.66895,0.54819,0.83706,1
0.26464,0.66969,0.54845,0.83724,1
0.26431,0.66858,0.55188,0.8356,1
0.26416,0.66863,0.54894,0.83809,1
0.22003,0.62326,0.86077,0.31408,2
0.26415,0.66765,0.54969,0.83742,1
0.83449,0.97619,0.9304,0.025517,3
0.83475,0.97732,0.93217,0.025423,3
0.26421,0.6688,0.54853,0.83797,1
0.78463,0.6643,0.5041,0.91198,4
0.83387,0.97734,0.93064,0.024998,3
0.22014,0.6258,0.85896,0.30864,2
0.26447,0.66894,0.5498,0.83813,1
0.21748,0.62627,0.86046,0.31379,2
0.26325,0.66804,0.54886,0.83785,1
0.79376,0.66752,0.50152,0.91064,4
0.26383,0.66675,0.54934,0.83792,1
0.26548,0.66911,0.5496,0.838,1
0.26468,0.66813,0.5493,0.8382,1
0.26184,0.66777,0.54947,0.83837,1
0.26314,0.66752,0.54912,0.83776,1
0.83432,0.97815,0.93082,0.025987,3
0.83438,0.978,0.93098,0.024888,3
0.26325,0.66926,0.54944,0.8372,1
0.7834,0.6685,0.50156,0.91869,4
0.78419,0.67185,0.50049,0.91142,4
0.26424,0.66788,0.55067,0.83743,1
0.26335,0.66786,0.55014,0.8373,1
0.78435,0.66972,0.50159,0.9226,4
0.83359,0.97718,0.93104,0.025071,3
0.78667,0.66542,0.5019,0.91341,4
0.83316,0.9782,0.93123,0.025129,3
0.26288,0.66911,0.54904,0.83695,1
0.78858,0.66775,0.51075,0.92786,4
0.83352,0.97709,0.9298,0.02518,3
0.26483,0.66801,0.54898,0.83846,1
0.2627,0.66769,0.54911,0.83806,1
0.26312,0.66916,0.5492,0.8373,1
0.79613,0.66993,0.5021,0.91115,4
0.21469,0.62584,0.85716,0.31219,2
0.26324,0.66939,0.54984,0.8378,1
0.7878,0.67692,0.50049,0.9173,4
0.83425,0.97807,0.93138,0.024445,3
0.26345,0.66824,0.54915,0.83837,1
0.26458,0.66773,0.54912,0.83708,1
0.83349,0.9774,0.93122,0.024926,3
0.77431,0.66037,0.51166,0.91488,4
0.26383,0.66887,0.5491,0.83825,1
0.78137,0.67572,0.5044,0.92052,4
0.26261,0.66798,0.54911,0.83823,1
0.83343,0.97803,0.93126,0.026071,3
0.26456,0.66769,0.54923,0.83674,1
0.83289,0.97776,0.9299,0.02514,3
0.26329,0.66779,0.54915,0.83775,1
0.26422,0.67015,0.54941,0.83799,1
0.7792,0.66763,0.50394,0.91382,4
0.2654,0.66758,0.55015,0.83838,1
0.83397,0.97765,0.93004,0.025517,3
0.2638,0.6692,0.54903,0.83888,1
0.83323,0.97856,0.93017,0.024076,3
0.78719,0.68073,0.50557,0.91685,4
0.26281,0.6711,0.55028,0.83892,1
0.26201,0.66862,0.55021,0.84036,1
0.83286,0.97828,0.93091,0.025098,3
0.78572,0.6724,0.50329,0.91389,4
0.2626,0.66833,0.55046,0.83927,1
0.21397,0.62696,0.857,0.31578,2
0.26366,0.66706,0.54918,0.83884,1
0.78238,0.66291,0.50756,0.92082,4
0.26189,0.66649,0.55054,0.83884,1
0.77907,0.66738,0.50473,0.91722,4
0.26175,0.66788,0.5495,0.83888,1
0.26237,0.66824,0.54975,0.8397,1
0.83399,0.97809,0.93059,0.02413,3
0.77237,0.6657,0.51234,0.91239,4
0.2623,0.66882,0.55029,0.83885,1
0.83323,0.97934,0.93042,0.023926,3
0.783,0.66804,0.50643,0.91447,4
0.78212,0.66863,0.50493,0.9149,4
0.26252,0.66633,0.54994,0.83869,1
0.26195,0.66745,0.5505,0.839,1
0.21916,0.62131,0.85371,0.30747,2
0.26189,0.66744,0.55067,0.83836,1
0.26207,0.66675,0.54949,0.83896,1
0.21589,0.62447,0.86142,0.31103,2
0.83325,0.97836,0.93133,0.025909,3
0.81658,0.66836,0.35846,0.4217,0
