@relation moving_data_13-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
0.41792,0.89476,0.51119,2
0.79151,0.070713,0.10377,6
0.30134,0.2181,0.35623,1
0.41698,0.89499,0.51061,2
0.029918,0.13669,0.61386,3
0.3026,0.21791,0.35459,1
0.25157,0.2728,0.50941,5
0.78867,0.07108,0.10627,6
0.30239,0.21869,0.35625,1
0.24861,0.26917,0.50836,5
0.30346,0.21799,0.35583,1
0.30276,0.22072,0.35415,1
0.027173,0.13473,0.6151,3
0.032282,0.13496,0.61638,3
0.78915,0.072454,0.10429,6
0.3036,0.2174,0.35265,1
0.25044,0.27028,0.51152,5
0.30288,0.21778,0.3544,1
0.25076,0.26923,0.50737,5
0.30252,0.21737,0.35422,1
0.30146,0.21929,0.35552,1
0.24917,0.271,0.50929,5
0.25038,0.27004,0.51048,5
0.030825,0.13582,0.61469,3
0.46772,0.23945,0.04203,4
0.03671,0.13496,0.60993,3
0.46734,0.23845,0.041048,4
0.55286,0.59505,0.15368,7
0.24942,0.27014,0.50958,5
0.78913,0.075399,0.10489,6
0.46922,0.23949,0.041188,4
0.30396,0.21729,0.35479,1
0.25071,0.27193,0.50861,5
0.46829,0.23915,0.041489,4
0.24796,0.26973,0.51162,5
0.2489,0.2697,0.50898,5
0.25163,0.2719,0.50876,5
0.30133,0.2189,0.35437,1
0.11284,0.77663,0.89895,0
0.78947,0.072868,0.10419,6
0.78953,0.073252,0.10369,6
0.031309,0.13525,0.61504,3
0.25284,0.2721,0.50994,5
0.30268,0.21697,0.35712,1
0.030806,0.13691,0.61386,3
0.25165,0.26993,0.51021,5
0.30165,0.21961,0.35657,1
0.30142,0.21702,0.35433,1
0.55124,0.59464,0.15802,7
0.79219,0.070196,0.10225,6
0.25153,0.27092,0.50981,5
0.30167,0.21873,0.35452,1
0.78845,0.072998,0.10385,6
0.03076,0.13716,0.61409,3
0.30062,0.21793,0.35488,1
0.79035,0.072102,0.10418,6
0.41787,0.89635,0.51094,2
0.30185,0.21939,0.35603,1
0.55117,0.59496,0.15831,7
0.30186,0.2166,0.35508,1
0.02949,0.13171,0.61665,3
0.2516,0.27106,0.50868,5
0.033891,0.13338,0.61569,3
0.30301,0.21915,0.35431,1
0.78929,0.073009,0.10439,6
0.2517,0.2706,0.5074,5
0.46895,0.23897,0.040534,4
0.41654,0.89453,0.51218,2
0.29986,0.21896,0.35672,1
0.30039,0.21563,0.35688,1
0.25109,0.27008,0.51019,5
0.030853,0.13479,0.61161,3
0.55153,0.59386,0.15525,7
0.30195,0.21508,0.35724,1
0.25191,0.27209,0.50674,5
0.25023,0.26934,0.50712,5
0.46716,0.23969,0.04028,4
0.032268,0.13481,0.6134,3
0.25191,0.27141,0.50973,5
0.41692,0.89402,0.50787,2
0.026792,0.13614,0.61032,3
0.28026,0.41819,0.78378,0
0.25141,0.27128,0.50717,5
0.7908,0.072379,0.10554,6
0.25131,0.26965,0.50885,5
0.033548,0.13721,0.61586,3
0.02999,0.13529,0.6136,3
0.30095,0.21942,0.35635,1
0.30043,0.21869,0.35579,1
0.55029,0.59284,0.15664,7
0.5516,0.59422,0.15742,7
0.29987,0.21828,0.35585,1
0.30397,0.21836,0.35807,1
1.058,0.23422,0.24694,0
0.0307,0.13612,0.6139,3
0.30128,0.21674,0.35739,1
0.066747,0.064702,0.44825,0
0.030547,0.13568,0.61364,3
0.46807,0.23864,0.042042,4
0.3015,0.21672,0.35563,1
0.78977,0.073227,0.1046,6
0.3003,0.21816,0.35659,1
0.25142,0.27197,0.5075,5
0.78931,0.072819,0.10444,6
0.25286,0.27272,0.50758,5
0.03024,0.13685,0.61398,3
0.55094,0.59385,0.15574,7
0.46984,0.24033,0.040774,4
0.25368,0.27225,0.50813,5
0.46935,0.24021,0.04182,4
0.30122,0.21811,0.35659,1
0.30019,0.21713,0.35658,1
0.030505,0.13569,0.61382,3
0.30079,0.2177,0.35699,1
0.25256,0.26999,0.50854,5
0.30115,0.2173,0.35735,1
0.52431,0.57992,0.45493,0
0.30007,0.21704,0.35573,1
0.47028,0.24116,0.042408,4
0.79319,0.075268,0.10389,6
0.25153,0.27061,0.50737,5
0.25168,0.27139,0.50777,5
0.029535,0.13591,0.61471,3
0.55047,0.59488,0.15663,7
0.78949,0.071787,0.10595,6
0.031419,0.13936,0.61017,3
0.79155,0.071562,0.10493,6
0.46969,0.23973,0.04098,4
0.031602,0.1374,0.61469,3
0.463,0.43196,0.91,0
0.30028,0.21849,0.3571,1
0.55107,0.59352,0.15629,7
0.25157,0.27141,0.5093,5
0.029978,0.13546,0.61374,3
0.78895,0.070304,0.10817,6
0.78876,0.070813,0.10187,6
0.25238,0.27116,0.50756,5
0.47101,0.23948,0.042254,4
0.028793,0.13602,0.61278,3
0.46965,0.24073,0.04308,4
0.028528,0.13565,0.61449,3
0.029843,0.14028,0.61592,3
0.78973,0.074429,0.10658,6
0.029823,0.14284,0.61727,3
0.54952,0.59283,0.15521,7
0.47081,0.24031,0.042291,4
0.54929,0.59442,0.15723,7
0.47262,0.24049,0.042359,4
0.4706,0.24053,0.042968,4
0.47206,0.239,0.041792,4
0.3009,0.21623,0.35772,1
0.25116,0.26977,0.50872,5
0.29961,0.21805,0.35641,1
0.030351,0.13738,0.61317,3
0.25246,0.27084,0.50772,5
0.41686,0.894,0.50995,2
0.47161,0.23936,0.041849,4
0.41574,0.89426,0.51043,2
0.25246,0.27223,0.50778,5
0.030768,0.13512,0.61247,3
0.55067,0.59352,0.1552,7
0.78953,0.071409,0.10556,6
0.25271,0.27207,0.50755,5
0.30093,0.21835,0.35746,1
0.028076,0.13971,0.6156,3
0.30029,0.21771,0.35835,1
0.78957,0.07181,0.10721,6
0.29973,0.21699,0.35862,1
0.30037,0.21872,0.3595,1
0.79055,0.071613,0.1048,6
0.79216,0.06936,0.1052,6
0.30102,0.21726,0.35892,1
0.2516,0.27227,0.50637,5
0.026084,0.13874,0.61524,3
0.30105,0.21855,0.35801,1
0.78912,0.071584,0.10585,6
0.54956,0.59567,0.15396,7
0.30137,0.21558,0.35765,1
0.47205,0.24093,0.043247,4
0.55134,0.59377,0.15502,7
0.47223,0.23871,0.042671,4
0.55093,0.59395,0.15405,7
0.41697,0.89357,0.50939,2
0.25185,0.27054,0.50794,5
0.29941,0.21681,0.35937,1
0.02824,0.13704,0.61192,3
0.41607,0.89338,0.50798,2
0.25354,0.27011,0.5085,5
0.03021,0.13772,0.61033,3
0.032156,0.13914,0.60775,3
0.30302,0.21774,0.35738,1
0.78906,0.071018,0.10551,6
0.030386,0.1373,0.61401,3
0.30029,0.21845,0.35801,1
0.25355,0.26969,0.50722,5
0.29972,0.21818,0.35837,1
0.47237,0.23955,0.042598,4
0.47099,0.24142,0.041514,4
0.47291,0.23941,0.043621,4
0.33078,0.23042,0.36889,0
0.4731,0.24094,0.043678,4
0.47286,0.24112,0.043773,4
0.4727,0.24078,0.044088,4
0.29986,0.21637,0.35877,1
0.47247,0.24159,0.044169,4
0.47196,0.24106,0.043676,4
0.027672,0.14116,0.6165,3
0.78886,0.069699,0.10662,6
0.029827,0.13633,0.61143,3
0.25194,0.26993,0.5087,5
0.7899,0.072275,0.10508,6
0.47342,0.24017,0.044965,4
0.30148,0.21717,0.35942,1
0.44963,0.50255,0.62067,0
0.29946,0.21955,0.35878,1
0.55141,0.59493,0.15521,7
0.25381,0.27102,0.50869,5
0.25348,0.27284,0.50664,5
0.47568,0.24155,0.045475,4
0.29932,0.21784,0.35935,1
0.30212,0.21661,0.35896,1
0.30055,0.21945,0.35876,1
0.2539,0.27143,0.50893,5
0.79113,0.074416,0.10596,6
0.30079,0.21724,0.35883,1
0.47485,0.24073,0.044729,4
0.2523,0.27088,0.5083,5
0.54915,0.59481,0.15416,7
0.25365,0.26911,0.50792,5
0.55153,0.59447,0.15588,7
0.25342,0.27018,0.50862,5
0.29882,0.2172,0.35769,1
0.253,0.27109,0.50618,5
0.5506,0.59593,0.15493,7
0.46205,0.59854,0.059926,0
0.25194,0.26996,0.50912,5
0.47479,0.24189,0.044932,4
0.78986,0.071773,0.10572,6
0.55037,0.59543,0.15389,7
0.029886,0.14079,0.61664,3
0.47537,0.24245,0.04309,4
0.47508,0.24139,0.044485,4
0.3006,0.21768,0.35815,1
0.47529,0.24235,0.043049,4
0.11639,0.67198,0.41797,0
0.78702,0.066984,0.10858,6
0.031132,0.13627,0.61468,3
0.30163,0.2172,0.3584,1
0.30059,0.21543,0.3597,1
0.031329,0.13433,0.61788,3
0.25285,0.27153,0.50683,5
0.79066,0.070285,0.10695,6
0.78785,0.068383,0.1067,6
0.033655,0.13341,0.61466,3
0.29917,0.217,0.35982,1
0.79016,0.070766,0.10701,6
0.79041,0.070785,0.10747,6
0.54999,0.59609,0.15408,7
0.2515,0.27153,0.50632,5
0.47431,0.24141,0.044963,4
0.79079,0.071197,0.10649,6
0.79043,0.06959,0.10759,6
0.97042,1.002,0.76226,0
0.79217,0.071443,0.10952,6
0.47683,0.2418,0.043956,4
0.79108,0.071323,0.1041,6
0.79061,0.070533,0.1069,6
0.29853,0.21783,0.35837,1
0.79096,0.072079,0.10739,6
0.41612,0.89189,0.50914,2
0.031543,0.13608,0.61618,3
0.54941,0.59765,0.1541,7
0.028518,0.13815,0.61271,3
0.25185,0.27078,0.50743,5
0.47543,0.24256,0.044431,4
0.029252,0.13911,0.61338,3
0.29783,0.2179,0.36087,1
0.02537,0.13791,0.61543,3
0.32775,0.74759,0.81518,0
0.78862,0.070452,0.10691,6
0.79169,0.071066,0.11118,6
0.29839,0.21785,0.35931,1
0.25266,0.27125,0.50748,5
0.47532,0.24263,0.044983,4
0.79019,0.070737,0.10717,6
0.027583,0.13745,0.61863,3
0.79046,0.069637,0.10863,6
0.79183,0.071254,0.10449,6
0.028283,0.13916,0.61535,3
0.54971,0.59687,0.15372,7
0.41619,0.89177,0.50708,2
0.028443,0.13777,0.61287,3
0.02955,0.13839,0.61246,3
0.25236,0.27083,0.5066,5
0.7903,0.069543,0.10826,6
0.14605,0.98406,0.87452,0
0.78964,0.071035,0.11006,6
0.55029,0.59614,0.15443,7
0.25585,0.27274,0.50596,5
0.029215,0.13869,0.6126,3
0.028554,0.13869,0.61046,3
0.25339,0.27066,0.50548,5
0.79142,0.069208,0.10942,6
0.25198,0.27128,0.50722,5
0.29852,0.21916,0.35946,1
0.54976,0.59575,0.15338,7
0.47599,0.24083,0.046536,4
0.79331,0.068857,0.1073,6
0.47609,0.24319,0.044572,4
0.29829,0.21886,0.35951,1
0.55046,0.59596,0.1536,7
0.029255,0.13754,0.61567,3
0.79042,0.070272,0.10854,6
