@relation moving_data_15-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute class {0,1,2,3,4,5,6}

@data
0.88258,0.19933,0.39278,0.59964,0.3354,0.19839,0.93936,0.66668,0.85072,0.737,0.73499,0.069337,5
0.51641,0.82056,0.47747,0.63439,0.35281,0.96279,0.79329,0.7704,0.76018,0.10718,0.88508,0.047278,1
0.46576,0.79239,0.5368,0.59152,0.35653,0.9109,0.71702,0.66831,0.73381,0.061564,0.89598,0.068364,1
0.91218,0.2013,0.39922,0.60354,0.36438,0.18266,0.94065,0.64866,0.85214,0.71211,0.69208,0.063446,5
0.23996,0.35317,0.47873,0.8453,0.20646,0.73694,0.98194,0.58474,0.61435,0.36143,0.6805,0.24253,3
0.65076,0.83867,0.83123,0.84872,0.15686,0.13871,0.77767,0.059395,0.74586,0.31229,0.99666,0.067163,0
0.86902,0.17873,0.33602,0.6403,0.31299,0.15452,0.92534,0.65475,0.88286,0.70626,0.69815,-0.0015086,5
0.46343,0.79949,0.53717,0.59336,0.33799,0.93074,0.73511,0.67326,0.72915,0.065973,0.86844,0.066611,1
0.32256,0.35636,0.92064,0.40281,0.90297,0.93187,0.80573,0.43813,0.16132,0.43017,0.21334,0.22331,6
0.10323,0.23683,0.5317,0.94746,0.16939,0.76479,0.60128,0.25538,0.83095,0.27876,0.53904,0.32726,2
0.47737,0.79521,0.52054,0.59131,0.3456,0.93582,0.73284,0.67777,0.72687,0.079691,0.86437,0.061932,1
0.21554,0.40121,0.55247,0.95344,0.17932,0.74444,0.79435,0.57501,0.66672,0.42266,0.7207,0.16434,3
0.88315,0.19314,0.3906,0.59512,0.33196,0.20346,0.92049,0.68095,0.84153,0.739,0.76463,0.068835,5
0.90403,0.13815,0.3669,0.63032,0.39319,0.11819,0.90515,0.62815,0.85433,0.71899,0.69539,0.11164,5
0.060632,0.3062,0.54287,0.8582,0.12777,0.66997,0.54914,0.31007,0.78923,0.21973,0.60453,0.42471,2
0.85249,0.16175,0.38093,0.5648,0.31171,0.1897,0.92609,0.65367,0.87904,0.74281,0.75036,0.098436,5
0.30822,0.33291,0.94298,0.39285,0.84309,0.9088,0.78901,0.45551,0.12298,0.41523,0.26859,0.22318,6
0.20279,0.40473,0.46074,0.87045,0.13651,0.72978,0.8562,0.60948,0.59813,0.40584,0.66683,0.13273,3
0.88439,0.17228,0.3904,0.60432,0.35635,0.20611,0.9394,0.67109,0.87847,0.73128,0.71389,0.06135,5
0.90768,0.17096,0.39634,0.56895,0.34292,0.21346,0.99063,0.66657,0.87639,0.70772,0.72947,0.030509,5
0.4352,0.76754,0.51522,0.59443,0.38502,0.88661,0.70872,0.64818,0.64993,0.076123,0.89264,0.11067,1
0.88851,0.21362,0.38903,0.59743,0.33416,0.18361,0.93546,0.66333,0.86606,0.74024,0.77769,0.095787,5
0.33314,0.37485,0.94602,0.45455,0.83854,0.96787,0.80505,0.37619,0.10106,0.43935,0.21638,0.17074,6
0.46353,0.79931,0.53703,0.59344,0.33812,0.93094,0.73509,0.67329,0.72904,0.065792,0.86825,0.0667,1
0.14799,0.38805,0.45238,0.84837,0.11611,0.78941,0.90871,0.60032,0.55965,0.40299,0.67018,0.17087,3
0.28548,0.39841,0.85832,0.41582,0.91642,1.0041,0.86078,0.48492,0.23747,0.39595,0.25516,0.23399,6
0.86501,0.21599,0.39848,0.57954,0.33514,0.20069,0.96699,0.66762,0.85846,0.71941,0.72974,0.071384,5
0.056873,0.24423,0.44056,0.91438,0.096312,0.61769,0.55507,0.20098,0.80749,0.19332,0.59731,0.32608,2
0.86334,0.21421,0.44785,0.62885,0.33697,0.19026,0.94487,0.69278,0.86563,0.7221,0.71323,0.073028,5
0.31495,0.24814,0.84918,0.29499,0.7608,0.87498,0.79671,0.38847,0.083536,0.30315,0.12411,0.19085,6
0.19687,0.39626,0.45862,0.87742,0.14086,0.73102,0.85005,0.59936,0.59931,0.40557,0.66769,0.13274,3
0.87439,0.19847,0.34922,0.61328,0.29746,0.16924,1.01,0.6036,0.85982,0.76757,0.74773,0.085994,5
0.46952,0.78735,0.55934,0.6166,0.38968,0.95548,0.74264,0.72896,0.75325,0.053646,0.88655,0.084206,1
0.30812,0.29621,0.87046,0.42992,0.75138,0.89365,0.72626,0.35554,0.17551,0.39194,0.17996,0.18065,6
0.50766,0.84859,0.52085,0.56068,0.39297,0.87055,0.73219,0.65292,0.71489,0.045859,0.84424,0.072824,1
0.46279,0.80023,0.53582,0.59178,0.33467,0.93099,0.7341,0.67271,0.72494,0.066195,0.8687,0.065421,1
0.87358,0.19953,0.3961,0.59494,0.32002,0.19608,0.94422,0.6611,0.86173,0.72051,0.73954,0.063093,5
0.46459,0.7988,0.53883,0.59259,0.33816,0.93111,0.73681,0.67241,0.72766,0.063379,0.87024,0.066897,1
0.20402,0.39971,0.4805,0.89135,0.17794,0.71687,0.88234,0.61195,0.62164,0.36334,0.66608,0.10013,3
0.47924,0.8109,0.53485,0.58876,0.33189,0.92403,0.71484,0.68619,0.74279,0.063771,0.8747,0.078033,1
