@relation moving_data_16-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute class {0,1,2,3,4,5,6,7,8}

@data
0.071522,0.071877,0.2246,0.6295,0.87744,0.77777,0.48284,0.28854,0.40668,0.85457,0.33159,0.54951,0.85322,1
0.47288,0.97367,0.22417,0.10954,0.071494,0.66457,0.80647,0.77531,0.078202,0.70126,0.70693,0.53564,0.22265,5
0.69521,0.35426,0.47835,0.91511,0.61068,0.58219,0.34175,0.54378,0.21826,0.28569,0.39586,0.43615,0.45041,0
0.70247,0.79267,0.12616,0.45708,0.90317,0.25735,0.12503,0.47518,0.32845,0.8559,0.051622,0.32348,0.058662,4
0.96301,0.33372,0.37416,0.78146,0.077085,0.11614,0.5195,0.44038,0.67034,0.32969,0.69857,0.59685,0.18729,8
0.69253,0.66675,0.4852,0.21905,0.66425,0.66122,0.071576,0.70538,0.8977,0.55065,0.52356,0.55822,0.59024,3
0.084447,0.080339,0.21936,0.6307,0.88706,0.77687,0.48135,0.29815,0.41192,0.85034,0.3369,0.55184,0.8534,1
0.47288,0.97161,0.22406,0.11059,0.077642,0.66625,0.80302,0.78253,0.073339,0.68815,0.70776,0.5288,0.21456,5
0.068925,0.074134,0.21983,0.63387,0.88327,0.77414,0.4825,0.29032,0.40032,0.85346,0.33806,0.5535,0.85504,1
0.62719,0.8571,0.14986,0.81795,0.070614,0.81925,0.33164,0.48301,0.81841,0.40944,0.035453,0.67197,0.81583,7
0.96162,0.33632,0.36503,0.77771,0.069471,0.11087,0.51877,0.43553,0.66834,0.33554,0.70047,0.6003,0.19105,8
0.071606,0.072082,0.22292,0.62425,0.89466,0.76733,0.47998,0.29345,0.40626,0.85602,0.32973,0.5569,0.8521,1
0.69865,0.74305,0.59596,0.22182,0.29814,0.62417,0.92004,0.51617,0.44628,0.81823,0.14958,0.81598,0.5193,6
0.6969,0.74977,0.5928,0.21738,0.29566,0.62971,0.92292,0.51569,0.44294,0.81723,0.14995,0.81367,0.51486,6
0.072549,0.089341,0.22144,0.62216,0.89094,0.76795,0.47836,0.29794,0.41519,0.85536,0.33815,0.55713,0.85219,1
0.69249,0.66384,0.47793,0.21885,0.66754,0.66019,0.075344,0.70367,0.88615,0.55674,0.52547,0.56814,0.59593,3
0.70085,0.77166,0.11077,0.44859,0.87693,0.25548,0.10846,0.48348,0.32664,0.85976,0.044651,0.33039,0.066571,4
0.96388,0.33333,0.3725,0.77841,0.070849,0.10416,0.52075,0.43981,0.66389,0.32782,0.7063,0.59913,0.18913,8
0.30631,0.93244,0.69748,0.3359,0.36197,0.1834,0.56464,0.15366,0.44718,0.38221,0.38323,0.49228,0.26655,2
0.69997,0.79894,0.11974,0.46548,0.88569,0.264,0.0999,0.49297,0.31786,0.85956,0.015045,0.33689,0.079112,4
0.48413,0.96644,0.22267,0.10378,0.066341,0.66453,0.8197,0.77448,0.069479,0.69725,0.69803,0.52436,0.22286,5
0.47946,0.96224,0.22225,0.12403,0.073379,0.66999,0.81387,0.77973,0.071998,0.70979,0.70608,0.52515,0.21812,5
0.9589,0.32626,0.36996,0.78817,0.07387,0.10539,0.51912,0.44829,0.66745,0.33438,0.70526,0.59853,0.18155,8
0.4806,0.96041,0.22498,0.11343,0.075181,0.66189,0.81734,0.77824,0.069424,0.69762,0.69882,0.5239,0.22537,5
0.47934,0.96851,0.22228,0.1113,0.072229,0.6637,0.83067,0.78411,0.074881,0.70524,0.70523,0.52309,0.22568,5
0.69768,0.74219,0.59181,0.22456,0.30089,0.62675,0.91584,0.51738,0.4411,0.81484,0.14707,0.80918,0.51918,6
0.075918,0.065321,0.22225,0.62524,0.88544,0.78286,0.48487,0.29689,0.40594,0.85927,0.32951,0.55496,0.85049,1
0.51971,0.76133,1.0055,0.11242,0.36635,0.043113,1.1154,1.0218,0.23344,0.25019,0.13187,0.5533,0.068638,0
0.2969,0.93025,0.69947,0.33377,0.36986,0.18739,0.55719,0.14542,0.44582,0.37303,0.37249,0.48299,0.26256,2
0.69214,0.78516,0.10545,0.44474,0.88554,0.25565,0.094382,0.48273,0.33941,0.86761,0.031769,0.31974,0.048748,4
0.073324,0.085087,0.22327,0.6374,0.88224,0.77588,0.47524,0.29883,0.40958,0.85631,0.33648,0.55017,0.85707,1
0.70416,0.66511,0.48027,0.22989,0.67269,0.6664,0.087401,0.69539,0.89615,0.56366,0.51526,0.5556,0.59334,3
0.070061,0.074158,0.22176,0.62803,0.88398,0.77998,0.47572,0.288,0.41189,0.84502,0.33974,0.55273,0.84709,1
0.70332,0.66041,0.48092,0.23064,0.67447,0.67052,0.070318,0.69894,0.89628,0.5593,0.51675,0.56208,0.59577,3
0.48144,0.96126,0.23084,0.10774,0.064601,0.66085,0.81592,0.77218,0.087837,0.70429,0.70066,0.52216,0.22377,5
0.7019,0.66825,0.47454,0.22236,0.66075,0.67086,0.083405,0.70034,0.89146,0.55776,0.51278,0.55821,0.5886,3
0.70039,0.77222,0.10876,0.44743,0.88698,0.26127,0.11282,0.48327,0.33435,0.85464,0.034843,0.33414,0.074043,4
0.069819,0.071874,0.22295,0.61575,0.88554,0.77835,0.47734,0.29409,0.41194,0.8501,0.33613,0.55089,0.85673,1
0.48204,0.95722,0.2175,0.115,0.068505,0.66861,0.81585,0.78793,0.08971,0.69991,0.70055,0.51459,0.2243,5
0.96042,0.34076,0.37067,0.78776,0.079317,0.11342,0.51164,0.43939,0.66816,0.32094,0.70392,0.59938,0.17024,8
0.85724,0.22295,0.54971,0.97869,0.41145,0.22099,0.12653,0.33853,0.7495,0.082969,0.89041,0.566,0.43437,0
0.074413,0.080895,0.21856,0.63429,0.89577,0.78481,0.46802,0.29918,0.40887,0.85946,0.33325,0.55225,0.85744,1
0.075709,0.069353,0.22747,0.61967,0.87495,0.77541,0.47679,0.30052,0.4055,0.85646,0.34541,0.55913,0.85211,1
0.071697,0.072984,0.22218,0.61756,0.89181,0.77479,0.46973,0.30122,0.40714,0.85712,0.33428,0.55206,0.85439,1
0.70939,0.24224,0.84906,0.65394,0.76056,0.29181,0.4531,0.64492,0.24711,1.1219,0.38018,0.17998,0.4679,0
0.068603,0.080529,0.22295,0.6283,0.88455,0.77931,0.4759,0.29161,0.41009,0.84912,0.33546,0.5571,0.84559,1
0.48306,0.96571,0.22103,0.1068,0.073769,0.66271,0.83264,0.77815,0.076916,0.70469,0.70849,0.51413,0.21604,5
0.63135,0.85545,0.14686,0.81749,0.07524,0.81003,0.33535,0.48475,0.8136,0.40587,0.037929,0.66307,0.80907,7
0.28377,0.9565,0.70947,0.3157,0.38345,0.20522,0.54598,0.16168,0.44281,0.3601,0.38638,0.44418,0.28026,2
0.7037,0.76722,0.10749,0.42257,0.89496,0.25985,0.1128,0.48401,0.32874,0.85974,0.04849,0.31327,0.068504,4
0.29315,0.92788,0.68811,0.33311,0.37179,0.18935,0.5581,0.14996,0.44828,0.37091,0.37162,0.48712,0.2596,2
0.62544,0.85086,0.15276,0.8126,0.078592,0.8229,0.33188,0.48564,0.81365,0.40764,0.027998,0.66985,0.81534,7
0.69446,0.65209,0.48313,0.2188,0.66869,0.67025,0.071777,0.68982,0.88906,0.55613,0.52226,0.56919,0.5934,3
0.70428,0.66145,0.46886,0.22261,0.6824,0.65976,0.083107,0.69528,0.89782,0.55544,0.5243,0.55897,0.5982,3
0.7002,0.67909,0.48369,0.22165,0.66246,0.67093,0.080803,0.69363,0.88945,0.56035,0.52448,0.5668,0.59281,3
0.069326,0.075234,0.22037,0.62837,0.88202,0.77874,0.48779,0.29621,0.41031,0.85428,0.34085,0.54995,0.8541,1
0.70623,0.66423,0.48411,0.22423,0.66879,0.67434,0.072995,0.69939,0.89215,0.55412,0.51786,0.55008,0.59641,3
0.69848,0.67584,0.47996,0.2159,0.65847,0.66743,0.075759,0.69395,0.89,0.55757,0.52173,0.56231,0.59335,3
0.47384,0.96431,0.22086,0.10245,0.078801,0.67005,0.80846,0.78146,0.068655,0.69416,0.70846,0.52074,0.22684,5
0.70857,0.66649,0.47988,0.21656,0.66134,0.66977,0.085414,0.70492,0.89323,0.55278,0.51957,0.55758,0.59788,3
0.70225,0.77213,0.11104,0.44277,0.88678,0.26122,0.11138,0.48224,0.33097,0.85664,0.03793,0.33198,0.072116,4
0.70124,0.77237,0.11133,0.4448,0.88664,0.26217,0.11192,0.47802,0.33057,0.85363,0.037129,0.33324,0.073261,4
0.95996,0.33245,0.37148,0.77585,0.074796,0.11031,0.51692,0.44917,0.67068,0.33021,0.70236,0.60169,0.18058,8
0.072371,0.076546,0.22558,0.61934,0.88554,0.77108,0.48,0.30226,0.39665,0.85859,0.33406,0.55461,0.85132,1
0.702,0.77082,0.11448,0.43883,0.88761,0.26055,0.11096,0.48301,0.3358,0.86064,0.043259,0.33046,0.079604,4
0.69753,0.66561,0.47798,0.22411,0.66813,0.67181,0.0757,0.6964,0.89296,0.56351,0.51805,0.55415,0.60005,3
0.95919,0.32227,0.36947,0.77766,0.079103,0.11181,0.51663,0.43818,0.67044,0.33058,0.71354,0.58578,0.18199,8
0.70227,0.77325,0.11031,0.44273,0.88645,0.26014,0.11078,0.48288,0.33237,0.85689,0.037644,0.3321,0.073412,4
0.70231,0.65923,0.47976,0.23064,0.66616,0.67205,0.077717,0.69606,0.89467,0.54834,0.5146,0.54955,0.59463,3
0.081681,0.082736,0.22064,0.62825,0.88564,0.779,0.47499,0.29643,0.40437,0.85796,0.3377,0.5563,0.86275,1
0.06804,0.074988,0.2188,0.62453,0.89541,0.77794,0.4928,0.28622,0.41098,0.85934,0.32346,0.54225,0.8538,1
0.47802,0.96139,0.22159,0.11105,0.079939,0.67129,0.82261,0.77851,0.073948,0.70198,0.70055,0.52361,0.22721,5
0.47589,0.96787,0.22813,0.11064,0.072154,0.65906,0.81412,0.78341,0.071755,0.69613,0.69748,0.51367,0.21477,5
0.69649,0.65166,0.47739,0.21913,0.67005,0.66703,0.080683,0.70001,0.89762,0.56258,0.51179,0.55379,0.59445,3
0.073031,0.076817,0.22542,0.62616,0.88372,0.77754,0.48796,0.29275,0.40577,0.8563,0.33255,0.55331,0.85508,1
0.63005,0.85152,0.14669,0.80372,0.07659,0.80997,0.3322,0.47168,0.80768,0.41012,0.031608,0.66059,0.8147,7
0.48283,0.97312,0.22982,0.11164,0.074336,0.66969,0.81953,0.78001,0.080333,0.69182,0.70904,0.52305,0.22939,5
0.2595,0.14707,0.68831,0.82547,0.037896,0.11461,0.13455,0.51412,0.1667,0.66016,0.71187,0.54004,0.40188,0
0.70223,0.65991,0.48173,0.2254,0.67616,0.6704,0.070314,0.68982,0.88857,0.55264,0.52682,0.55884,0.59263,3
0.59029,1.0422,0.098743,0.21767,0.05776,0.31476,0.35906,0.38238,1.0311,0.34579,0.78618,0.47495,0.075954,0
0.48629,0.96125,0.21712,0.11118,0.075619,0.65453,0.82352,0.78247,0.072917,0.70715,0.70391,0.53441,0.21772,5
0.6939,0.67068,0.47961,0.22393,0.66297,0.66976,0.077788,0.70379,0.89481,0.56786,0.52276,0.55233,0.58899,3
0.4086,0.12457,0.66858,0.8137,0.078419,0.59753,0.54097,0.12585,0.49038,0.82541,0.17517,0.17192,0.69717,0
0.7078,0.67231,0.48081,0.2268,0.66433,0.66215,0.067002,0.70453,0.88939,0.55785,0.5152,0.55751,0.59595,3
