@relation moving_data_17-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute class {0,1,2,3,4,5,6,7,8}

@data
0.9501,0.95042,0.15436,0.87167,0.20591,0.025396,0.51205,1
0.56482,0.33359,0.51334,0.41117,0.051305,0.74251,0.74374,7
0.336,0.15293,0.20596,0.25654,0.66949,0.69142,0.97686,2
0.56615,0.337,0.5106,0.40832,0.051414,0.74202,0.74694,7
0.94952,0.95035,0.15306,0.87341,0.2061,0.026396,0.51213,1
0.97373,0.59048,0.74235,0.66784,0.71728,0.17881,0.69203,5
0.31335,0.69487,0.60828,0.47027,0.23415,0.9495,0.26536,4
0.84416,0.58495,0.30683,0.51235,0.43281,0.64196,0.94141,6
0.89901,0.66605,0.61475,0.48686,0.56458,0.46305,0.56278,3
0.84256,0.58945,0.30868,0.51191,0.43257,0.63976,0.93702,6
0.30602,0.69245,0.61904,0.45991,0.23142,0.94763,0.25645,4
0.33573,0.51482,0.4876,0.55731,0.30621,0.69258,0.23006,8
0.89818,0.66606,0.61428,0.48735,0.56364,0.46122,0.56236,3
0.33648,0.51581,0.48839,0.55598,0.30562,0.69411,0.23112,8
0.94952,0.95198,0.15415,0.87263,0.206,0.025955,0.513,1
0.89923,0.66594,0.61443,0.48661,0.5638,0.46184,0.56256,3
0.56569,0.33344,0.51372,0.40994,0.051875,0.74379,0.74419,7
0.89863,0.66672,0.6146,0.48635,0.56343,0.46189,0.56341,3
0.33338,0.51468,0.48659,0.55895,0.30482,0.69502,0.23138,8
0.56455,0.33362,0.51272,0.41109,0.050932,0.74273,0.74384,7
0.89866,0.66545,0.61382,0.48779,0.56325,0.46303,0.56233,3
0.89858,0.66599,0.615,0.48673,0.56419,0.46225,0.56304,3
0.31225,0.69864,0.62019,0.45803,0.23057,0.95044,0.25904,4
0.94942,0.95067,0.15392,0.87183,0.20546,0.026428,0.51348,1
0.89872,0.6668,0.61554,0.48759,0.56342,0.46195,0.56313,3
0.84352,0.58895,0.30858,0.51105,0.4318,0.64032,0.94062,6
0.56286,0.33449,0.51384,0.41226,0.049885,0.74231,0.74284,7
0.89851,0.66614,0.61491,0.48769,0.56394,0.46296,0.56407,3
0.33633,0.15172,0.20629,0.25722,0.67067,0.69337,0.97612,2
0.97288,0.58639,0.74452,0.66625,0.7145,0.17817,0.69098,5
0.33305,0.51376,0.48711,0.55471,0.31105,0.69769,0.23662,8
0.30828,0.69475,0.6181,0.46042,0.23095,0.94701,0.25673,4
0.33703,0.15404,0.20512,0.25619,0.66733,0.69634,0.97641,2
0.33445,0.51344,0.48773,0.55762,0.30591,0.69356,0.23024,8
0.56272,0.33256,0.51361,0.40847,0.050187,0.73899,0.74344,7
0.33936,0.15124,0.20671,0.25432,0.66862,0.69317,0.97595,2
0.29554,0.69615,0.60212,0.4612,0.23755,0.94825,0.24717,4
0.95038,0.95121,0.1546,0.87281,0.2046,0.025383,0.512,1
0.94859,0.95154,0.15383,0.87271,0.20562,0.025312,0.51229,1
0.34543,0.5109,0.48445,0.5684,0.30689,0.70691,0.23495,8
0.3005,0.70111,0.62152,0.46902,0.2283,0.94432,0.26866,4
0.95003,0.9511,0.15344,0.8728,0.20555,0.024957,0.51195,1
0.94977,0.95028,0.15459,0.8718,0.20562,0.025286,0.51315,1
0.94914,0.95207,0.15407,0.87177,0.20499,0.025807,0.51299,1
0.34538,0.51829,0.4957,0.55624,0.31678,0.69017,0.23274,8
0.97304,0.58943,0.74517,0.6665,0.71847,0.17946,0.69306,5
0.94932,0.95109,0.1544,0.87239,0.20495,0.025725,0.51322,1
0.317,0.68767,0.61769,0.45531,0.23555,0.9521,0.26152,4
0.33503,0.51466,0.48763,0.55744,0.30604,0.69414,0.23064,8
0.33492,0.15305,0.20941,0.25895,0.66798,0.69279,0.97692,2
0.89781,0.66626,0.61399,0.48773,0.5641,0.46188,0.5637,3
0.97242,0.58916,0.74548,0.66784,0.71484,0.18072,0.69167,5
0.31143,0.69483,0.6204,0.46291,0.23432,0.94432,0.25232,4
0.29535,0.6885,0.61764,0.44786,0.2287,0.94111,0.25791,4
0.94898,0.95128,0.15308,0.87315,0.2046,0.026338,0.5133,1
0.89755,0.66695,0.61379,0.48758,0.56352,0.46274,0.56299,3
0.94984,0.95191,0.15419,0.87325,0.20438,0.025893,0.51266,1
0.94944,0.95188,0.15248,0.8723,0.20496,0.026185,0.51306,1
0.89799,0.66622,0.61491,0.48739,0.56309,0.46267,0.56371,3
0.30588,0.69241,0.61827,0.46387,0.23238,0.94966,0.25685,4
0.30449,0.69717,0.61527,0.46909,0.23453,0.94871,0.25429,4
0.84479,0.58345,0.30521,0.51181,0.43614,0.64177,0.93979,6
0.26639,0.3668,0.58984,0.76494,0.75948,0.65336,0.12535,0
0.89818,0.6656,0.614,0.4878,0.56342,0.46297,0.56347,3
0.89877,0.66541,0.61384,0.48669,0.56476,0.4612,0.5625,3
0.30424,0.70049,0.61858,0.46365,0.23455,0.95248,0.25667,4
0.71487,0.47727,0.64251,0.33127,0.33121,0.78348,0.14008,0
0.3004,0.82308,0.76445,0.71947,0.06904,0.90857,0.59572,0
0.89815,0.6653,0.61374,0.48751,0.56495,0.46286,0.5626,3
0.8457,0.58858,0.30846,0.50924,0.43683,0.64491,0.93759,6
0.34214,0.51145,0.50496,0.56,0.30661,0.67569,0.22737,8
0.84418,0.58429,0.30838,0.51123,0.43411,0.641,0.94199,6
0.89822,0.66539,0.61489,0.48708,0.56461,0.46228,0.5635,3
0.33198,0.51667,0.48497,0.55749,0.30648,0.69587,0.23153,8
0.84733,0.58963,0.3055,0.51298,0.43725,0.63977,0.9425,6
0.335,0.15361,0.20544,0.25923,0.67007,0.69536,0.97454,2
