@relation moving_data_18-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
0.056526,0.25949,0.35217,0.26062,0.25202,0.83349,0.7465,0.72597,-0.0030147,0.84056,2
0.95295,0.85519,0.59143,0.62002,0.68956,0.71584,0.33154,0.28477,0.59387,0.6623,3
0.33913,0.92939,0.37892,0.59898,0.23451,0.11071,0.40927,0.37735,0.069023,0.89575,6
0.95241,0.85523,0.59127,0.62106,0.69283,0.71587,0.33235,0.28498,0.59387,0.66378,3
0.64167,0.11765,0.28551,0.4543,0.52117,0.215,0.21423,0.14315,0.76087,0.66468,1
0.067474,0.61321,0.41066,0.78664,0.1458,0.93497,0.41389,0.28356,0.87093,0.16376,5
0.62462,0.7296,0.59185,0.14267,0.8389,0.20652,0.25919,0.67133,0.56788,0.52697,4
0.61936,0.73919,0.58802,0.13247,0.83883,0.22352,0.27126,0.67497,0.57395,0.52361,4
0.62688,0.74313,0.5971,0.15206,0.83559,0.21221,0.25184,0.66222,0.56783,0.52326,4
0.95467,0.85565,0.59225,0.62151,0.69317,0.71351,0.33393,0.28364,0.59521,0.66066,3
0.61962,0.73345,0.60016,0.13783,0.82318,0.21488,0.26305,0.66251,0.57192,0.51048,4
0.95386,0.85769,0.59441,0.61946,0.69141,0.71362,0.33117,0.28392,0.59637,0.66234,3
0.61875,0.74014,0.60365,0.14383,0.8293,0.21922,0.25996,0.66139,0.57121,0.52286,4
0.072623,0.61893,0.40737,0.78688,0.14257,0.92782,0.40504,0.28704,0.87686,0.16728,5
0.068858,0.61595,0.4085,0.78351,0.14393,0.92251,0.40352,0.28182,0.87466,0.15424,5
0.31888,0.93262,0.33339,0.55634,0.26411,0.091319,0.42393,0.35383,0.05181,0.93649,6
0.404,0.49984,0.14412,0.33398,0.23764,0.81045,0.26115,0.97646,0.40594,0.83375,7
0.95361,0.85609,0.59425,0.61909,0.69081,0.71332,0.33107,0.28751,0.59792,0.66056,3
0.32427,0.91145,0.36087,0.60312,0.25173,0.14842,0.42319,0.36211,0.047683,0.91988,6
0.64525,0.11844,0.27958,0.4556,0.526,0.21062,0.21641,0.13959,0.75917,0.66193,1
0.32227,0.90395,0.33152,0.55025,0.23309,0.12114,0.45281,0.34051,0.0503,0.85816,6
0.6199,0.74393,0.60212,0.12636,0.83368,0.21454,0.25745,0.66621,0.56748,0.52404,4
0.33083,0.92089,0.3918,0.60094,0.2392,0.11075,0.40859,0.38012,0.073251,0.908,6
0.62092,0.73575,0.58302,0.14407,0.84114,0.2141,0.27433,0.66705,0.57582,0.51289,4
0.62729,0.73721,0.60826,0.15733,0.83681,0.208,0.2586,0.66752,0.57419,0.50747,4
0.34463,0.91746,0.38481,0.59874,0.23499,0.13265,0.39361,0.37206,0.077102,0.89507,6
0.4248,0.882,0.40446,0.5488,0.25864,0.10158,0.37135,0.44738,0.1109,0.86638,6
0.61515,0.73379,0.60567,0.14284,0.83874,0.21036,0.25954,0.67723,0.58098,0.52354,4
0.071135,0.61433,0.4079,0.78632,0.14548,0.92044,0.40735,0.28802,0.88442,0.16441,5
0.61533,0.74403,0.6017,0.15035,0.836,0.21577,0.25595,0.67182,0.56731,0.5311,4
0.64314,0.11922,0.28555,0.45241,0.52399,0.21363,0.21449,0.14313,0.7613,0.66574,1
0.62769,0.7344,0.59667,0.14621,0.83541,0.21378,0.2544,0.66261,0.56553,0.5214,4
0.071143,0.61407,0.40394,0.78414,0.15085,0.92574,0.40619,0.28923,0.88035,0.17081,5
0.637,0.10768,0.28318,0.44715,0.51758,0.21455,0.20989,0.14708,0.75472,0.66984,1
0.95304,0.85563,0.59348,0.62117,0.68918,0.71674,0.33215,0.28689,0.59478,0.66243,3
0.62193,0.74472,0.60306,0.14848,0.84374,0.21677,0.26344,0.66741,0.57529,0.5214,4
0.075005,0.61557,0.40698,0.79128,0.14215,0.9307,0.40335,0.28994,0.87335,0.16776,5
0.62272,0.74234,0.597,0.13424,0.83417,0.21792,0.26504,0.66339,0.57026,0.52611,4
0.64221,0.11874,0.28142,0.45164,0.5249,0.21154,0.21299,0.14105,0.761,0.6658,1
0.071715,0.61948,0.40755,0.78686,0.14314,0.92721,0.40506,0.28703,0.87698,0.16722,5
0.64319,0.11928,0.28756,0.45646,0.5243,0.21542,0.21293,0.14208,0.76153,0.66712,1
0.64328,0.11902,0.28498,0.45238,0.52481,0.2142,0.21454,0.14304,0.76122,0.6658,1
0.63972,0.12129,0.28076,0.44675,0.52701,0.20958,0.21833,0.14133,0.75734,0.67035,1
