@relation moving_data_19-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute class {0,1,2,3}

@data
0.10257,0.44403,0.21353,0.34476,0.67587,0.71789,0.85678,0.10102,0.89951,0.76521,0.61377,0.48831,0.74234,0.18104,0.9185,0.24573,0.22995,0.54336,0.85764,0.50411,0.73999,0
0.5339,0.54895,0.4891,0.61889,0.44167,0.21,0.63584,0.71223,0.75058,0.87881,0.57845,0.54939,0.52843,0.1905,0.25348,0.54768,0.25029,0.85627,0.11645,0.72689,0.48244,1
0.75703,0.43255,0.66967,0.30487,0.8869,0.34993,0.56637,0.12311,0.34044,0.55984,0.21729,0.8161,0.43089,0.31446,0.20957,0.4466,0.50604,0.57345,0.11383,0.43059,0.44125,2
0.65649,0.31513,0.6837,0.3729,0.98809,0.29418,0.47052,0.12029,0.14327,0.48859,0.23212,0.82437,0.59502,0.19625,-0.12919,0.49914,0.63262,0.54682,-0.055234,0.44176,0.27793,2
0.81737,0.47047,0.66067,0.21709,1.1103,0.29811,0.49753,0.22621,0.27613,0.46931,0.30089,0.72293,0.4708,0.3431,0.32839,0.43689,0.55594,0.63224,0.0050621,0.46019,0.61503,2
0.59733,0.49082,0.54502,0.66141,0.42208,0.21167,0.68418,0.84035,0.79709,0.84709,0.64064,0.57774,0.55272,0.13192,0.19662,0.60127,0.21713,0.82667,0.038479,0.75761,0.40492,1
0.80954,0.41622,0.83106,0.27281,1.0343,0.37953,0.75566,0.2097,0.6116,0.56463,0.051092,0.84198,0.39733,0.33007,0.20675,0.45688,0.39396,0.78285,0.086632,0.14243,0.45874,2
0.56735,0.58006,0.56906,0.67818,0.46741,0.23657,0.72237,0.82748,0.78616,0.93029,0.63856,0.58721,0.60311,0.21424,0.23047,0.59999,0.23074,0.81878,0.14994,0.79715,0.45706,1
0.65934,0.36678,0.63986,0.28654,0.92215,0.27697,0.46139,0.21882,0.67552,0.34207,-0.002563,0.89234,0.39125,0.38265,0.072988,0.6395,0.72171,0.34073,0.15361,0.36272,0.26882,2
0.47582,0.52739,0.45685,0.63962,0.48433,0.22721,0.59086,0.79187,0.80464,0.8806,0.62013,0.5376,0.49733,0.20447,0.22845,0.51807,0.16516,0.70992,0.057861,0.74759,0.4085,1
0.20111,0.11251,0.75779,0.55086,0.64737,1.0753,0.4349,0.51587,0.93743,0.72514,0.96895,0.3279,0.86242,0.67473,0.31924,0.21887,0.20696,0.34321,0.88041,0.21131,0.86985,0
0.81011,0.43649,0.75904,0.34248,0.93761,0.34834,0.63985,-0.11911,0.38482,0.41536,0.3379,0.73632,0.25173,0.30282,0.2449,0.36939,0.6939,0.49595,0.1326,0.37423,0.55519,2
0.10913,0.3189,0.31276,0.22683,0.38467,0.77654,0.3146,0.65052,0.092493,0.83466,0.88274,0.37334,0.69492,0.57787,0.59051,0.56631,0.87845,0.45392,0.10986,0.26061,0.35868,3
0.11756,0.31369,0.39188,0.23089,0.35956,0.82135,0.35899,0.68925,0.1157,0.77895,0.88276,0.3312,0.72184,0.53573,0.59889,0.5672,0.94729,0.39042,0.1847,0.23833,0.3655,3
0.99639,0.48299,0.51589,0.17966,1.0081,0.34041,0.41809,0.18109,0.30412,0.61545,0.3278,0.69682,0.37487,0.40835,0.40007,0.3069,0.2352,0.42412,0.34322,0.10568,0.27798,2
0.14933,0.34198,0.28791,0.21568,0.34369,0.75678,0.26355,0.60727,0.072102,0.73122,0.88062,0.31877,0.68355,0.57038,0.51554,0.49925,0.82822,0.47496,0.12016,0.18905,0.31076,3
0.8286,0.46021,0.64279,0.48542,0.76666,0.29231,0.62135,0.2733,0.35636,0.69734,0.15263,0.66262,0.48585,0.32357,0.28618,0.51272,0.38007,0.52068,0.093631,0.42706,0.48258,2
0.75733,0.41239,0.7402,0.32278,0.8796,0.3108,0.55678,0.12246,0.34941,0.55526,0.20411,0.8402,0.46003,0.3577,0.22706,0.436,0.4429,0.54637,0.10708,0.42441,0.44882,2
0.79926,0.449,0.59454,0.3702,0.79544,0.3539,0.46427,0.14078,0.37541,0.49534,0.27147,0.77098,0.38116,0.42239,0.15084,0.46384,0.46111,0.51783,0.17555,0.4893,0.51965,2
