@relation moving_data_2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute class {0,1,2,3,4,5,6,7,8}

@data
0.37437,0.63666,0.77237,0.52289,0.70003,7
0.37969,0.63444,0.77065,0.5237,0.70046,7
0.33509,0.067585,0.078306,0.55594,0.85122,6
0.33503,0.071163,0.075243,0.54718,0.84833,6
0.47834,0.96316,0.68484,0.71728,0.88683,1
0.33523,0.073555,0.067502,0.56344,0.84836,6
0.63795,0.89424,0.81427,0.4082,0.30211,5
0.52321,0.03903,0.63782,0.15182,0.2227,3
0.47822,0.96539,0.71684,0.71289,0.89514,1
0.62339,0.96479,0.1592,0.56015,0.54762,8
0.37726,0.63389,0.77247,0.52196,0.69901,7
0.32938,0.082073,0.071029,0.53772,0.86175,6
0.48768,0.9691,0.69767,0.70001,0.89527,1
0.63648,0.95015,0.15567,0.5541,0.54287,8
0.52425,0.040823,0.6418,0.15214,0.22465,3
0.52162,0.040782,0.6365,0.15427,0.2251,3
0.63424,0.88991,0.81485,0.40904,0.30286,5
0.37259,0.63478,0.7708,0.52224,0.70215,7
0.19009,0.030947,0.70647,0.48622,0.72061,4
0.47791,0.98426,0.69918,0.69526,0.89473,1
0.373,0.63677,0.7731,0.52465,0.69992,7
0.63145,0.96696,0.14593,0.55055,0.55407,8
0.33416,0.071435,0.073921,0.5601,0.84905,6
0.63389,0.8952,0.81304,0.40904,0.30389,5
0.62522,0.96218,0.14129,0.56068,0.55448,8
0.63563,0.89098,0.81241,0.40915,0.303,5
0.32154,0.082271,0.077766,0.55851,0.84346,6
0.63538,0.89207,0.81464,0.40844,0.29962,5
0.51338,0.37453,0.56061,0.89165,0.64895,2
0.37589,0.63564,0.77066,0.52311,0.69946,7
0.63956,0.8917,0.81547,0.40893,0.30091,5
0.52268,0.042567,0.6347,0.15477,0.22499,3
0.37347,0.63506,0.77141,0.52714,0.69934,7
0.37461,0.6347,0.77091,0.52219,0.70023,7
0.50196,0.99296,0.70121,0.70752,0.88683,1
0.63727,0.89029,0.81281,0.40934,0.30203,5
0.49361,0.971,0.71291,0.69852,0.89061,1
0.37541,0.63458,0.77167,0.52391,0.69873,7
0.46225,0.95476,0.72112,0.6988,0.8972,1
0.48945,0.94671,0.69835,0.70442,0.91449,1
0.33925,0.075299,0.075537,0.55475,0.84831,6
0.52286,0.044653,0.63578,0.15236,0.22472,3
0.3269,0.081161,0.070927,0.55462,0.85387,6
0.37542,0.63659,0.77229,0.52461,0.6987,7
0.52567,0.039853,0.63477,0.15192,0.224,3
0.63667,0.89337,0.81358,0.40917,0.29919,5
0.63484,0.89289,0.81371,0.40846,0.30314,5
0.37331,0.63681,0.771,0.52339,0.70128,7
0.34058,0.060386,0.0686,0.54452,0.8505,6
0.63382,0.89333,0.8141,0.40954,0.30476,5
0.16011,0.05987,0.72099,0.51254,0.72994,4
0.6331,0.88921,0.81434,0.40949,0.3034,5
0.33378,0.071914,0.061062,0.57223,0.8481,6
0.37479,0.63581,0.773,0.52415,0.69977,7
