@relation moving_data_4-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute class {0,1,2,3,4}

@data
0.59996,0.96437,0.13753,0.098971,0.70145,0.43819,0.1044,0.067013,0.23393,1
0.80305,0.56808,0.20019,0.80066,0.69659,0.90022,0.96762,0.84311,0.92852,3
0.80366,0.56512,0.20118,0.80463,0.69484,0.901,0.97068,0.86824,0.92367,3
0.60077,0.9668,0.13227,0.10088,0.70081,0.43375,0.099964,0.066684,0.23277,1
0.60704,0.96485,0.13406,0.099104,0.70059,0.42461,0.099813,0.071572,0.22781,1
0.80629,0.56951,0.20242,0.80223,0.70004,0.90058,0.96384,0.86006,0.93166,3
0.5898,0.97514,0.13035,0.092892,0.7115,0.43205,0.11847,0.067887,0.23042,1
0.59624,0.96487,0.13645,0.098076,0.7012,0.43216,0.10397,0.0661,0.23222,1
0.6215,0.36058,0.40665,0.41077,0.94197,0.31025,0.9705,0.64292,0.40998,4
0.62434,0.35954,0.40177,0.40637,0.94741,0.30874,0.97752,0.64576,0.39957,4
0.64349,0.36223,0.4017,0.41094,0.93032,0.28392,0.95913,0.64405,0.39482,4
0.60403,0.97989,0.12976,0.10043,0.69891,0.42532,0.093359,0.072614,0.22766,1
0.64149,0.35535,0.39224,0.40535,0.94192,0.31195,0.97656,0.64185,0.39339,4
0.62788,0.35982,0.40184,0.41029,0.93094,0.30573,0.97056,0.63115,0.41,4
0.066823,0.30736,0.6186,0.43357,0.5512,0.88063,0.32705,0.57124,0.71149,0
0.6025,0.96255,0.13454,0.09301,0.68592,0.43875,0.092207,0.066336,0.23963,1
0.64012,0.36159,0.40749,0.38962,0.93095,0.29513,0.97181,0.62926,0.39911,4
0.46197,0.97775,0.75037,0.095499,0.56534,0.69796,0.97545,0.27724,0.79476,0
0.64387,0.36133,0.40741,0.38866,0.92818,0.2932,0.95272,0.62913,0.39743,4
0.5954,0.96065,0.12247,0.0998,0.69546,0.43714,0.11031,0.059128,0.23313,1
0.61248,0.95499,0.12673,0.13383,0.71259,0.4326,0.084347,0.076762,0.23104,1
0.85288,0.947,0.47304,0.67695,0.15403,0.89425,0.92615,0.17737,0.67491,2
0.59471,0.96254,0.13089,0.10145,0.70294,0.42982,0.10036,0.065101,0.23422,1
0.60042,0.96542,0.13307,0.098726,0.7021,0.43337,0.10131,0.065652,0.23399,1
0.62927,0.36314,0.39119,0.41435,0.94738,0.30645,0.97642,0.62651,0.3985,4
0.60135,0.96669,0.13311,0.10067,0.7027,0.43254,0.09965,0.066875,0.23337,1
0.86591,0.94463,0.47371,0.68518,0.15855,0.91862,0.92486,0.15556,0.67322,2
0.79906,0.57038,0.20086,0.7967,0.69656,0.89814,0.96737,0.86093,0.92897,3
0.60228,0.95774,0.14204,0.090736,0.68288,0.42596,0.094669,0.06182,0.23601,1
0.79318,0.55695,0.19356,0.79411,0.70243,0.89598,0.96081,0.85649,0.91466,3
0.84142,0.93101,0.46043,0.66026,0.16835,0.89584,0.91669,0.17522,0.67671,2
0.60491,0.96388,0.1363,0.099431,0.69734,0.43757,0.10159,0.063854,0.23633,1
0.59844,0.97045,0.14013,0.11266,0.69213,0.43112,0.096823,0.076812,0.23442,1
0.59281,0.95129,0.10898,0.11406,0.68362,0.42581,0.11584,0.050035,0.23014,1
0.79807,0.57068,0.20139,0.80174,0.69796,0.8982,0.96818,0.86248,0.93058,3
0.61779,0.38111,0.39044,0.40473,0.94192,0.30899,0.97384,0.65231,0.39439,4
0.59193,0.97107,0.13122,0.11257,0.70772,0.43972,0.10466,0.065903,0.23504,1
0.64445,0.37464,0.40405,0.38851,0.94709,0.2951,0.9544,0.65165,0.39807,4
0.60057,0.96495,0.13296,0.09994,0.70093,0.43366,0.10049,0.066188,0.23393,1
