@relation moving_data_5-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute class {0,1,2,3,4,5,6,7,8}

@data
0.35232,0.70348,0.091349,0.19155,0.81982,0.44719,0.56855,0.69534,0.059261,0.33287,0.84945,0.72284,0.59105,0.44683,0.30256,0.30906,6
0.31763,0.83939,0.35908,0.19918,0.095492,0.82861,0.28566,0.076783,0.073919,0.76081,0.65238,0.73503,0.15214,0.65441,0.17877,0.4352,3
0.40213,0.5025,0.4244,0.074086,0.23872,0.48413,0.82064,0.74041,0.65641,0.82976,0.91188,0.3386,0.33398,0.071992,0.24553,0.078682,4
0.36455,0.8361,0.40738,0.16423,0.076607,0.84645,0.34766,0.063127,0.091972,0.75039,0.65965,0.73608,0.18748,0.6603,0.16817,0.4458,3
0.33642,0.66255,0.084436,0.16593,0.83007,0.43895,0.57283,0.6655,0.1185,0.35811,0.9165,0.68813,0.5675,0.50052,0.33929,0.3422,6
0.75,0.49896,0.25139,0.58552,0.16003,0.32133,0.5849,0.85571,0.75512,0.1738,0.76016,0.093363,0.9074,0.90834,0.4127,0.3318,8
0.24414,0.32091,0.76257,0.60533,0.84593,0.067027,0.41103,0.76426,0.7447,0.24563,0.52431,0.58535,0.80736,0.42736,0.063112,0.33895,1
0.17018,0.33246,0.17309,0.17171,0.16535,0.41085,0.83435,0.33642,0.16723,0.76309,0.16627,0.57563,0.72965,0.57121,0.50438,0.3308,2
0.33224,0.85582,0.43107,0.18767,0.074808,0.81454,0.34728,0.08489,0.080747,0.76906,0.67431,0.76492,0.19372,0.65515,0.17697,0.36744,3
0.41214,0.077975,0.68464,0.46248,0.5016,0.8439,0.33432,0.23971,0.37984,0.16717,0.42689,0.34943,0.67104,0.92364,0.90067,0.34072,5
0.26431,0.33893,0.76997,0.579,0.85336,0.056583,0.39333,0.75808,0.77818,0.2486,0.49952,0.60524,0.85861,0.41552,0.093803,0.30205,1
0.57685,0.76667,0.80644,0.80416,0.52679,0.12449,0.83553,0.83737,0.76366,0.91351,0.32621,0.61221,0.51217,0.84052,0.30706,0.14191,7
0.74937,0.49745,0.25234,0.59606,0.17109,0.32782,0.5865,0.85427,0.75746,0.16852,0.74596,0.084465,0.91183,0.89962,0.41294,0.33775,8
