@relation moving_data_9-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute class {0,1,2}

@data
0.33405,0.16688,0.55544,0.27887,0.27963,0.55456,0.054938,0.16721,0.27773,0.66577,0.16689,0.88789,0.779,0.33377,0.44668,0.38813,0.055432,0.49901,0.056306,1
0.31537,0.18295,0.55353,0.29257,0.27367,0.56231,0.067739,0.18121,0.29156,0.65844,0.17013,0.88463,0.78235,0.30829,0.44924,0.39059,0.066679,0.49834,0.056412,1
0.32455,0.15864,0.5411,0.29027,0.28879,0.56015,0.047014,0.17157,0.28007,0.66771,0.16348,0.8771,0.7767,0.3193,0.4479,0.38014,0.055668,0.49215,0.048807,1
0.33678,0.17116,0.55798,0.27008,0.28096,0.55988,0.053366,0.15852,0.28172,0.67226,0.17162,0.88744,0.78098,0.33254,0.44056,0.38864,0.046869,0.50117,0.053935,1
0.33312,0.16579,0.55905,0.27794,0.27933,0.55673,0.05851,0.16631,0.2818,0.66623,0.16652,0.88541,0.78005,0.33248,0.44524,0.38871,0.055446,0.49766,0.056019,1
0.43158,0.066119,0.6547,0.55419,0.33823,0.34658,0.044867,0.60434,0.72123,0.54227,0.32764,0.32855,0.67826,0.87489,0.16024,0.26861,0.047083,0.2691,0.73421,2
0.45698,0.061421,0.65444,0.56857,0.32468,0.32436,0.068945,0.60054,0.72085,0.55756,0.35622,0.33027,0.67401,0.8623,0.14629,0.26124,0.062113,0.25295,0.71236,2
0.45599,0.049236,0.67666,0.54678,0.32547,0.34264,0.050111,0.59467,0.74446,0.54199,0.32419,0.35202,0.66139,0.89335,0.18289,0.26812,0.06414,0.28941,0.73548,2
0.45434,0.044516,0.68555,0.57046,0.3517,0.32313,0.062358,0.61579,0.74842,0.54338,0.34477,0.32046,0.65491,0.8894,0.15269,0.28507,0.046867,0.26801,0.72901,2
0.43289,0.072651,0.64907,0.5716,0.3247,0.34875,0.044761,0.59653,0.72362,0.55915,0.32137,0.32433,0.67727,0.87264,0.18132,0.26728,0.044239,0.26571,0.71257,2
0.33503,0.16723,0.55503,0.27322,0.27529,0.55628,0.05653,0.16638,0.27532,0.66416,0.15989,0.88477,0.775,0.32976,0.44334,0.38783,0.058142,0.50229,0.055206,1
0.33868,0.16502,0.55643,0.27374,0.28791,0.55393,0.052085,0.16221,0.27185,0.66008,0.16439,0.89283,0.77595,0.32474,0.45584,0.38612,0.065961,0.49634,0.051234,1
0.43859,0.048506,0.65451,0.57187,0.35045,0.34529,0.049096,0.60306,0.73954,0.55861,0.35097,0.32267,0.67367,0.87428,0.17549,0.29034,0.064655,0.28559,0.72813,2
0.3346,0.16571,0.5562,0.27945,0.27779,0.55569,0.05539,0.16618,0.27722,0.66522,0.167,0.88714,0.77858,0.33349,0.44678,0.38922,0.054521,0.50029,0.054361,1
